	nucl_len
0.0	1
3.0	43
5.0	2
6.0	167
7.0	2
8.0	23
9.0	546
10.0	28
11.0	14
12.0	143
13.0	44
14.0	26
15.0	2303
16.0	59
17.0	26
18.0	595
19.0	21
20.0	68
21.0	584
22.0	28
23.0	52
24.0	1152
25.0	61
26.0	106
27.0	2197
28.0	80
29.0	273
30.0	4774
31.0	175
32.0	410
33.0	7928
34.0	245
35.0	646
36.0	11902
37.0	495
38.0	10883
39.0	19197
40.0	618
41.0	951
42.0	19470
43.0	440
44.0	992
45.0	16907
46.0	430
47.0	1358
48.0	14792
49.0	651
50.0	1379
51.0	16419
52.0	861
53.0	1292
54.0	13957
55.0	510
56.0	1852
57.0	10723
58.0	418
59.0	689
60.0	6518
61.0	255
62.0	786
63.0	6180
64.0	612
65.0	887
66.0	2731
67.0	119
68.0	269
69.0	2559
70.0	146
71.0	107
72.0	838
73.0	59
74.0	76
75.0	1047
76.0	23
77.0	49
78.0	227
79.0	14
80.0	13
81.0	48
82.0	5
83.0	181
84.0	240
85.0	32
86.0	29
87.0	13
96.0	7
98.0	10
99.0	267
100.0	2
101.0	10
102.0	91
103.0	1
