	d
ambiguous	171457
IGHD3-10*01	16939
IGHD3-22*01	14991
IGHD3-9*01	5784
IGHD2-15*01	4838
IGHD6-19*01	3925
IGHD6-13*01	3630
IGHD2-2*03	2552
IGHD2-2*02	2449
IGHD5-12*01	2160
IGHD3-16*02	2028
IGHD2-21*02	1524
IGHD5-5*01	1307
IGHD1-26*01	1090
IGHD3-10*02	918
IGHD4-17*01	878
IGHD5-24*01	681
IGHD5/OR15-5b*01	296
IGHD2-8*02	277
IGHD4-23*01	266
IGHD2-21*01	183
IGHD3-16*01	85
IGHD3/OR15-3b*01	59
IGHD1-20*01	31
IGHD1-1*01	27
IGHD2-8*01	20
IGHD2/OR15-2b*01	5
IGHD2-2*01	3
IGHD4-4*01	2
IGHD1/OR15-1b*01	1
IGHD3-3*02	1
