	nucl_len
0.0	16
2.0	7
4.0	1
5.0	1
6.0	4
7.0	8
8.0	17
9.0	115
10.0	33
11.0	50
12.0	154
13.0	55
14.0	198
15.0	547
16.0	85
17.0	47
18.0	1472
19.0	404
20.0	1375
21.0	4658
22.0	413
23.0	199
24.0	3018
25.0	328
26.0	644
27.0	4134
28.0	847
29.0	955
30.0	10568
31.0	1341
32.0	1912
33.0	14910
34.0	2201
35.0	2730
36.0	27930
37.0	2561
38.0	3266
39.0	23945
40.0	3254
41.0	5730
42.0	25594
43.0	2572
44.0	5007
45.0	23547
46.0	2844
47.0	4632
48.0	25997
49.0	2963
50.0	3726
51.0	18172
52.0	2009
53.0	3518
54.0	15172
55.0	1408
56.0	3073
57.0	10923
58.0	1197
59.0	1461
60.0	4391
61.0	819
62.0	2600
63.0	7952
64.0	939
65.0	1442
66.0	4249
67.0	567
68.0	824
69.0	2660
70.0	377
71.0	358
72.0	711
73.0	137
74.0	185
75.0	583
76.0	127
77.0	98
78.0	123
79.0	19
80.0	15
81.0	34
82.0	6
83.0	22
84.0	63
85.0	6
86.0	8
87.0	7
88.0	1
89.0	7
90.0	7
91.0	1
166.0	1
168.0	3
169.0	1
170.0	9
171.0	47
172.0	2
173.0	2
174.0	1
177.0	1
186.0	1
188.0	2
189.0	15
190.0	22
191.0	5
192.0	1
222.0	1
