	d
ambiguous	393700
IGHD3-10*01	18094
IGHD3-22*01	14981
IGHD3-9*01	9653
IGHD2-15*01	6181
IGHD6-13*01	5044
IGHD6-19*01	4971
IGHD3-3*01	4609
IGHD3-16*02	2905
IGHD2-2*03	1756
IGHD5-12*01	1707
IGHD2-21*02	1350
IGHD4-17*01	961
IGHD5-24*01	894
IGHD5-5*01	716
IGHD3/OR15-3b*01	710
IGHD2-21*01	701
IGHD2-8*02	699
IGHD4-23*01	513
IGHD2-2*02	477
IGHD1-26*01	453
IGHD3-3*02	381
IGHD3-10*02	342
IGHD6-6*01	327
IGHD4-4*01	72
IGHD5/OR15-5b*01	62
IGHD3-16*01	62
IGHD1-7*01	59
IGHD1/OR15-1b*01	50
IGHD1-1*01	49
IGHD2-2*01	42
IGHD2/OR15-2b*01	26
IGHD2-8*01	23
IGHD6-25*01	21
IGHD1-20*01	20
IGHD4/OR15-4b*01	1
