	v
IGHV3-23D*01	53867
IGHV3-21*02	44821
IGHV3-74*03	25728
IGHV4-34*02	24177
IGHV4-59*01	19415
IGHV4-34*01	15093
IGHV4-31*03	14829
IGHV3-74*01	14097
IGHV3-53*02	13833
IGHV3-48*04	13582
IGHV3-30-3*03	13069
IGHV3-66*01	12663
IGHV3-15*01	12638
IGHV4-39*01	10717
IGHV3-20*01	10588
IGHV3-33*01	9741
IGHV3-11*05	8685
IGHV3-48*01	7525
IGHV3-49*04	7241
IGHV3-73*01	6884
IGHV3-13*04	6593
IGHV3-23D*02	6514
IGHV3-7*01	6453
IGHV3-15*02	6044
IGHV4-4*02	5821
IGHV4-61*02	5801
IGHV4-59*03	5569
IGHV3-43*02	5306
IGHV3-64D*06	4469
IGHV3-66*04	4450
IGHV4-38-2*01	4363
IGHV3-64*01	4265
IGHV3-7*02	4052
IGHV4-59*08	3748
IGHV3-9*01	3463
IGHV3-33*06	3424
IGHV4-34*12	2899
IGHV3-11*04	2681
IGHV3-48*02	2619
IGHV4-61*01	2618
IGHV4-38-2*02	2616
IGHV4-4*07	2444
IGHV3-21*04	2334
IGHV4-39*02	2217
IGHV4-31*02	2108
IGHV3-15*05	2013
IGHV4-61*08	1928
IGHV4-59*02	1889
IGHV3-9*03	1845
IGHV3-72*01	1733
IGHV3-43D*01	1576
IGHV3-33*05	1208
IGHV3-33*03	1130
IGHV3-43*01	1082
IGHV3-48*03	1043
IGHV4/OR15-8*02	912
IGHV3-33*04	799
IGHV3-15*04	778
IGHV4-34*04	718
IGHV4-61*03	710
IGHV3-74*02	674
IGHV3-30*14	611
IGHV4-59*07	609
IGHV3-73*02	583
IGHV3-15*06	541
IGHV3-23*05	540
IGHV4-34*10	513
IGHV3-30*19	505
IGHV4-31*04	373
IGHV3-7*03	372
IGHV4-59*04	350
IGHV3-64*02	337
IGHV3-21*03	335
IGHV3-30*03	301
IGHV4-39*07	280
IGHV3-69-1*02	279
IGHV3-15*07	278
IGHV3-30-3*01	276
IGHV3-52*01	234
IGHV3-30-5*01	216
IGHV3-53*01	199
IGHV3-23*03	197
IGHV4-4*08	191
IGHV3-23*02	184
IGHV3-30*09	178
IGHV4-30-4*01	141
IGHV3-21*01	121
IGHV4-31*08	112
IGHV3-11*06	107
IGHV4-28*01	104
IGHV3-49*02	84
IGHV3-11*01	71
IGHV4-34*06	69
IGHV3-20*02	65
IGHV4-34*08	65
IGHV3-49*05	58
IGHV4-61*05	57
IGHV4-59*05	52
IGHV4-34*07	51
IGHV4-28*03	47
IGHV3-30*01	38
IGHV3-13*01	38
IGHV4-34*11	38
IGHV4-59*06	38
IGHV3/OR16-8*01	36
IGHV3-13*05	35
IGHV3-33*02	32
IGHV3-64*04	32
IGHV3-30-5*02	30
IGHV4-34*03	30
IGHV4-39*03	28
IGHV4/OR15-8*01	28
IGHV4-28*07	26
IGHV3-49*03	24
IGHV3-69-1*01	24
IGHV3-13*03	24
IGHV3-NL1*01	24
IGHV4-34*09	24
IGHV3-22*02	19
IGHV4-59*10	19
IGHV4-28*05	17
IGHV3-66*03	16
IGHV3-11*03	15
IGHV3-30*15	13
IGHV3-71*01	11
IGHV4-31*09	11
IGHV3-30-3*02	10
IGHV3-30*17	10
IGHV1-69D*01	8
IGHV3-30*07	8
IGHV3-71*02	8
IGHV3-71*03	8
IGHV3-66*02	8
IGHV4-34*05	8
IGHV3-30*10	6
IGHV4-30-4*03	6
IGHV4-31*06	6
IGHV3-38-3*01	6
IGHV3-35*01	6
IGHV3-49*01	5
IGHV3-53*04	4
IGHV4-39*05	4
IGHV4-61*06	3
IGHV3-30*16	3
IGHV1-69*14	3
IGHV4-31*05	3
IGHV3-30*06	3
IGHV4-61*07	2
IGHV3-30*13	2
IGHV4-34*13	2
IGHV4-28*06	2
IGHV3-9*02	2
IGHV4-30-2*03	2
IGHV5-51*03	2
IGHV3/OR16-8*02	1
IGHV5-51*01	1
IGHV4-4*03	1
IGHV3-53*03	1
IGHV4-4*04	1
IGHV4-30-4*07	1
IGHV1-69*13	1
IGHV1-69*11	1
IGHV4-61*04	1
IGHV4-31*07	1
IGHV3-52*03	1
IGHV4/OR15-8*03	1
IGHV4-55*01	1
IGHV4-55*07	1
