	v	d	j	frequency
0	IGHV3-23D*01	NA	IGHJ4*02	32368
1	IGHV3-74*03	NA	IGHJ4*02	19081
2	IGHV3-21*02	NA	IGHJ4*02	11961
3	IGHV4-34*02	NA	IGHJ4*02	10492
4	IGHV3-74*01	NA	IGHJ4*02	7921
5	IGHV3-21*02	NA	IGHJ3*02	6859
6	IGHV4-34*01	NA	IGHJ4*02	6558
7	IGHV3-21*02	NA	IGHJ1*01	6486
8	IGHV3-15*02	NA	IGHJ5*02	5163
9	IGHV4-31*03	NA	IGHJ4*02	5100
10	IGHV3-15*01	NA	IGHJ4*02	4843
11	IGHV3-23D*02	NA	IGHJ4*02	4738
12	IGHV4-59*01	NA	IGHJ4*02	4661
13	IGHV3-48*04	NA	IGHJ4*02	4423
14	IGHV4-39*01	NA	IGHJ4*02	4237
15	IGHV3-53*02	NA	IGHJ1*01	4101
16	IGHV4-59*01	NA	IGHJ6*03	4070
17	IGHV4-59*01	NA	IGHJ5*02	3805
18	IGHV3-48*01	NA	IGHJ4*02	3782
19	IGHV3-30-3*03	NA	IGHJ4*02	3771
20	IGHV3-49*04	NA	IGHJ4*02	3727
21	IGHV3-23D*01	NA	IGHJ5*02	3489
22	IGHV3-64D*06	NA	IGHJ4*02	3415
23	IGHV3-33*01	NA	IGHJ4*02	3296
24	IGHV3-66*01	NA	IGHJ3*02	3290
25	IGHV3-15*01	NA	IGHJ5*02	3201
26	IGHV3-9*01	NA	IGHJ4*02	3024
27	IGHV3-7*01	NA	IGHJ2*01	2643
28	IGHV3-66*01	NA	IGHJ4*02	2630
29	IGHV4-34*02	NA	IGHJ5*02	2553
30	IGHV4-59*03	NA	IGHJ4*02	2498
31	IGHV3-23D*01	NA	IGHJ3*02	2471
32	IGHV3-11*05	NA	IGHJ4*02	2417
33	IGHV3-20*01	NA	IGHJ4*02	2406
34	IGHV3-21*02	NA	IGHJ5*02	2337
35	IGHV3-21*02	NA	IGHJ6*02	2157
36	IGHV3-21*02	NA	IGHJ6*03	2154
37	IGHV3-53*02	NA	IGHJ4*02	2076
38	IGHV3-48*04	IGHD6-13*01	IGHJ5*02	2012
39	IGHV3-73*01	NA	IGHJ5*02	1985
40	IGHV4-4*02	NA	IGHJ4*02	1894
41	IGHV3-74*03	NA	IGHJ5*02	1890
42	IGHV4-38-2*01	NA	IGHJ4*02	1872
43	IGHV3-66*01	NA	IGHJ6*02	1800
44	IGHV4-61*02	NA	IGHJ6*03	1776
45	IGHV3-11*05	NA	IGHJ6*02	1763
46	IGHV3-23D*01	NA	IGHJ6*02	1695
47	IGHV4-4*02	NA	IGHJ6*02	1677
48	IGHV3-49*04	NA	IGHJ5*02	1674
49	IGHV3-23D*01	IGHD3-22*01	IGHJ4*02	1664
50	IGHV3-66*04	NA	IGHJ4*02	1641
51	IGHV3-7*01	NA	IGHJ4*02	1598
52	IGHV4-31*03	NA	IGHJ5*02	1597
53	IGHV3-21*02	IGHD3-10*01	IGHJ3*01	1572
54	IGHV3-23D*01	NA	IGHJ2*01	1569
55	IGHV3-7*02	NA	IGHJ4*02	1552
56	IGHV3-20*01	NA	IGHJ6*03	1546
57	IGHV3-20*01	NA	IGHJ5*02	1537
58	IGHV4-34*01	NA	IGHJ6*02	1516
59	IGHV3-30-3*03	NA	IGHJ6*02	1487
60	IGHV3-53*02	NA	IGHJ6*02	1486
61	IGHV4-59*08	NA	IGHJ4*02	1450
62	IGHV3-53*02	NA	IGHJ6*03	1439
63	IGHV3-20*01	IGHD3-10*01	IGHJ6*02	1437
64	IGHV3-23D*01	NA	IGHJ6*03	1434
65	IGHV4-39*01	NA	IGHJ5*02	1425
66	IGHV4-34*02	NA	IGHJ6*03	1390
67	IGHV3-43*02	NA	IGHJ6*02	1387
68	IGHV3-30-3*03	NA	IGHJ5*02	1387
69	IGHV3-73*01	NA	IGHJ4*02	1370
70	IGHV4-31*02	NA	IGHJ4*02	1340
71	IGHV3-21*04	NA	IGHJ4*02	1331
72	IGHV3-11*05	NA	IGHJ3*01	1322
73	IGHV4-59*01	NA	IGHJ3*02	1300
74	IGHV4-61*02	NA	IGHJ4*02	1271
75	IGHV3-13*04	NA	IGHJ4*02	1258
76	IGHV3-9*03	NA	IGHJ4*02	1246
77	IGHV3-72*01	NA	IGHJ4*02	1236
78	IGHV4-59*08	NA	IGHJ6*03	1233
79	IGHV3-33*06	NA	IGHJ4*02	1232
80	IGHV3-15*05	NA	IGHJ4*02	1229
81	IGHV4-34*02	NA	IGHJ4*01	1216
82	IGHV4-61*08	NA	IGHJ6*02	1212
83	IGHV3-33*01	NA	IGHJ3*02	1203
84	IGHV3-74*01	IGHD3-9*01	IGHJ4*02	1196
85	IGHV4-31*03	NA	IGHJ6*02	1182
86	IGHV4-31*03	NA	IGHJ2*01	1165
87	IGHV3-74*01	NA	IGHJ5*02	1148
88	IGHV3-7*02	NA	IGHJ6*02	1147
89	IGHV3-48*02	NA	IGHJ4*02	1147
90	IGHV3-74*03	NA	IGHJ3*02	1145
91	IGHV3-21*02	NA	IGHJ2*01	1141
92	IGHV4-34*02	NA	IGHJ4*03	1139
93	IGHV4-34*02	NA	IGHJ6*02	1116
94	IGHV3-64*01	NA	IGHJ6*03	1115
95	IGHV3-13*04	NA	IGHJ3*01	1104
96	IGHV3-30-3*03	NA	IGHJ1*01	1099
97	IGHV3-23D*01	NA	IGHJ4*03	1089
98	IGHV3-11*05	NA	IGHJ3*02	1085
99	IGHV4-38-2*02	NA	IGHJ4*02	1073
100	IGHV3-7*01	NA	IGHJ5*02	1056
101	IGHV3-66*01	IGHD3-22*01	IGHJ4*02	1044
102	IGHV3-66*04	NA	IGHJ5*02	1014
103	IGHV4-31*03	NA	IGHJ3*02	1011
104	IGHV4-59*03	NA	IGHJ6*03	1005
105	IGHV4-34*02	NA	IGHJ3*02	1000
106	IGHV4-34*12	NA	IGHJ4*02	999
107	IGHV3-20*01	NA	IGHJ6*04	982
