	N152	IAVI84
0	169228.0	43949.0
2	7.0	NA
3	NA	43.0
4	1.0	NA
5	1.0	2.0
6	4.0	167.0
7	8.0	2.0
8	17.0	23.0
9	115.0	546.0
10	33.0	28.0
11	50.0	14.0
12	154.0	143.0
13	55.0	44.0
14	198.0	26.0
15	547.0	2303.0
16	85.0	59.0
17	47.0	26.0
18	1472.0	595.0
19	404.0	21.0
20	1375.0	68.0
21	4658.0	584.0
22	413.0	28.0
23	199.0	52.0
24	3018.0	1152.0
25	328.0	61.0
26	644.0	106.0
27	4134.0	2197.0
28	847.0	80.0
29	955.0	273.0
30	10568.0	4774.0
31	1341.0	175.0
32	1912.0	410.0
33	14910.0	7928.0
34	2201.0	245.0
35	2730.0	646.0
36	27930.0	11902.0
37	2561.0	495.0
38	3266.0	10883.0
39	23945.0	19197.0
40	3254.0	618.0
41	5730.0	951.0
42	25594.0	19470.0
43	2572.0	440.0
44	5007.0	992.0
45	23547.0	16907.0
46	2844.0	430.0
47	4632.0	1358.0
48	25997.0	14792.0
49	2963.0	651.0
50	3726.0	1379.0
51	18172.0	16419.0
52	2009.0	861.0
53	3518.0	1292.0
54	15172.0	13957.0
55	1408.0	510.0
56	3073.0	1852.0
57	10923.0	10723.0
58	1197.0	418.0
59	1461.0	689.0
60	4391.0	6518.0
61	819.0	255.0
62	2600.0	786.0
63	7952.0	6180.0
64	939.0	612.0
65	1442.0	887.0
66	4249.0	2731.0
67	567.0	119.0
68	824.0	269.0
69	2660.0	2559.0
70	377.0	146.0
71	358.0	107.0
72	711.0	838.0
73	137.0	59.0
74	185.0	76.0
75	583.0	1047.0
76	127.0	23.0
77	98.0	49.0
78	123.0	227.0
79	19.0	14.0
80	15.0	13.0
81	34.0	48.0
82	6.0	5.0
83	22.0	181.0
84	63.0	240.0
85	6.0	32.0
86	8.0	29.0
87	7.0	13.0
88	1.0	NA
89	7.0	NA
90	7.0	NA
91	1.0	NA
96	NA	7.0
98	NA	10.0
99	NA	267.0
100	NA	2.0
101	NA	10.0
102	NA	91.0
103	NA	1.0
166	1.0	NA
168	3.0	NA
169	1.0	NA
170	9.0	NA
171	47.0	NA
172	2.0	NA
173	2.0	NA
174	1.0	NA
177	1.0	NA
186	1.0	NA
188	2.0	NA
189	15.0	NA
190	22.0	NA
191	5.0	NA
192	1.0	NA
222	1.0	NA
