	N152	IAVI84
0	23.0	1.0
1	2.0	45.0
2	29.0	192.0
3	198.0	588.0
4	407.0	213.0
5	679.0	2388.0
6	3251.0	684.0
7	5270.0	664.0
8	3990.0	1319.0
9	5936.0	2550.0
10	13821.0	5359.0
11	19841.0	8819.0
12	33757.0	23280.0
13	32929.0	20766.0
14	33173.0	20902.0
15	31023.0	18695.0
16	32686.0	16822.0
17	23699.0	18572.0
18	19653.0	16319.0
19	13581.0	11830.0
20	7810.0	7559.0
21	10333.0	7679.0
22	5640.0	3119.0
23	3395.0	2812.0
24	1033.0	973.0
25	808.0	1119.0
26	157.0	254.0
27	62.0	234.0
28	77.0	301.0
29	15.0	13.0
30	8.0	NA
32	NA	17.0
33	NA	279.0
34	NA	92.0
55	1.0	NA
56	13.0	NA
57	51.0	NA
58	1.0	NA
59	1.0	NA
62	3.0	NA
63	42.0	NA
64	1.0	NA
74	1.0	NA
