	V	D	J	N152	IAVI84
0	IGHV1-18*01	IGHD1-1*01	IGHJ3*02	NA	1.0
1	IGHV1-18*01	IGHD1-1*01	IGHJ6*03	NA	1.0
2	IGHV1-18*01	IGHD1-20*01	IGHJ6*03	NA	1.0
3	IGHV1-18*01	IGHD1-20*01	IGHJ6*04	NA	1.0
4	IGHV1-18*01	IGHD1-26*01	IGHJ1*01	NA	1.0
5	IGHV1-18*01	IGHD1-26*01	IGHJ3*02	NA	49.0
6	IGHV1-18*01	IGHD1-26*01	IGHJ4*02	NA	94.0
7	IGHV1-18*01	IGHD1-26*01	IGHJ4*03	NA	2.0
8	IGHV1-18*01	IGHD1-26*01	IGHJ5*02	NA	6.0
9	IGHV1-18*01	IGHD1-26*01	IGHJ6*02	NA	1.0
10	IGHV1-18*01	IGHD1-26*01	IGHJ6*03	NA	3.0
11	IGHV1-18*01	IGHD2-15*01	IGHJ1*01	NA	17.0
12	IGHV1-18*01	IGHD2-15*01	IGHJ2*01	NA	100.0
13	IGHV1-18*01	IGHD2-15*01	IGHJ3*02	NA	62.0
14	IGHV1-18*01	IGHD2-15*01	IGHJ4*02	NA	227.0
15	IGHV1-18*01	IGHD2-15*01	IGHJ4*03	NA	1.0
16	IGHV1-18*01	IGHD2-15*01	IGHJ5*01	NA	4.0
17	IGHV1-18*01	IGHD2-15*01	IGHJ5*02	NA	214.0
18	IGHV1-18*01	IGHD2-15*01	IGHJ6*02	NA	18.0
19	IGHV1-18*01	IGHD2-15*01	IGHJ6*03	NA	64.0
20	IGHV1-18*01	IGHD2-15*01	IGHJ6*04	NA	1.0
21	IGHV1-18*01	IGHD2-2*02	IGHJ4*02	NA	23.0
22	IGHV1-18*01	IGHD2-2*02	IGHJ5*02	NA	26.0
23	IGHV1-18*01	IGHD2-2*03	IGHJ1*01	NA	10.0
24	IGHV1-18*01	IGHD2-2*03	IGHJ3*02	NA	131.0
25	IGHV1-18*01	IGHD2-2*03	IGHJ4*02	NA	163.0
26	IGHV1-18*01	IGHD2-2*03	IGHJ5*02	NA	69.0
27	IGHV1-18*01	IGHD2-2*03	IGHJ6*02	NA	30.0
28	IGHV1-18*01	IGHD2-2*03	IGHJ6*03	NA	7.0
29	IGHV1-18*01	IGHD2-2*03	IGHJ6*04	NA	1.0
30	IGHV1-18*01	IGHD2-21*01	IGHJ3*02	NA	2.0
31	IGHV1-18*01	IGHD2-21*01	IGHJ4*02	NA	1.0
32	IGHV1-18*01	IGHD2-21*02	IGHJ1*01	NA	1.0
33	IGHV1-18*01	IGHD2-21*02	IGHJ2*01	NA	1.0
34	IGHV1-18*01	IGHD2-21*02	IGHJ3*02	NA	45.0
35	IGHV1-18*01	IGHD2-21*02	IGHJ4*02	NA	75.0
36	IGHV1-18*01	IGHD2-21*02	IGHJ4*03	NA	1.0
37	IGHV1-18*01	IGHD2-21*02	IGHJ5*02	NA	2.0
38	IGHV1-18*01	IGHD2-21*02	IGHJ6*02	NA	22.0
39	IGHV1-18*01	IGHD2-8*01	IGHJ5*02	NA	20.0
40	IGHV1-18*01	IGHD2-8*02	IGHJ3*01	NA	1.0
41	IGHV1-18*01	IGHD2-8*02	IGHJ3*02	NA	247.0
42	IGHV1-18*01	IGHD2-8*02	IGHJ5*02	NA	1.0
43	IGHV1-18*01	IGHD2/OR15-2b*01	IGHJ1*01	NA	2.0
44	IGHV1-18*01	IGHD3-10*01	IGHJ1*01	NA	77.0
45	IGHV1-18*01	IGHD3-10*01	IGHJ2*01	NA	58.0
46	IGHV1-18*01	IGHD3-10*01	IGHJ3*01	NA	32.0
47	IGHV1-18*01	IGHD3-10*01	IGHJ3*02	NA	255.0
48	IGHV1-18*01	IGHD3-10*01	IGHJ4*01	NA	12.0
49	IGHV1-18*01	IGHD3-10*01	IGHJ4*02	NA	2280.0
50	IGHV1-18*01	IGHD3-10*01	IGHJ4*03	NA	10.0
51	IGHV1-18*01	IGHD3-10*01	IGHJ5*02	NA	226.0
52	IGHV1-18*01	IGHD3-10*01	IGHJ6*01	NA	1.0
53	IGHV1-18*01	IGHD3-10*01	IGHJ6*02	NA	300.0
54	IGHV1-18*01	IGHD3-10*01	IGHJ6*03	NA	280.0
55	IGHV1-18*01	IGHD3-10*01	IGHJ6*04	NA	3.0
56	IGHV1-18*01	IGHD3-10*02	IGHJ3*02	NA	5.0
