	N152	IAVI84
0	420.0	607.0
1	738.0	199.0
2	2099.0	49.0
3	1317.0	61.0
4	1868.0	226.0
5	2094.0	481.0
6	719.0	433.0
7	751.0	2054.0
8	3728.0	5145.0
9	3124.0	2277.0
10	2150.0	1290.0
11	3425.0	1218.0
12	3590.0	1739.0
13	6184.0	3653.0
14	8287.0	2967.0
15	7876.0	4495.0
16	8746.0	4815.0
17	9918.0	4001.0
18	11734.0	12712.0
19	16822.0	8039.0
20	17923.0	5518.0
21	18965.0	7548.0
22	18789.0	6941.0
23	16501.0	7199.0
24	20146.0	9109.0
25	19064.0	9907.0
26	17698.0	8683.0
27	18117.0	12504.0
28	18128.0	9971.0
29	16098.0	7091.0
30	18693.0	8267.0
31	23341.0	7788.0
32	15396.0	9442.0
33	20636.0	8794.0
34	13416.0	6460.0
35	9726.0	7510.0
36	9166.0	6374.0
37	9737.0	5357.0
38	8288.0	4889.0
39	9379.0	4278.0
40	8706.0	4123.0
41	8864.0	2899.0
42	6475.0	4186.0
43	6581.0	2942.0
44	4769.0	2305.0
45	3745.0	1411.0
46	3484.0	1143.0
47	2308.0	1489.0
48	2794.0	632.0
49	1674.0	710.0
50	1531.0	486.0
51	1438.0	196.0
52	948.0	321.0
53	1268.0	827.0
54	815.0	394.0
55	543.0	375.0
56	285.0	288.0
57	281.0	115.0
58	184.0	256.0
59	119.0	379.0
60	115.0	290.0
61	175.0	296.0
62	115.0	263.0
63	51.0	498.0
64	45.0	270.0
65	46.0	263.0
66	70.0	69.0
67	130.0	41.0
68	78.0	23.0
69	28.0	17.0
70	35.0	59.0
71	14.0	108.0
72	5.0	107.0
73	5.0	18.0
74	5.0	20.0
75	3.0	34.0
76	4.0	116.0
77	2.0	60.0
78	NA	18.0
79	3.0	13.0
80	1.0	10.0
81	2.0	42.0
82	NA	11.0
83	2.0	5.0
84	1.0	5.0
85	2.0	28.0
86	3.0	9.0
87	2.0	11.0
88	2.0	10.0
89	2.0	4.0
90	1.0	8.0
91	NA	4.0
92	2.0	9.0
93	1.0	3.0
94	1.0	2.0
95	NA	4.0
96	NA	4.0
97	1.0	4.0
98	2.0	1.0
99	1.0	5.0
100	2.0	NA
101	NA	3.0
102	2.0	1.0
103	1.0	3.0
104	NA	3.0
105	1.0	1.0
106	1.0	3.0
107	NA	2.0
108	NA	2.0
111	NA	1.0
112	2.0	NA
113	NA	5.0
114	NA	1.0
115	NA	2.0
116	NA	2.0
117	2.0	1.0
118	NA	1.0
119	NA	2.0
120	1.0	1.0
121	NA	2.0
122	NA	6.0
123	NA	1.0
124	1.0	2.0
125	1.0	1.0
126	1.0	NA
127	NA	1.0
128	NA	2.0
129	NA	2.0
130	2.0	1.0
131	3.0	NA
132	4.0	2.0
133	5.0	1.0
134	9.0	NA
135	6.0	1.0
136	1.0	NA
138	1.0	NA
139	1.0	1.0
141	1.0	NA
150	NA	1.0
156	NA	2.0
159	NA	1.0
160	NA	1.0
161	NA	1.0
168	NA	1.0
169	NA	1.0
174	NA	1.0
175	NA	1.0
177	NA	2.0
179	NA	1.0
181	NA	1.0
188	NA	1.0
195	NA	1.0
199	NA	1.0
213	NA	1.0
237	NA	1.0
254	NA	1.0
