	v
IGHV1-2*02	83829
IGHV1-18*01	39026
IGHV1-8*02	25852
IGHV1-69*13	21720
IGHV1-69D*01	14376
IGHV1-69*10	12386
IGHV1-24*01	7400
IGHV1-46*01	7006
IGHV1-69-2*01	4317
IGHV1-69*14	4316
IGHV1-46*03	4029
IGHV1-8*01	3449
IGHV1-58*02	2527
IGHV1-18*04	1881
IGHV1-2*04	1669
IGHV1-46*02	772
IGHV1-69*11	604
IGHV1-2*05	387
IGHV4-38-2*01	387
IGHV1-18*03	356
IGHV1-69*12	238
IGHV4-59*01	213
IGHV4-34*01	201
IGHV1-2*03	192
IGHV4-59*08	170
IGHV1-58*01	152
IGHV4-4*07	121
IGHV4-31*03	106
IGHV1/OR15-1*04	99
IGHV4-34*02	93
IGHV4-30-4*01	87
IGHV1-69*05	75
IGHV1-3*02	63
IGHV4-38-2*02	53
IGHV4-34*12	46
IGHV1-38-4*01	37
IGHV1/OR15-4*01	26
IGHV4-59*02	17
IGHV1-69*08	16
IGHV1/OR15-2*02	13
IGHV4-39*07	12
IGHV1-69*09	11
IGHV4-59*07	11
IGHV1-45*02	10
IGHV4-39*01	9
IGHV4-34*04	7
IGHV1/OR21-1*01	4
IGHV4-31*02	4
IGHV3-30-5*02	4
IGHV4-59*03	3
IGHV3-15*01	3
IGHV4-39*02	3
IGHV4-61*08	3
IGHV3-23D*01	2
IGHV4-34*06	2
IGHV4-31*06	1
IGHV4-31*05	1
IGHV4-59*04	1
IGHV1/OR15-1*02	1
IGHV4-31*04	1
IGHV1-18*02	1
IGHV4-28*07	1
IGHV1-2*01	1
IGHV3-38-3*01	1
IGHV4-34*08	1
IGHV7-34-1*01	1
IGHV4-4*08	1
