	vj_ins_len
0	607
1	199
2	49
3	61
4	226
5	481
6	433
7	2054
8	5145
9	2277
10	1290
11	1218
12	1739
13	3653
14	2967
15	4495
16	4815
17	4001
18	12712
19	8039
20	5518
21	7548
22	6941
23	7199
24	9109
25	9907
26	8683
27	12504
28	9971
29	7091
30	8267
31	7788
32	9442
33	8794
34	6460
35	7510
36	6374
37	5357
38	4889
39	4278
40	4123
41	2899
42	4186
43	2942
44	2305
45	1411
46	1143
47	1489
48	632
49	710
50	486
51	196
52	321
53	827
54	394
55	375
56	288
57	115
58	256
59	379
60	290
61	296
62	263
63	498
64	270
65	263
66	69
67	41
68	23
69	17
70	59
71	108
72	107
73	18
74	20
75	34
76	116
77	60
78	18
79	13
80	10
81	42
82	11
83	5
84	5
85	28
86	9
87	11
88	10
89	4
90	8
91	4
92	9
93	3
94	2
95	4
96	4
97	4
98	1
99	5
101	3
102	1
103	3
104	3
105	1
106	3
107	2
108	2
111	1
113	5
114	1
115	2
116	2
117	1
118	1
119	2
120	1
121	2
122	6
123	1
124	2
125	1
127	1
128	2
129	2
130	1
132	2
133	1
135	1
139	1
150	1
156	2
159	1
160	1
161	1
168	1
169	1
174	1
175	1
177	2
179	1
181	1
188	1
195	1
199	1
213	1
237	1
254	1
