	nucl_len
0	169228
2	7
4	1
5	1
6	4
7	8
8	17
9	115
10	33
11	50
12	154
13	55
14	198
15	547
16	85
17	47
18	1472
19	404
20	1375
21	4658
22	413
23	199
24	3018
25	328
26	644
27	4134
28	847
29	955
30	10568
31	1341
32	1912
33	14910
34	2201
35	2730
36	27930
37	2561
38	3266
39	23945
40	3254
41	5730
42	25594
43	2572
44	5007
45	23547
46	2844
47	4632
48	25997
49	2963
50	3726
51	18172
52	2009
53	3518
54	15172
55	1408
56	3073
57	10923
58	1197
59	1461
60	4391
61	819
62	2600
63	7952
64	939
65	1442
66	4249
67	567
68	824
69	2660
70	377
71	358
72	711
73	137
74	185
75	583
76	127
77	98
78	123
79	19
80	15
81	34
82	6
83	22
84	63
85	6
86	8
87	7
88	1
89	7
90	7
91	1
166	1
168	3
169	1
170	9
171	47
172	2
173	2
174	1
177	1
186	1
188	2
189	15
190	22
191	5
192	1
222	1
