	v_del_len
0	151408
1	124592
2	60499
3	59656
4	25690
5	18553
6	10179
7	10720
8	6030
9	1545
10	34
11	57
12	1639
13	686
14	558
15	161
16	20
17	9
18	91
19	3
20	78
21	38
22	35
23	3
24	5
25	2
26	11
27	4
28	4
29	13
30	2
32	1
33	23
34	19
35	1
36	2
37	7
38	6
39	4
40	8
41	6
42	2
43	3
45	1
46	7
47	4
48	1
49	8
50	5
52	9
53	1
54	3
55	2
56	5
57	4
58	5
59	1
60	1
61	2
62	6
63	1
65	2
66	2
67	11
68	7
69	3
70	4
71	32
72	1
73	4
74	2
75	1
76	3
77	5
78	2
79	2
80	3
81	1
88	1
89	2
90	2
94	1
95	4
96	5
99	1
100	7
102	1
104	1
105	7
106	3
107	2
110	1
112	2
113	1
115	1
118	1
120	1
123	1
125	1
127	1
129	1
130	1
133	1
136	1
143	1
144	1
152	1
