	vj_ins_len
0	420
1	738
2	2099
3	1317
4	1868
5	2094
6	719
7	751
8	3728
9	3124
10	2150
11	3425
12	3590
13	6184
14	8287
15	7876
16	8746
17	9918
18	11734
19	16822
20	17923
21	18965
22	18789
23	16501
24	20146
25	19064
26	17698
27	18117
28	18128
29	16098
30	18693
31	23341
32	15396
33	20636
34	13416
35	9726
36	9166
37	9737
38	8288
39	9379
40	8706
41	8864
42	6475
43	6581
44	4769
45	3745
46	3484
47	2308
48	2794
49	1674
50	1531
51	1438
52	948
53	1268
54	815
55	543
56	285
57	281
58	184
59	119
60	115
61	175
62	115
63	51
64	45
65	46
66	70
67	130
68	78
69	28
70	35
71	14
72	5
73	5
74	5
75	3
76	4
77	2
79	3
80	1
81	2
83	2
84	1
85	2
86	3
87	2
88	2
89	2
90	1
92	2
93	1
94	1
97	1
98	2
99	1
100	2
102	2
103	1
105	1
106	1
112	2
117	2
120	1
124	1
125	1
126	1
130	2
131	3
132	4
133	5
134	9
135	6
136	1
138	1
139	1
141	1
