	N152	IAVI84
ambiguous	393700	171457.0
IGHD3-10*01	18094	16939.0
IGHD3-22*01	14981	14991.0
IGHD3-9*01	9653	5784.0
IGHD2-15*01	6181	4838.0
IGHD3-3*01	4609	NA
IGHD6-19*01	4971	3925.0
IGHD6-13*01	5044	3630.0
IGHD3-16*02	2905	2028.0
IGHD2-2*03	1756	2552.0
IGHD5-12*01	1707	2160.0
IGHD2-2*02	477	2449.0
IGHD2-21*02	1350	1524.0
IGHD5-5*01	716	1307.0
IGHD4-17*01	961	878.0
IGHD5-24*01	894	681.0
IGHD1-26*01	453	1090.0
IGHD3-10*02	342	918.0
IGHD2-8*02	699	277.0
IGHD2-21*01	701	183.0
IGHD4-23*01	513	266.0
IGHD3/OR15-3b*01	710	59.0
IGHD6-6*01	327	NA
IGHD3-3*02	381	1.0
IGHD5/OR15-5b*01	62	296.0
IGHD3-16*01	62	85.0
IGHD1-7*01	59	NA
IGHD1-1*01	49	27.0
IGHD4-4*01	72	2.0
IGHD1-20*01	20	31.0
IGHD1/OR15-1b*01	50	1.0
IGHD2-2*01	42	3.0
IGHD2-8*01	23	20.0
IGHD6-25*01	21	NA
IGHD2/OR15-2b*01	26	5.0
IGHD4/OR15-4b*01	1	NA
