	N152	IAVI84
0	54020.0	25489.0
1	21153.0	14299.0
2	34027.0	17740.0
3	41390.0	28041.0
4	47275.0	30458.0
5	51094.0	21795.0
6	38672.0	19673.0
7	39196.0	10125.0
8	28920.0	12044.0
9	13674.0	6509.0
10	15461.0	9322.0
11	24130.0	7209.0
12	7329.0	4748.0
13	5007.0	12512.0
14	8409.0	2070.0
15	4451.0	1300.0
16	8200.0	4483.0
17	12375.0	3765.0
18	2735.0	318.0
19	6313.0	1127.0
20	1719.0	2558.0
21	4104.0	1299.0
22	572.0	566.0
23	1679.0	213.0
24	72.0	86.0
25	114.0	407.0
26	89.0	198.0
27	62.0	9.0
28	176.0	5.0
29	33.0	7.0
30	39.0	8.0
31	59.0	15.0
32	60.0	2.0
33	NA	1.0
34	NA	1.0
35	1.0	NA
37	1.0	NA
38	1.0	2.0
39	NA	1.0
40	NA	1.0
41	NA	1.0
