	N152	IAVI84
0	151408.0	82896.0
1	124592.0	58797.0
2	60499.0	25132.0
3	59656.0	26930.0
4	25690.0	27525.0
5	18553.0	8832.0
6	10179.0	3417.0
7	10720.0	1589.0
8	6030.0	1625.0
9	1545.0	207.0
10	34.0	37.0
11	57.0	15.0
12	1639.0	44.0
13	686.0	140.0
14	558.0	19.0
15	161.0	18.0
16	20.0	9.0
17	9.0	14.0
18	91.0	18.0
19	3.0	43.0
20	78.0	23.0
21	38.0	11.0
22	35.0	32.0
23	3.0	14.0
24	5.0	20.0
25	2.0	10.0
26	11.0	20.0
27	4.0	8.0
28	4.0	16.0
29	13.0	14.0
30	2.0	18.0
31	NA	20.0
32	1.0	11.0
33	23.0	4.0
34	19.0	14.0
35	1.0	17.0
36	2.0	15.0
37	7.0	14.0
38	6.0	21.0
39	4.0	5.0
40	8.0	11.0
41	6.0	6.0
42	2.0	14.0
43	3.0	12.0
44	NA	7.0
45	1.0	25.0
46	7.0	17.0
47	4.0	16.0
48	1.0	11.0
49	8.0	17.0
50	5.0	177.0
51	NA	11.0
52	9.0	7.0
53	1.0	2.0
54	3.0	2.0
55	2.0	4.0
56	5.0	15.0
57	4.0	7.0
58	5.0	15.0
59	1.0	8.0
60	1.0	5.0
61	2.0	2.0
62	6.0	14.0
63	1.0	5.0
64	NA	4.0
65	2.0	3.0
66	2.0	16.0
67	11.0	8.0
68	7.0	10.0
69	3.0	2.0
70	4.0	4.0
71	32.0	6.0
72	1.0	7.0
73	4.0	2.0
74	2.0	16.0
75	1.0	11.0
76	3.0	6.0
77	5.0	51.0
78	2.0	3.0
79	2.0	6.0
80	3.0	3.0
81	1.0	NA
82	NA	4.0
83	NA	1.0
84	NA	7.0
85	NA	4.0
86	NA	3.0
88	1.0	1.0
89	2.0	1.0
90	2.0	5.0
92	NA	2.0
94	1.0	22.0
95	4.0	17.0
96	5.0	27.0
97	NA	3.0
98	NA	4.0
99	1.0	1.0
100	7.0	1.0
101	NA	4.0
102	1.0	4.0
103	NA	1.0
104	1.0	1.0
105	7.0	NA
106	3.0	3.0
107	2.0	NA
108	NA	4.0
109	NA	2.0
110	1.0	18.0
111	NA	7.0
112	2.0	6.0
113	1.0	2.0
114	NA	1.0
115	1.0	NA
116	NA	5.0
117	NA	10.0
118	1.0	2.0
119	NA	2.0
120	1.0	1.0
122	NA	6.0
123	1.0	3.0
125	1.0	NA
126	NA	4.0
127	1.0	1.0
128	NA	1.0
129	1.0	NA
130	1.0	NA
132	NA	7.0
133	1.0	7.0
134	NA	1.0
136	1.0	2.0
139	NA	2.0
140	NA	4.0
142	NA	4.0
143	1.0	NA
144	1.0	NA
145	NA	2.0
147	NA	2.0
148	NA	2.0
149	NA	1.0
152	1.0	NA
