	d	j	v	frequency	frequency
0	IGHD1-1*01	IGHJ3*02	IGHV1-18*01	NA	NA
1	IGHD1-1*01	IGHJ6*03	IGHV1-18*01	NA	NA
2	IGHD1-20*01	IGHJ6*03	IGHV1-18*01	NA	NA
3	IGHD1-20*01	IGHJ6*04	IGHV1-18*01	NA	NA
4	IGHD1-26*01	IGHJ1*01	IGHV1-18*01	NA	NA
5	IGHD1-26*01	IGHJ3*02	IGHV1-18*01	NA	NA
6	IGHD1-26*01	IGHJ4*02	IGHV1-18*01	NA	NA
7	IGHD1-26*01	IGHJ4*03	IGHV1-18*01	NA	NA
8	IGHD1-26*01	IGHJ5*02	IGHV1-18*01	NA	NA
9	IGHD1-26*01	IGHJ6*02	IGHV1-18*01	NA	NA
10	IGHD1-26*01	IGHJ6*03	IGHV1-18*01	NA	NA
11	IGHD2-15*01	IGHJ1*01	IGHV1-18*01	NA	NA
12	IGHD2-15*01	IGHJ2*01	IGHV1-18*01	NA	NA
13	IGHD2-15*01	IGHJ3*02	IGHV1-18*01	NA	NA
14	IGHD2-15*01	IGHJ4*02	IGHV1-18*01	NA	NA
15	IGHD2-15*01	IGHJ4*03	IGHV1-18*01	NA	NA
16	IGHD2-15*01	IGHJ5*01	IGHV1-18*01	NA	NA
17	IGHD2-15*01	IGHJ5*02	IGHV1-18*01	NA	NA
18	IGHD2-15*01	IGHJ6*02	IGHV1-18*01	NA	NA
19	IGHD2-15*01	IGHJ6*03	IGHV1-18*01	NA	NA
20	IGHD2-15*01	IGHJ6*04	IGHV1-18*01	NA	NA
21	IGHD2-2*02	IGHJ4*02	IGHV1-18*01	NA	NA
22	IGHD2-2*02	IGHJ5*02	IGHV1-18*01	NA	NA
23	IGHD2-2*03	IGHJ1*01	IGHV1-18*01	NA	NA
24	IGHD2-2*03	IGHJ3*02	IGHV1-18*01	NA	NA
25	IGHD2-2*03	IGHJ4*02	IGHV1-18*01	NA	NA
26	IGHD2-2*03	IGHJ5*02	IGHV1-18*01	NA	NA
27	IGHD2-2*03	IGHJ6*02	IGHV1-18*01	NA	NA
28	IGHD2-2*03	IGHJ6*03	IGHV1-18*01	NA	NA
29	IGHD2-2*03	IGHJ6*04	IGHV1-18*01	NA	NA
30	IGHD2-21*01	IGHJ3*02	IGHV1-18*01	NA	NA
31	IGHD2-21*01	IGHJ4*02	IGHV1-18*01	NA	NA
32	IGHD2-21*02	IGHJ1*01	IGHV1-18*01	NA	NA
33	IGHD2-21*02	IGHJ2*01	IGHV1-18*01	NA	NA
34	IGHD2-21*02	IGHJ3*02	IGHV1-18*01	NA	NA
35	IGHD2-21*02	IGHJ4*02	IGHV1-18*01	NA	NA
36	IGHD2-21*02	IGHJ4*03	IGHV1-18*01	NA	NA
37	IGHD2-21*02	IGHJ5*02	IGHV1-18*01	NA	NA
38	IGHD2-21*02	IGHJ6*02	IGHV1-18*01	NA	NA
39	IGHD2-8*01	IGHJ5*02	IGHV1-18*01	NA	NA
40	IGHD2-8*02	IGHJ3*01	IGHV1-18*01	NA	NA
41	IGHD2-8*02	IGHJ3*02	IGHV1-18*01	NA	NA
42	IGHD2-8*02	IGHJ5*02	IGHV1-18*01	NA	NA
43	IGHD2/OR15-2b*01	IGHJ1*01	IGHV1-18*01	NA	NA
44	IGHD3-10*01	IGHJ1*01	IGHV1-18*01	NA	NA
45	IGHD3-10*01	IGHJ2*01	IGHV1-18*01	NA	NA
46	IGHD3-10*01	IGHJ3*01	IGHV1-18*01	NA	NA
47	IGHD3-10*01	IGHJ3*02	IGHV1-18*01	NA	NA
48	IGHD3-10*01	IGHJ4*01	IGHV1-18*01	NA	NA
49	IGHD3-10*01	IGHJ4*02	IGHV1-18*01	NA	NA
50	IGHD3-10*01	IGHJ4*03	IGHV1-18*01	NA	NA
51	IGHD3-10*01	IGHJ5*02	IGHV1-18*01	NA	NA
52	IGHD3-10*01	IGHJ6*01	IGHV1-18*01	NA	NA
53	IGHD3-10*01	IGHJ6*02	IGHV1-18*01	NA	NA
54	IGHD3-10*01	IGHJ6*03	IGHV1-18*01	NA	NA
55	IGHD3-10*01	IGHJ6*04	IGHV1-18*01	NA	NA
56	IGHD3-10*02	IGHJ3*02	IGHV1-18*01	NA	NA
57	IGHD3-10*02	IGHJ4*02	IGHV1-18*01	NA	NA
58	IGHD3-10*02	IGHJ5*02	IGHV1-18*01	NA	NA
59	IGHD3-10*02	IGHJ6*02	IGHV1-18*01	NA	NA
60	IGHD3-10*02	IGHJ6*03	IGHV1-18*01	NA	NA
61	IGHD3-16*01	IGHJ4*02	IGHV1-18*01	NA	NA
62	IGHD3-16*01	IGHJ4*03	IGHV1-18*01	NA	NA
63	IGHD3-16*01	IGHJ5*02	IGHV1-18*01	NA	NA
64	IGHD3-16*02	IGHJ2*01	IGHV1-18*01	NA	NA
65	IGHD3-16*02	IGHJ3*02	IGHV1-18*01	NA	NA
66	IGHD3-16*02	IGHJ4*01	IGHV1-18*01	NA	NA
67	IGHD3-16*02	IGHJ4*02	IGHV1-18*01	NA	NA
68	IGHD3-16*02	IGHJ5*02	IGHV1-18*01	NA	NA
69	IGHD3-16*02	IGHJ6*02	IGHV1-18*01	NA	NA
70	IGHD3-16*02	IGHJ6*03	IGHV1-18*01	NA	NA
71	IGHD3-16*02	IGHJ6*04	IGHV1-18*01	NA	NA
72	IGHD3-22*01	IGHJ1*01	IGHV1-18*01	NA	NA
73	IGHD3-22*01	IGHJ2*01	IGHV1-18*01	NA	NA
74	IGHD3-22*01	IGHJ3*01	IGHV1-18*01	NA	NA
75	IGHD3-22*01	IGHJ3*02	IGHV1-18*01	NA	NA
76	IGHD3-22*01	IGHJ4*02	IGHV1-18*01	NA	NA
77	IGHD3-22*01	IGHJ4*03	IGHV1-18*01	NA	NA
78	IGHD3-22*01	IGHJ5*01	IGHV1-18*01	NA	NA
79	IGHD3-22*01	IGHJ5*02	IGHV1-18*01	NA	NA
80	IGHD3-22*01	IGHJ6*02	IGHV1-18*01	NA	NA
81	IGHD3-22*01	IGHJ6*03	IGHV1-18*01	NA	NA
82	IGHD3-22*01	IGHJ6*04	IGHV1-18*01	NA	NA
83	IGHD3-9*01	IGHJ1*01	IGHV1-18*01	NA	NA
84	IGHD3-9*01	IGHJ3*02	IGHV1-18*01	NA	NA
85	IGHD3-9*01	IGHJ4*01	IGHV1-18*01	NA	NA
86	IGHD3-9*01	IGHJ4*02	IGHV1-18*01	NA	NA
87	IGHD3-9*01	IGHJ4*03	IGHV1-18*01	NA	NA
88	IGHD3-9*01	IGHJ5*02	IGHV1-18*01	NA	NA
89	IGHD3-9*01	IGHJ6*02	IGHV1-18*01	NA	NA
90	IGHD3-9*01	IGHJ6*03	IGHV1-18*01	NA	NA
91	IGHD3/OR15-3b*01	IGHJ3*02	IGHV1-18*01	NA	NA
92	IGHD3/OR15-3b*01	IGHJ4*02	IGHV1-18*01	NA	NA
93	IGHD4-17*01	IGHJ2*01	IGHV1-18*01	NA	NA
94	IGHD4-17*01	IGHJ3*02	IGHV1-18*01	NA	NA
95	IGHD4-17*01	IGHJ4*01	IGHV1-18*01	NA	NA
96	IGHD4-17*01	IGHJ4*02	IGHV1-18*01	NA	NA
97	IGHD4-17*01	IGHJ4*03	IGHV1-18*01	NA	NA
98	IGHD4-17*01	IGHJ5*02	IGHV1-18*01	NA	NA
99	IGHD4-17*01	IGHJ6*02	IGHV1-18*01	NA	NA
100	IGHD4-23*01	IGHJ2*01	IGHV1-18*01	NA	NA
101	IGHD4-23*01	IGHJ3*02	IGHV1-18*01	NA	NA
102	IGHD4-23*01	IGHJ4*02	IGHV1-18*01	NA	NA
103	IGHD4-23*01	IGHJ6*03	IGHV1-18*01	NA	NA
104	IGHD5-12*01	IGHJ3*02	IGHV1-18*01	NA	NA
105	IGHD5-12*01	IGHJ4*02	IGHV1-18*01	NA	NA
106	IGHD5-12*01	IGHJ5*02	IGHV1-18*01	NA	NA
107	IGHD5-12*01	IGHJ6*02	IGHV1-18*01	NA	NA
108	IGHD5-12*01	IGHJ6*03	IGHV1-18*01	NA	NA
109	IGHD5-24*01	IGHJ1*01	IGHV1-18*01	NA	NA
