	frequency
unidentifiable	167061
X13972|IGHD3-10*01|Homo	17131
X93616|IGHD3-22*01|Homo	16221
X13972|IGHD3-9*01|Homo	6007
J00234|IGHD2-15*01|Homo	5509
X97051|IGHD6-19*01|Homo	5167
X13972|IGHD6-13*01|Homo	3802
X97051|IGHD2-2*02|Homo	2555
M35648|IGHD2-2*03|Homo	2501
X13972|IGHD5-12*01|Homo	2337
X97051|IGHD3-16*02|Homo	2063
X97051|IGHD1-26*01|Homo	1698
X97051|IGHD2-21*02|Homo	1595
X13972|IGHD5-5*01|Homo	1329
X93615|IGHD3-10*02|Homo	1007
X97051|IGHD4-17*01|Homo	964
X97051|IGHD5-24*01|Homo	695
X97051|IGHD4-23*01|Homo	420
X55584|IGHD5/OR15-5b*01|Homo	297
J00233|IGHD2-8*02|Homo	276
J00235|IGHD2-21*01|Homo	183
X93614|IGHD3-16*01|Homo	125
X97051|IGHD1-1*01|Homo	103
X55580|IGHD3/OR15-3b*01|Homo	60
X97051|IGHD1-20*01|Homo	31
X13972|IGHD3-3*01|Homo	23
X97051|IGHD6-25*01|Homo	21
X13972|IGHD2-8*01|Homo	20
J00232|IGHD2-2*01|Homo	11
X55578|IGHD2/OR15-2b*01|Homo	5
X13972|IGHD4-4*01|Homo	2
X93618|IGHD3-3*02|Homo	1
X55576|IGHD1/OR15-1b*01|Homo	1
