	frequency
X62106|IGHV1-2*02|Homo	83839
M99641|IGHV1-18*01|Homo	39026
HM855457|IGHV1-8*02|Homo	25912
Z14214|IGHV1-69*13|Homo	21786
KC713934|IGHV1-69D*01|Homo	14442
Z14300|IGHV1-69*10|Homo	12404
M99642|IGHV1-24*01|Homo	7408
X92343|IGHV1-46*01|Homo	7006
KF698734|IGHV1-69-2*01|Homo	4459
KC713948|IGHV1-69*14|Homo	4379
L06612|IGHV1-46*03|Homo	4053
M99637|IGHV1-8*01|Homo	3457
AB019438|IGHV1-58*02|Homo	2529
KC713938|IGHV1-18*04|Homo	1928
KF698733|IGHV1-2*04|Homo	1730
J00240|IGHV1-46*02|Homo	775
Z14296|IGHV1-69*11|Homo	614
HM855674|IGHV1-2*05|Homo	429
HM855463|IGHV1-18*03|Homo	393
Z12367|IGHV4-38-2*01|Homo	387
X92208|IGHV1-2*03|Homo	261
Z14301|IGHV1-69*12|Homo	238
AB019438|IGHV4-59*01|Homo	214
AB019439|IGHV4-34*01|Homo	202
HM855471|IGHV4-59*08|Homo	172
M29809|IGHV1-58*01|Homo	152
HM855394|IGHV1/OR15-1*04|Homo	136
X62112|IGHV4-4*07|Homo	121
Z14237|IGHV4-31*03|Homo	106
M99684|IGHV4-34*02|Homo	93
Z14238|IGHV4-30-4*01|Homo	87
X67905|IGHV1-69*05|Homo	76
X62107|IGHV1-3*02|Homo	68
AC233755|IGHV4-38-2*02|Homo	53
X56591|IGHV4-34*12|Homo	46
KF698736|IGHV1-38-4*01|Homo	37
Z29596|IGHV1/OR15-4*01|Homo	28
Z14309|IGHV1-69*08|Homo	20
M29812|IGHV4-59*02|Homo	17
HM855297|IGHV1/OR15-2*02|Homo	13
AM940222|IGHV4-39*07|Homo	12
Z12314|IGHV1/OR15-5*02|Homo	11
X56360|IGHV4-59*07|Homo	11
Z14307|IGHV1-69*09|Homo	11
AB019438|IGHV1-45*02|Homo	10
AF254982|IGHV1/OR21-1*01|Homo	9
AB019439|IGHV4-39*01|Homo	9
X92236|IGHV4-34*04|Homo	7
AC245243|IGHV3-30-5*02|Homo	4
M99683|IGHV4-31*02|Homo	4
X92216|IGHV3-15*01|Homo	3
AB019437|IGHV7-81*01|Homo	3
X07448|IGHV1-2*01|Homo	3
AB019437|IGHV4-61*08|Homo	3
M95114|IGHV4-59*03|Homo	3
X05715|IGHV4-39*02|Homo	3
X92256|IGHV4-34*06|Homo	2
AC244492|IGHV3-23D*01|Homo	2
Z14241|IGHV4-34*09|Homo	1
M95120|IGHV4-31*04|Homo	1
KC713942|IGHV4-4*08|Homo	1
AJ004954|IGHV1/OR15-1*02|Homo	1
M95117|IGHV4-59*04|Homo	1
X60503|IGHV1-18*02|Homo	1
M95113|IGHV4-34*08|Homo	1
HM855556|IGHV1/OR15-2*03|Homo	1
Z29631|IGHV1/OR15-1*01|Homo	1
AB019439|IGHV7-34-1*01|Homo	1
M95121|IGHV4-31*05|Homo	1
KC713936|IGHV4-28*07|Homo	1
KF698732|IGHV3-38-3*01|Homo	1
X92270|IGHV4-31*06|Homo	1
Z75360|IGHV4-30-4*06|Homo	1
