	frequency
unidentifiable	390670
X13972|IGHD3-10*01|Homo	17477
X93616|IGHD3-22*01|Homo	15620
X13972|IGHD3-9*01|Homo	10669
J00234|IGHD2-15*01|Homo	6417
X13972|IGHD6-13*01|Homo	6008
X13972|IGHD3-3*01|Homo	5224
X97051|IGHD6-19*01|Homo	5135
X97051|IGHD3-16*02|Homo	3316
X13972|IGHD5-12*01|Homo	1882
M35648|IGHD2-2*03|Homo	1658
X97051|IGHD2-21*02|Homo	1432
X97051|IGHD4-17*01|Homo	1390
X97051|IGHD5-24*01|Homo	1093
X55580|IGHD3/OR15-3b*01|Homo	884
X13972|IGHD5-5*01|Homo	852
J00235|IGHD2-21*01|Homo	760
J00233|IGHD2-8*02|Homo	713
X97051|IGHD1-26*01|Homo	641
X97051|IGHD2-2*02|Homo	599
X97051|IGHD4-23*01|Homo	516
X93618|IGHD3-3*02|Homo	434
X93615|IGHD3-10*02|Homo	372
X13972|IGHD6-6*01|Homo	357
X93614|IGHD3-16*01|Homo	137
X55584|IGHD5/OR15-5b*01|Homo	83
X13972|IGHD1-7*01|Homo	75
X13972|IGHD4-4*01|Homo	72
J00232|IGHD2-2*01|Homo	64
X55576|IGHD1/OR15-1b*01|Homo	53
X97051|IGHD1-1*01|Homo	46
X97051|IGHD6-25*01|Homo	29
X13972|IGHD2-8*01|Homo	24
X97051|IGHD1-20*01|Homo	20
X55578|IGHD2/OR15-2b*01|Homo	16
X55582|IGHD4/OR15-4b*01|Homo	1
