	frequency
AC244492|IGHV3-23D*01|Homo	53891
M99658|IGHV3-21*02|Homo	44867
J00239|IGHV3-74*03|Homo	25749
M99684|IGHV4-34*02|Homo	25295
AB019438|IGHV4-59*01|Homo	19428
AB019439|IGHV4-34*01|Homo	15093
Z14237|IGHV4-31*03|Homo	14957
L33851|IGHV3-74*01|Homo	14097
KF698735|IGHV3-53*02|Homo	13842
HM855336|IGHV3-48*04|Homo	13589
KC713945|IGHV3-30-3*03|Homo	13082
X92218|IGHV3-66*01|Homo	12665
X92216|IGHV3-15*01|Homo	12638
AB019439|IGHV4-39*01|Homo	10725
M99657|IGHV3-20*01|Homo	10595
AB019439|IGHV3-33*01|Homo	9742
HM855583|IGHV3-11*05|Homo	8685
M99675|IGHV3-48*01|Homo	7530
AM940220|IGHV3-49*04|Homo	7243
X70197|IGHV3-73*01|Homo	6884
HM855616|IGHV3-13*04|Homo	6595
AC245166|IGHV3-23D*02|Homo	6534
M99649|IGHV3-7*01|Homo	6470
M99654|IGHV3-15*02|Homo	6049
X92232|IGHV4-4*02|Homo	5829
L10097|IGHV4-61*02|Homo	5817
M95114|IGHV4-59*03|Homo	5575
HM855392|IGHV3-43*02|Homo	5319
KC713941|IGHV3-64D*06|Homo	4472
X70208|IGHV3-66*04|Homo	4460
Z12367|IGHV4-38-2*01|Homo	4365
M99682|IGHV3-64*01|Homo	4265
X92288|IGHV3-7*02|Homo	4060
HM855471|IGHV4-59*08|Homo	3764
M99651|IGHV3-9*01|Homo	3463
HM855436|IGHV3-33*06|Homo	3433
X56591|IGHV4-34*12|Homo	2968
HM855329|IGHV3-11*04|Homo	2681
AB019438|IGHV3-48*02|Homo	2619
AC233755|IGHV4-38-2*02|Homo	2619
M29811|IGHV4-61*01|Homo	2618
X62112|IGHV4-4*07|Homo	2446
HM855688|IGHV3-21*04|Homo	2365
X05715|IGHV4-39*02|Homo	2221
M99683|IGHV4-31*02|Homo	2196
M99403|IGHV3-15*05|Homo	2015
AB019437|IGHV4-61*08|Homo	1936
M29812|IGHV4-59*02|Homo	1891
KC713947|IGHV3-9*03|Homo	1851
X92206|IGHV3-72*01|Homo	1734
KC713950|IGHV3-43D*01|Homo	1581
M77334|IGHV3-33*05|Homo	1215
M77305|IGHV3-33*03|Homo	1130
M99672|IGHV3-43*01|Homo	1083
U03893|IGHV3-48*03|Homo	1043
X05712|IGHV4/OR15-8*02|Homo	917
M77335|IGHV3-33*04|Homo	802
M99402|IGHV3-15*04|Homo	778
X92236|IGHV4-34*04|Homo	719
X92230|IGHV4-61*03|Homo	710
Z17392|IGHV3-74*02|Homo	677
M77324|IGHV3-30*14|Homo	613
