	v	d	j	frequency
0	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ4*02|Homo	32173
1	J00239|IGHV3-74*03|Homo	NA	X86355|IGHJ4*02|Homo	19018
2	M99658|IGHV3-21*02|Homo	NA	X86355|IGHJ4*02|Homo	11685
3	M99684|IGHV4-34*02|Homo	NA	X86355|IGHJ4*02|Homo	10494
4	L33851|IGHV3-74*01|Homo	NA	X86355|IGHJ4*02|Homo	7817
5	M99658|IGHV3-21*02|Homo	NA	X86355|IGHJ3*02|Homo	6674
6	AB019439|IGHV4-34*01|Homo	NA	X86355|IGHJ4*02|Homo	6519
7	M99658|IGHV3-21*02|Homo	NA	J00256|IGHJ1*01|Homo	6486
8	M99654|IGHV3-15*02|Homo	NA	X86355|IGHJ5*02|Homo	5161
9	Z14237|IGHV4-31*03|Homo	NA	X86355|IGHJ4*02|Homo	5115
10	X92216|IGHV3-15*01|Homo	NA	X86355|IGHJ4*02|Homo	4825
11	AC245166|IGHV3-23D*02|Homo	NA	X86355|IGHJ4*02|Homo	4734
12	AB019438|IGHV4-59*01|Homo	NA	X86355|IGHJ4*02|Homo	4627
13	HM855336|IGHV3-48*04|Homo	NA	X86355|IGHJ4*02|Homo	4349
14	AB019438|IGHV4-59*01|Homo	NA	X86356|IGHJ6*03|Homo	4264
15	AB019439|IGHV4-39*01|Homo	NA	X86355|IGHJ4*02|Homo	4150
16	KF698735|IGHV3-53*02|Homo	NA	J00256|IGHJ1*01|Homo	4102
17	AB019438|IGHV4-59*01|Homo	NA	X86355|IGHJ5*02|Homo	3793
18	M99675|IGHV3-48*01|Homo	NA	X86355|IGHJ4*02|Homo	3770
19	AM940220|IGHV3-49*04|Homo	NA	X86355|IGHJ4*02|Homo	3708
20	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ4*02|Homo	3695
21	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ5*02|Homo	3477
22	KC713941|IGHV3-64D*06|Homo	NA	X86355|IGHJ4*02|Homo	3409
23	X92218|IGHV3-66*01|Homo	NA	X86355|IGHJ3*02|Homo	3290
24	AB019439|IGHV3-33*01|Homo	NA	X86355|IGHJ4*02|Homo	3267
25	X92216|IGHV3-15*01|Homo	NA	X86355|IGHJ5*02|Homo	3186
26	M99651|IGHV3-9*01|Homo	NA	X86355|IGHJ4*02|Homo	3017
27	M99649|IGHV3-7*01|Homo	NA	J00256|IGHJ2*01|Homo	2636
28	X92218|IGHV3-66*01|Homo	NA	X86355|IGHJ4*02|Homo	2616
29	M99684|IGHV4-34*02|Homo	NA	X86355|IGHJ5*02|Homo	2554
30	M95114|IGHV4-59*03|Homo	NA	X86355|IGHJ4*02|Homo	2504
31	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ3*02|Homo	2477
32	M99657|IGHV3-20*01|Homo	NA	X86355|IGHJ4*02|Homo	2394
33	HM855583|IGHV3-11*05|Homo	NA	X86355|IGHJ4*02|Homo	2393
34	M99658|IGHV3-21*02|Homo	NA	X86355|IGHJ5*02|Homo	2276
35	M99658|IGHV3-21*02|Homo	NA	X86356|IGHJ6*03|Homo	2107
36	HM855336|IGHV3-48*04|Homo	X13972|IGHD6-13*01|Homo	X86355|IGHJ5*02|Homo	2013
37	KF698735|IGHV3-53*02|Homo	NA	X86355|IGHJ4*02|Homo	1994
38	X70197|IGHV3-73*01|Homo	NA	X86355|IGHJ5*02|Homo	1987
39	J00239|IGHV3-74*03|Homo	NA	X86355|IGHJ5*02|Homo	1905
40	X92232|IGHV4-4*02|Homo	NA	X86355|IGHJ4*02|Homo	1881
41	Z12367|IGHV4-38-2*01|Homo	NA	X86355|IGHJ4*02|Homo	1857
42	X92218|IGHV3-66*01|Homo	NA	X86355|IGHJ6*02|Homo	1760
43	HM855583|IGHV3-11*05|Homo	NA	X86355|IGHJ6*02|Homo	1755
44	AC244492|IGHV3-23D*01|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	1683
45	AM940220|IGHV3-49*04|Homo	NA	X86355|IGHJ5*02|Homo	1672
46	X70208|IGHV3-66*04|Homo	NA	X86355|IGHJ4*02|Homo	1628
47	M99649|IGHV3-7*01|Homo	NA	X86355|IGHJ4*02|Homo	1609
48	Z14237|IGHV4-31*03|Homo	NA	X86355|IGHJ5*02|Homo	1590
49	AC244492|IGHV3-23D*01|Homo	NA	X86355|IGHJ6*02|Homo	1574
50	M99658|IGHV3-21*02|Homo	X13972|IGHD3-10*01|Homo	J00256|IGHJ3*01|Homo	1572
51	AC244492|IGHV3-23D*01|Homo	NA	J00256|IGHJ2*01|Homo	1569
52	M99658|IGHV3-21*02|Homo	NA	X86355|IGHJ6*02|Homo	1561
53	X92288|IGHV3-7*02|Homo	NA	X86355|IGHJ4*02|Homo	1549
54	M99657|IGHV3-20*01|Homo	NA	X86356|IGHJ6*03|Homo	1546
55	M99657|IGHV3-20*01|Homo	NA	X86355|IGHJ5*02|Homo	1529
56	AB019439|IGHV4-34*01|Homo	NA	X86355|IGHJ6*02|Homo	1511
57	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ6*02|Homo	1469
58	HM855471|IGHV4-59*08|Homo	NA	X86355|IGHJ4*02|Homo	1459
59	KF698735|IGHV3-53*02|Homo	NA	X86356|IGHJ6*03|Homo	1438
60	AC244492|IGHV3-23D*01|Homo	NA	X86356|IGHJ6*03|Homo	1421
61	AB019439|IGHV4-39*01|Homo	NA	X86355|IGHJ5*02|Homo	1420
62	M99683|IGHV4-31*02|Homo	NA	X86355|IGHJ4*02|Homo	1415
63	L10097|IGHV4-61*02|Homo	NA	X86356|IGHJ6*03|Homo	1411
64	M99684|IGHV4-34*02|Homo	NA	X86356|IGHJ6*03|Homo	1391
65	HM855392|IGHV3-43*02|Homo	NA	X86355|IGHJ6*02|Homo	1382
66	X70197|IGHV3-73*01|Homo	NA	X86355|IGHJ4*02|Homo	1369
67	X92232|IGHV4-4*02|Homo	NA	X86355|IGHJ6*02|Homo	1345
68	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ5*02|Homo	1340
69	HM855688|IGHV3-21*04|Homo	NA	X86355|IGHJ4*02|Homo	1335
70	M99684|IGHV4-34*02|Homo	NA	J00256|IGHJ2*01|Homo	1334
71	HM855583|IGHV3-11*05|Homo	NA	J00256|IGHJ3*01|Homo	1322
72	AB019438|IGHV4-59*01|Homo	NA	X86355|IGHJ3*02|Homo	1297
73	M99658|IGHV3-21*02|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ6*02|Homo	1285
74	L10097|IGHV4-61*02|Homo	NA	X86355|IGHJ4*02|Homo	1257
75	M99684|IGHV4-34*02|Homo	NA	X86355|IGHJ3*02|Homo	1252
76	HM855616|IGHV3-13*04|Homo	NA	X86355|IGHJ4*02|Homo	1249
77	HM855471|IGHV4-59*08|Homo	NA	X86356|IGHJ6*03|Homo	1241
78	M99403|IGHV3-15*05|Homo	NA	X86355|IGHJ4*02|Homo	1229
79	X92206|IGHV3-72*01|Homo	NA	X86355|IGHJ4*02|Homo	1217
80	M99684|IGHV4-34*02|Homo	NA	J00256|IGHJ4*01|Homo	1216
81	AB019437|IGHV4-61*08|Homo	NA	X86355|IGHJ6*02|Homo	1214
82	AB019439|IGHV3-33*01|Homo	NA	X86355|IGHJ3*02|Homo	1203
83	HM855436|IGHV3-33*06|Homo	NA	X86355|IGHJ4*02|Homo	1203
84	L33851|IGHV3-74*01|Homo	X13972|IGHD3-9*01|Homo	X86355|IGHJ4*02|Homo	1202
85	Z14237|IGHV4-31*03|Homo	NA	X86355|IGHJ6*02|Homo	1192
86	KC713947|IGHV3-9*03|Homo	NA	X86355|IGHJ4*02|Homo	1167
87	L33851|IGHV3-74*01|Homo	NA	X86355|IGHJ5*02|Homo	1149
88	AB019438|IGHV3-48*02|Homo	NA	X86355|IGHJ4*02|Homo	1146
89	X92288|IGHV3-7*02|Homo	NA	X86355|IGHJ6*02|Homo	1146
90	M99658|IGHV3-21*02|Homo	NA	J00256|IGHJ2*01|Homo	1145
91	M99684|IGHV4-34*02|Homo	NA	M25625|IGHJ4*03|Homo	1142
92	J00239|IGHV3-74*03|Homo	NA	X86355|IGHJ3*02|Homo	1139
93	M99684|IGHV4-34*02|Homo	NA	X86355|IGHJ6*02|Homo	1120
94	M99682|IGHV3-64*01|Homo	NA	X86356|IGHJ6*03|Homo	1115
95	HM855616|IGHV3-13*04|Homo	NA	J00256|IGHJ3*01|Homo	1104
96	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ1*01|Homo	1098
97	HM855583|IGHV3-11*05|Homo	NA	X86355|IGHJ3*02|Homo	1085
98	AC244492|IGHV3-23D*01|Homo	NA	M25625|IGHJ4*03|Homo	1079
