	v	d	j	frequency
0	X62106|IGHV1-2*02|Homo	NA	X86355|IGHJ4*02|Homo	18012
1	X62106|IGHV1-2*02|Homo	NA	X86355|IGHJ6*02|Homo	17725
2	X62106|IGHV1-2*02|Homo	NA	X86355|IGHJ3*02|Homo	11201
3	M99641|IGHV1-18*01|Homo	NA	X86355|IGHJ4*02|Homo	10824
4	HM855457|IGHV1-8*02|Homo	NA	X86355|IGHJ4*02|Homo	7892
5	X62106|IGHV1-2*02|Homo	NA	X86355|IGHJ5*02|Homo	7587
6	HM855457|IGHV1-8*02|Homo	NA	X86355|IGHJ5*02|Homo	4662
7	Z14300|IGHV1-69*10|Homo	NA	X86356|IGHJ6*03|Homo	4405
8	Z14214|IGHV1-69*13|Homo	NA	X86355|IGHJ3*02|Homo	3899
9	M99641|IGHV1-18*01|Homo	NA	X86355|IGHJ3*02|Homo	3637
10	Z14214|IGHV1-69*13|Homo	NA	X86355|IGHJ4*02|Homo	3560
11	X62106|IGHV1-2*02|Homo	NA	X86356|IGHJ6*03|Homo	3269
12	M99641|IGHV1-18*01|Homo	NA	X86355|IGHJ5*02|Homo	3132
13	Z14214|IGHV1-69*13|Homo	NA	X86355|IGHJ6*02|Homo	3021
14	KC713934|IGHV1-69D*01|Homo	NA	X86355|IGHJ4*02|Homo	2965
15	M99641|IGHV1-18*01|Homo	NA	X86356|IGHJ6*03|Homo	2800
16	X62106|IGHV1-2*02|Homo	X93616|IGHD3-22*01|Homo	X86355|IGHJ4*02|Homo	2315
17	M99641|IGHV1-18*01|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	2297
18	X62106|IGHV1-2*02|Homo	X13972|IGHD3-10*01|Homo	X86355|IGHJ4*02|Homo	2293
19	X92343|IGHV1-46*01|Homo	NA	X86355|IGHJ4*02|Homo	2291
20	HM855457|IGHV1-8*02|Homo	NA	X86355|IGHJ3*02|Homo	2242
21	Z14300|IGHV1-69*10|Homo	NA	X86355|IGHJ4*02|Homo	2142
22	M99641|IGHV1-18*01|Homo	NA	X86355|IGHJ6*02|Homo	2066
23	KC713948|IGHV1-69*14|Homo	NA	X86355|IGHJ4*02|Homo	1930
