	v	d	j	frequency
0	IGHV3-6*02	NA	IGHJ4*01	14897
1	IGHV1-80*01	NA	IGHJ3*01	12795
2	IGHV1-72*01	NA	IGHJ4*01	11307
3	IGHV1-53*01	NA	IGHJ3*01	8747
4	IGHV1-80*01	NA	IGHJ2*01	8019
5	IGHV1-76*01	NA	IGHJ4*01	7453
6	IGHV1-72*01	NA	IGHJ2*01	7419
7	IGHV1-9*01	NA	IGHJ4*01	6870
8	IGHV9-3*01	IGHD1-1*01	IGHJ1*03	6779
9	IGHV1-53*01	NA	IGHJ2*01	6664
10	IGHV1-53*01	NA	IGHJ4*01	6532
11	IGHV3-2*02	NA	IGHJ3*01	6092
12	IGHV1-55*01	NA	IGHJ2*01	5785
13	IGHV1-82*01	NA	IGHJ4*01	5002
14	IGHV1-15*01	IGHD1-1*01	IGHJ2*01	4937
15	IGHV1-9*01	NA	IGHJ3*01	4839
16	IGHV1-26*01	NA	IGHJ4*01	4815
17	IGHV1-55*01	NA	IGHJ4*01	4661
18	IGHV1-55*01	NA	IGHJ1*03	4649
19	IGHV1-52*01	NA	IGHJ2*01	4588
20	IGHV7-3*01	NA	IGHJ2*01	4289
21	IGHV1-26*01	NA	IGHJ2*01	4098
22	IGHV14-4*01	NA	IGHJ2*01	3982
23	IGHV11-2*02	NA	IGHJ1*01	3963
24	IGHV1-52*01	NA	IGHJ4*01	3911
25	IGHV1-72*01	NA	IGHJ1*03	3700
26	IGHV1-64*01	NA	IGHJ2*01	3632
27	IGHV1-15*01	NA	IGHJ2*01	3551
28	IGHV1-72*01	NA	IGHJ3*01	3396
29	IGHV3-2*02	NA	IGHJ2*01	3240
30	IGHV8-12*01	NA	IGHJ4*01	3202
31	IGHV1-64*01	NA	IGHJ1*03	3163
32	IGHV4-1*02	NA	IGHJ2*01	3161
33	IGHV1-26*01	NA	IGHJ3*01	3122
34	IGHV9-3*01	NA	IGHJ4*01	3109
35	IGHV3-2*02	NA	IGHJ4*01	3097
36	IGHV4-1*02	NA	IGHJ3*01	3095
