	vj_ins_len
0	2352
1	3672
2	3846
3	10169
4	13604
5	13965
6	19601
7	28732
8	15762
9	18868
10	20038
11	21833
12	18067
13	28065
14	26510
15	30750
16	32979
17	30602
18	30031
19	30844
20	25736
21	17673
22	21473
23	20402
24	19719
25	16054
26	11899
27	6189
28	15394
29	7937
30	5874
31	12317
32	1715
33	1369
34	1624
35	559
36	685
37	993
38	165
39	76
40	25
41	72
42	16
43	31
44	80
45	7
47	33
48	9
49	14
50	5
51	11
52	18
53	3
54	4
55	5
56	5
57	2
58	5
59	6
61	3
62	3
63	6
66	1
67	6
68	1
71	1
73	2
74	3
75	1
76	9
77	1
79	2
81	5
82	1
88	1
93	2
94	9
95	1
99	1
105	5
106	2
109	2
110	3
111	4
119	1
125	33
130	2
170	2
