	nucl_len
0.0	11
3.0	2
4.0	6
5.0	2
6.0	28
7.0	6
8.0	16
9.0	23
10.0	15
11.0	33
12.0	296
13.0	22
14.0	55
15.0	9095
16.0	80
17.0	203
18.0	12938
19.0	142
20.0	302
21.0	16899
22.0	254
23.0	375
24.0	14864
25.0	217
26.0	485
27.0	25852
28.0	272
29.0	598
30.0	33935
31.0	341
32.0	818
33.0	62445
34.0	584
35.0	944
36.0	49903
37.0	627
38.0	1144
39.0	54820
40.0	611
41.0	628
42.0	44757
43.0	448
44.0	501
45.0	22118
46.0	252
47.0	350
48.0	15399
49.0	216
50.0	543
51.0	10714
52.0	58
53.0	68
54.0	2904
55.0	69
56.0	36
57.0	973
58.0	9
59.0	33
60.0	723
61.0	8
62.0	2
63.0	47
64.0	2
66.0	12
68.0	1
69.0	50
137.0	1
152.0	1
161.0	2
162.0	9
165.0	1
333.0	2
339.0	1
341.0	1
342.0	5
345.0	4
348.0	1
351.0	1
