	ERR849859	ERR849860
0	9.0	11.0
3	1.0	2.0
4	4.0	6.0
5	3.0	2.0
6	24.0	28.0
7	10.0	6.0
8	28.0	16.0
9	29.0	23.0
10	19.0	15.0
11	45.0	33.0
12	296.0	296.0
13	15.0	22.0
14	55.0	55.0
15	9901.0	9095.0
16	64.0	80.0
17	253.0	203.0
18	13749.0	12938.0
19	137.0	142.0
20	300.0	302.0
21	18745.0	16899.0
22	216.0	254.0
23	316.0	375.0
24	16128.0	14864.0
25	243.0	217.0
26	448.0	485.0
27	28217.0	25852.0
28	286.0	272.0
29	743.0	598.0
30	36709.0	33935.0
31	374.0	341.0
32	852.0	818.0
33	70747.0	62445.0
34	550.0	584.0
35	878.0	944.0
36	54374.0	49903.0
37	578.0	627.0
38	1088.0	1144.0
39	59749.0	54820.0
40	613.0	611.0
41	696.0	628.0
42	48520.0	44757.0
43	430.0	448.0
44	512.0	501.0
45	23588.0	22118.0
46	241.0	252.0
47	377.0	350.0
48	16549.0	15399.0
49	222.0	216.0
50	457.0	543.0
51	11727.0	10714.0
52	57.0	58.0
53	81.0	68.0
54	3053.0	2904.0
55	61.0	69.0
56	32.0	36.0
57	1110.0	973.0
58	7.0	9.0
59	28.0	33.0
60	819.0	723.0
61	6.0	8.0
62	1.0	2.0
63	54.0	47.0
64	1.0	2.0
66	7.0	12.0
68	1.0	1.0
69	59.0	50.0
71	1.0	NA
137	1.0	1.0
152	NA	1.0
161	NA	2.0
162	11.0	9.0
164	2.0	NA
165	NA	1.0
330	1.0	NA
333	4.0	2.0
336	3.0	NA
339	NA	1.0
341	NA	1.0
342	1.0	5.0
345	22.0	4.0
348	NA	1.0
351	NA	1.0
354	1.0	NA
372	1.0	NA
