	ERR849859	ERR849860
0	356835.0	331906.0
1	75164.0	68492.0
2	63990.0	57887.0
3	46897.0	40102.0
4	23948.0	22173.0
5	12170.0	10839.0
6	6176.0	5624.0
7	1604.0	1382.0
8	508.0	466.0
9	298.0	259.0
10	98.0	98.0
11	85.0	61.0
12	52.0	58.0
13	52.0	59.0
14	46.0	44.0
15	16.0	22.0
16	40.0	23.0
17	19.0	15.0
18	110.0	101.0
19	8.0	12.0
20	14.0	12.0
21	53.0	59.0
22	14.0	3.0
23	16.0	27.0
24	14.0	8.0
25	3.0	5.0
26	9.0	10.0
27	3.0	1.0
28	2.0	NA
29	7.0	6.0
30	4.0	2.0
31	2.0	3.0
32	6.0	10.0
33	1.0	1.0
34	NA	1.0
35	4.0	5.0
36	7.0	8.0
37	13.0	13.0
38	3.0	5.0
39	5.0	NA
40	3.0	6.0
41	7.0	4.0
42	3.0	2.0
43	10.0	5.0
44	1.0	4.0
45	3.0	2.0
46	4.0	2.0
47	NA	1.0
48	2.0	3.0
49	1.0	6.0
50	8.0	5.0
51	13.0	19.0
52	50.0	36.0
53	NA	1.0
54	13.0	12.0
56	7.0	8.0
57	1.0	1.0
58	1.0	NA
59	4.0	6.0
60	5.0	1.0
62	1.0	4.0
63	3.0	1.0
64	1.0	1.0
65	1.0	NA
67	NA	2.0
68	1.0	2.0
69	1.0	NA
70	3.0	8.0
71	NA	1.0
73	1.0	2.0
75	6.0	5.0
76	1.0	1.0
77	1.0	1.0
79	4.0	3.0
80	8.0	3.0
81	5.0	6.0
82	3.0	1.0
83	1.0	NA
84	NA	1.0
85	7.0	5.0
87	3.0	2.0
89	1.0	NA
90	4.0	5.0
93	9.0	9.0
95	1.0	NA
96	1.0	1.0
99	3.0	2.0
100	8.0	12.0
101	1.0	NA
103	1.0	NA
105	12.0	9.0
107	2.0	1.0
108	6.0	7.0
110	2.0	1.0
112	NA	1.0
115	14.0	6.0
117	5.0	8.0
118	3.0	7.0
120	1.0	NA
121	6.0	6.0
122	1.0	7.0
124	2.0	2.0
132	NA	1.0
134	6.0	5.0
135	1.0	1.0
136	10.0	3.0
137	2.0	NA
139	1.0	1.0
142	NA	1.0
143	5.0	2.0
144	NA	1.0
145	1.0	NA
146	1.0	3.0
153	NA	1.0
154	8.0	6.0
161	NA	1.0
163	1.0	NA
169	2.0	2.0
171	1.0	1.0
282	2.0	6.0
