	V	D	J	ERR849859	ERR849860
0	IGHV1-11*01	IGHD1-1*01	IGHJ1*01	8.0	NA
1	IGHV1-11*01	IGHD1-1*01	IGHJ1*03	NA	1.0
2	IGHV1-11*01	IGHD1-1*01	IGHJ2*01	1.0	3.0
3	IGHV1-11*01	IGHD1-1*01	IGHJ3*01	2.0	1.0
4	IGHV1-11*01	IGHD1-1*01	IGHJ4*01	8.0	12.0
5	IGHV1-11*01	IGHD1-2*01	IGHJ2*01	NA	1.0
6	IGHV1-11*01	IGHD2-11*02	IGHJ3*01	NA	1.0
7	IGHV1-11*01	IGHD2-14*01	IGHJ3*01	1.0	NA
8	IGHV1-11*01	IGHD2-14*01	IGHJ4*01	3.0	9.0
9	IGHV1-11*01	IGHD2-3*01	IGHJ2*01	1.0	NA
10	IGHV1-11*01	IGHD2-3*01	IGHJ4*01	2.0	NA
11	IGHV1-11*01	IGHD2-6*01	IGHJ3*01	1.0	1.0
12	IGHV1-11*01	IGHD2-9*02	IGHJ4*01	1.0	NA
13	IGHV1-11*01	IGHD3-2*01	IGHJ3*01	2.0	6.0
14	IGHV1-11*01	NA	IGHJ1*01	1.0	NA
15	IGHV1-11*01	NA	IGHJ1*03	3.0	4.0
16	IGHV1-11*01	NA	IGHJ2*01	62.0	62.0
17	IGHV1-11*01	NA	IGHJ3*01	19.0	17.0
18	IGHV1-11*01	NA	IGHJ4*01	48.0	59.0
19	IGHV1-12*01	IGHD1-1*01	IGHJ1*01	6.0	5.0
20	IGHV1-12*01	IGHD1-1*01	IGHJ1*03	28.0	37.0
21	IGHV1-12*01	IGHD1-1*01	IGHJ2*01	93.0	68.0
22	IGHV1-12*01	IGHD1-1*01	IGHJ3*01	13.0	24.0
23	IGHV1-12*01	IGHD1-1*01	IGHJ4*01	40.0	46.0
24	IGHV1-12*01	IGHD1-1*02	IGHJ3*01	1.0	NA
25	IGHV1-12*01	IGHD1-2*01	IGHJ4*01	2.0	1.0
26	IGHV1-12*01	IGHD2-14*01	IGHJ3*01	4.0	4.0
27	IGHV1-12*01	IGHD2-3*01	IGHJ3*01	5.0	3.0
28	IGHV1-12*01	IGHD2-3*01	IGHJ4*01	72.0	73.0
29	IGHV1-12*01	IGHD2-6*01	IGHJ2*01	122.0	97.0
30	IGHV1-12*01	IGHD2-6*01	IGHJ2*02	1.0	NA
31	IGHV1-12*01	IGHD2-6*01	IGHJ3*01	2.0	5.0
32	IGHV1-12*01	IGHD2-6*01	IGHJ4*01	5.0	6.0
33	IGHV1-12*01	IGHD2-7*01	IGHJ3*01	5.0	3.0
34	IGHV1-12*01	IGHD2-7*01	IGHJ4*01	NA	1.0
35	IGHV1-12*01	IGHD2-8*01	IGHJ1*03	1.0	NA
36	IGHV1-12*01	IGHD2-8*01	IGHJ2*01	1.0	1.0
37	IGHV1-12*01	IGHD2-8*01	IGHJ3*01	16.0	6.0
38	IGHV1-12*01	IGHD2-9*02	IGHJ2*01	7.0	2.0
39	IGHV1-12*01	IGHD2-9*02	IGHJ3*01	5.0	6.0
40	IGHV1-12*01	IGHD2-9*02	IGHJ4*01	6.0	5.0
41	IGHV1-12*01	IGHD3-2*01	IGHJ2*01	5.0	4.0
42	IGHV1-12*01	IGHD3-2*02	IGHJ2*01	1.0	NA
43	IGHV1-12*01	IGHD3-2*02	IGHJ3*01	12.0	8.0
44	IGHV1-12*01	NA	IGHJ1*01	57.0	48.0
45	IGHV1-12*01	NA	IGHJ1*03	152.0	142.0
46	IGHV1-12*01	NA	IGHJ2*01	716.0	726.0
47	IGHV1-12*01	NA	IGHJ2*02	1.0	3.0
48	IGHV1-12*01	NA	IGHJ3*01	1930.0	1731.0
49	IGHV1-12*01	NA	IGHJ3*02	28.0	22.0
50	IGHV1-12*01	NA	IGHJ4*01	964.0	868.0
51	IGHV1-13*01	IGHD1-1*01	IGHJ2*01	1.0	NA
52	IGHV1-13*01	IGHD1-1*01	IGHJ3*01	3.0	1.0
53	IGHV1-13*01	IGHD2-8*01	IGHJ3*01	3.0	2.0
54	IGHV1-13*01	NA	IGHJ2*01	4.0	6.0
55	IGHV1-13*01	NA	IGHJ3*01	NA	4.0
56	IGHV1-13*01	NA	IGHJ4*01	1.0	NA
57	IGHV1-14*01	IGHD1-1*01	IGHJ1*01	29.0	22.0
58	IGHV1-14*01	IGHD1-1*01	IGHJ2*01	44.0	42.0
59	IGHV1-14*01	IGHD1-1*01	IGHJ3*01	27.0	32.0
60	IGHV1-14*01	IGHD1-1*01	IGHJ4*01	34.0	40.0
61	IGHV1-14*01	IGHD1-2*01	IGHJ4*01	3.0	4.0
62	IGHV1-14*01	IGHD2-11*02	IGHJ1*01	NA	2.0
63	IGHV1-14*01	IGHD2-11*02	IGHJ3*01	1.0	1.0
64	IGHV1-14*01	IGHD2-11*02	IGHJ4*01	3.0	6.0
65	IGHV1-14*01	IGHD2-14*01	IGHJ2*01	6.0	4.0
66	IGHV1-14*01	IGHD2-14*01	IGHJ3*01	2.0	7.0
67	IGHV1-14*01	IGHD2-14*01	IGHJ4*01	4.0	4.0
68	IGHV1-14*01	IGHD2-3*01	IGHJ2*01	4.0	2.0
69	IGHV1-14*01	IGHD2-3*01	IGHJ3*01	1.0	3.0
70	IGHV1-14*01	IGHD2-3*01	IGHJ4*01	1.0	2.0
71	IGHV1-14*01	IGHD2-7*01	IGHJ1*01	1.0	1.0
72	IGHV1-14*01	IGHD2-8*01	IGHJ2*01	3.0	4.0
73	IGHV1-14*01	IGHD2-8*01	IGHJ3*01	27.0	22.0
74	IGHV1-14*01	IGHD2-8*01	IGHJ4*01	29.0	28.0
75	IGHV1-14*01	IGHD2-9*01	IGHJ1*01	NA	1.0
76	IGHV1-14*01	IGHD2-9*01	IGHJ3*01	1.0	NA
77	IGHV1-14*01	IGHD2-9*01	IGHJ4*01	5.0	2.0
78	IGHV1-14*01	IGHD2-9*02	IGHJ3*01	2.0	2.0
79	IGHV1-14*01	IGHD2-9*02	IGHJ4*01	4.0	3.0
80	IGHV1-14*01	IGHD3-1*01	IGHJ4*01	2.0	1.0
81	IGHV1-14*01	IGHD3-2*01	IGHJ2*01	5.0	4.0
82	IGHV1-14*01	IGHD3-2*01	IGHJ3*01	5.0	5.0
83	IGHV1-14*01	IGHD3-2*01	IGHJ4*01	1.0	NA
84	IGHV1-14*01	NA	IGHJ1*01	556.0	571.0
85	IGHV1-14*01	NA	IGHJ1*03	4.0	8.0
86	IGHV1-14*01	NA	IGHJ2*01	949.0	929.0
87	IGHV1-14*01	NA	IGHJ2*02	1.0	2.0
88	IGHV1-14*01	NA	IGHJ3*01	736.0	675.0
89	IGHV1-14*01	NA	IGHJ3*02	2.0	7.0
90	IGHV1-14*01	NA	IGHJ4*01	635.0	612.0
91	IGHV1-15*01	IGHD1-1*01	IGHJ1*01	1.0	4.0
92	IGHV1-15*01	IGHD1-1*01	IGHJ1*03	546.0	473.0
93	IGHV1-15*01	IGHD1-1*01	IGHJ2*01	4937.0	4488.0
94	IGHV1-15*01	IGHD1-1*01	IGHJ2*02	15.0	7.0
95	IGHV1-15*01	IGHD1-1*01	IGHJ3*01	135.0	112.0
96	IGHV1-15*01	IGHD1-1*01	IGHJ4*01	97.0	87.0
97	IGHV1-15*01	IGHD1-1*02	IGHJ1*03	1.0	NA
98	IGHV1-15*01	IGHD1-1*02	IGHJ2*01	11.0	11.0
99	IGHV1-15*01	IGHD1-2*01	IGHJ3*01	5.0	9.0
100	IGHV1-15*01	IGHD1-2*01	IGHJ4*01	2.0	1.0
101	IGHV1-15*01	IGHD2-11*02	IGHJ2*01	NA	2.0
102	IGHV1-15*01	IGHD2-11*02	IGHJ3*01	7.0	8.0
103	IGHV1-15*01	IGHD2-14*01	IGHJ3*01	2.0	1.0
104	IGHV1-15*01	IGHD2-14*01	IGHJ4*01	3.0	1.0
105	IGHV1-15*01	IGHD2-3*01	IGHJ1*03	1.0	1.0
106	IGHV1-15*01	IGHD2-3*01	IGHJ2*01	3.0	NA
107	IGHV1-15*01	IGHD2-3*01	IGHJ3*01	9.0	4.0
108	IGHV1-15*01	IGHD2-3*01	IGHJ4*01	NA	1.0
109	IGHV1-15*01	IGHD2-6*01	IGHJ1*03	8.0	3.0
110	IGHV1-15*01	IGHD2-6*01	IGHJ2*01	122.0	124.0
111	IGHV1-15*01	IGHD2-6*01	IGHJ2*02	NA	1.0
112	IGHV1-15*01	IGHD2-6*01	IGHJ3*01	21.0	20.0
113	IGHV1-15*01	IGHD2-6*01	IGHJ4*01	5.0	1.0
114	IGHV1-15*01	IGHD2-7*01	IGHJ1*01	2.0	5.0
115	IGHV1-15*01	IGHD2-7*01	IGHJ2*01	1.0	3.0
116	IGHV1-15*01	IGHD2-7*01	IGHJ3*01	1.0	4.0
117	IGHV1-15*01	IGHD2-7*01	IGHJ4*01	NA	1.0
118	IGHV1-15*01	IGHD2-8*01	IGHJ1*01	3.0	2.0
119	IGHV1-15*01	IGHD2-8*01	IGHJ2*01	3.0	5.0
120	IGHV1-15*01	IGHD2-8*01	IGHJ3*01	23.0	23.0
121	IGHV1-15*01	IGHD2-8*01	IGHJ4*01	2.0	5.0
122	IGHV1-15*01	IGHD2-9*01	IGHJ3*01	1.0	2.0
123	IGHV1-15*01	IGHD2-9*02	IGHJ2*01	11.0	13.0
124	IGHV1-15*01	IGHD2-9*02	IGHJ3*01	9.0	7.0
125	IGHV1-15*01	IGHD2-9*02	IGHJ4*01	10.0	3.0
126	IGHV1-15*01	IGHD3-2*01	IGHJ3*01	3.0	1.0
127	IGHV1-15*01	IGHD3-2*01	IGHJ4*01	NA	2.0
128	IGHV1-15*01	IGHD3-2*02	IGHJ3*01	1.0	4.0
129	IGHV1-15*01	IGHD3-2*02	IGHJ4*01	2.0	2.0
130	IGHV1-15*01	NA	IGHJ1*01	47.0	55.0
131	IGHV1-15*01	NA	IGHJ1*03	417.0	396.0
132	IGHV1-15*01	NA	IGHJ2*01	3551.0	3177.0
133	IGHV1-15*01	NA	IGHJ2*02	6.0	12.0
134	IGHV1-15*01	NA	IGHJ3*01	832.0	812.0
135	IGHV1-15*01	NA	IGHJ3*02	57.0	45.0
136	IGHV1-15*01	NA	IGHJ4*01	2719.0	2480.0
137	IGHV1-17*01	IGHD1-1*01	IGHJ4*01	NA	3.0
138	IGHV1-17*01	NA	IGHJ3*01	NA	1.0
139	IGHV1-17*01	NA	IGHJ4*01	1.0	2.0
140	IGHV1-18*01	IGHD1-1*01	IGHJ1*01	11.0	12.0
141	IGHV1-18*01	IGHD1-1*01	IGHJ1*03	58.0	62.0
142	IGHV1-18*01	IGHD1-1*01	IGHJ2*01	114.0	116.0
143	IGHV1-18*01	IGHD1-1*01	IGHJ3*01	87.0	82.0
144	IGHV1-18*01	IGHD1-1*01	IGHJ4*01	38.0	40.0
145	IGHV1-18*01	IGHD1-2*01	IGHJ2*01	1.0	1.0
146	IGHV1-18*01	IGHD2-11*02	IGHJ2*01	17.0	17.0
147	IGHV1-18*01	IGHD2-11*02	IGHJ3*01	NA	2.0
148	IGHV1-18*01	IGHD2-14*01	IGHJ4*01	3.0	1.0
149	IGHV1-18*01	IGHD2-3*01	IGHJ2*01	110.0	127.0
150	IGHV1-18*01	IGHD2-3*01	IGHJ3*01	15.0	18.0
151	IGHV1-18*01	IGHD2-3*01	IGHJ4*01	38.0	28.0
152	IGHV1-18*01	IGHD2-6*01	IGHJ2*01	13.0	14.0
153	IGHV1-18*01	IGHD2-6*01	IGHJ3*01	1.0	NA
154	IGHV1-18*01	IGHD2-6*01	IGHJ4*01	4.0	3.0
155	IGHV1-18*01	IGHD2-7*01	IGHJ2*01	1.0	1.0
156	IGHV1-18*01	IGHD2-7*01	IGHJ3*01	10.0	8.0
157	IGHV1-18*01	IGHD2-7*01	IGHJ4*01	1.0	NA
158	IGHV1-18*01	IGHD2-8*01	IGHJ1*01	NA	1.0
159	IGHV1-18*01	IGHD2-8*01	IGHJ1*03	1.0	3.0
160	IGHV1-18*01	IGHD2-8*01	IGHJ2*01	2.0	1.0
161	IGHV1-18*01	IGHD2-8*01	IGHJ4*01	3.0	4.0
162	IGHV1-18*01	IGHD2-9*01	IGHJ3*01	3.0	3.0
163	IGHV1-18*01	IGHD2-9*02	IGHJ2*01	66.0	60.0
164	IGHV1-18*01	IGHD2-9*02	IGHJ3*01	8.0	14.0
165	IGHV1-18*01	IGHD2-9*02	IGHJ4*01	11.0	7.0
166	IGHV1-18*01	IGHD3-2*01	IGHJ3*01	NA	1.0
167	IGHV1-18*01	IGHD3-2*02	IGHJ2*01	1.0	2.0
168	IGHV1-18*01	IGHD3-2*02	IGHJ3*01	NA	1.0
169	IGHV1-18*01	NA	IGHJ1*01	19.0	14.0
170	IGHV1-18*01	NA	IGHJ1*03	401.0	472.0
171	IGHV1-18*01	NA	IGHJ2*01	489.0	447.0
172	IGHV1-18*01	NA	IGHJ2*02	1.0	1.0
173	IGHV1-18*01	NA	IGHJ3*01	633.0	606.0
174	IGHV1-18*01	NA	IGHJ3*02	6.0	8.0
175	IGHV1-18*01	NA	IGHJ4*01	1109.0	1047.0
176	IGHV1-18*03	NA	IGHJ3*01	1.0	4.0
177	IGHV1-19*01	IGHD1-1*01	IGHJ1*03	171.0	159.0
178	IGHV1-19*01	IGHD1-1*01	IGHJ2*01	96.0	109.0
179	IGHV1-19*01	IGHD1-1*01	IGHJ3*01	60.0	79.0
180	IGHV1-19*01	IGHD1-1*01	IGHJ4*01	196.0	193.0
181	IGHV1-19*01	IGHD1-1*02	IGHJ2*01	1.0	NA
182	IGHV1-19*01	IGHD2-3*01	IGHJ1*03	2.0	1.0
183	IGHV1-19*01	IGHD2-3*01	IGHJ3*01	14.0	8.0
184	IGHV1-19*01	IGHD2-3*01	IGHJ4*01	3.0	3.0
185	IGHV1-19*01	IGHD2-6*01	IGHJ3*01	1.0	1.0
186	IGHV1-19*01	IGHD2-8*01	IGHJ2*01	3.0	1.0
187	IGHV1-19*01	IGHD2-8*01	IGHJ3*01	2.0	1.0
188	IGHV1-19*01	IGHD2-8*01	IGHJ4*01	1.0	NA
189	IGHV1-19*01	IGHD2-9*01	IGHJ1*03	1.0	1.0
190	IGHV1-19*01	IGHD2-9*01	IGHJ2*01	1.0	2.0
191	IGHV1-19*01	IGHD2-9*02	IGHJ2*01	2.0	2.0
192	IGHV1-19*01	IGHD2-9*02	IGHJ3*01	13.0	15.0
193	IGHV1-19*01	IGHD2-9*02	IGHJ4*01	5.0	6.0
194	IGHV1-19*01	IGHD3-2*02	IGHJ2*01	3.0	NA
195	IGHV1-19*01	IGHD3-2*02	IGHJ3*01	5.0	3.0
196	IGHV1-19*01	IGHD3-2*02	IGHJ4*01	9.0	6.0
197	IGHV1-19*01	NA	IGHJ1*01	34.0	21.0
198	IGHV1-19*01	NA	IGHJ1*03	348.0	373.0
199	IGHV1-19*01	NA	IGHJ2*01	1235.0	1094.0
200	IGHV1-19*01	NA	IGHJ2*02	36.0	37.0
201	IGHV1-19*01	NA	IGHJ2*03	NA	1.0
202	IGHV1-19*01	NA	IGHJ3*01	339.0	296.0
203	IGHV1-19*01	NA	IGHJ4*01	745.0	768.0
204	IGHV1-2*01	IGHD1-1*01	IGHJ1*03	7.0	14.0
205	IGHV1-2*01	IGHD1-1*01	IGHJ2*01	4.0	7.0
206	IGHV1-2*01	IGHD1-1*01	IGHJ3*01	NA	1.0
207	IGHV1-2*01	IGHD1-1*01	IGHJ4*01	4.0	2.0
208	IGHV1-2*01	IGHD2-11*01	IGHJ4*01	1.0	NA
209	IGHV1-2*01	IGHD2-11*02	IGHJ4*01	2.0	4.0
210	IGHV1-2*01	IGHD2-3*01	IGHJ3*01	2.0	2.0
211	IGHV1-2*01	IGHD2-6*01	IGHJ3*01	1.0	NA
212	IGHV1-2*01	IGHD2-7*01	IGHJ3*01	3.0	NA
213	IGHV1-2*01	IGHD2-9*02	IGHJ1*03	3.0	6.0
214	IGHV1-2*01	IGHD2-9*02	IGHJ2*01	NA	1.0
215	IGHV1-2*01	IGHD2-9*02	IGHJ3*01	6.0	5.0
216	IGHV1-2*01	IGHD2-9*02	IGHJ4*01	1.0	2.0
217	IGHV1-2*01	NA	IGHJ1*01	2.0	1.0
