	ERR849859	ERR849860
0	2352.0	2095.0
1	3672.0	3278.0
2	3846.0	3526.0
3	10169.0	9589.0
4	13604.0	12665.0
5	13965.0	12738.0
6	19601.0	18494.0
7	28732.0	24169.0
8	15762.0	14450.0
9	18868.0	16973.0
10	20038.0	18835.0
11	21833.0	20491.0
12	18067.0	16834.0
13	28065.0	25930.0
14	26510.0	24356.0
15	30750.0	27533.0
16	32979.0	30102.0
17	30602.0	28275.0
18	30031.0	27462.0
19	30844.0	28059.0
20	25736.0	23835.0
21	17673.0	16322.0
22	21473.0	20076.0
23	20402.0	18975.0
24	19719.0	18389.0
25	16054.0	15009.0
26	11899.0	10815.0
27	6189.0	5790.0
28	15394.0	14093.0
29	7937.0	7453.0
30	5874.0	5435.0
31	12317.0	11205.0
32	1715.0	1432.0
33	1369.0	1225.0
34	1624.0	1515.0
35	559.0	596.0
36	685.0	578.0
37	993.0	855.0
38	165.0	139.0
39	76.0	57.0
40	25.0	30.0
41	72.0	48.0
42	16.0	10.0
43	31.0	28.0
44	80.0	88.0
45	7.0	6.0
46	NA	5.0
47	33.0	42.0
48	9.0	7.0
49	14.0	7.0
50	5.0	5.0
51	11.0	5.0
52	18.0	18.0
53	3.0	5.0
54	4.0	4.0
55	5.0	8.0
56	5.0	4.0
57	2.0	2.0
58	5.0	9.0
59	6.0	5.0
60	NA	1.0
61	3.0	3.0
62	3.0	3.0
63	6.0	5.0
65	NA	2.0
66	1.0	NA
67	6.0	6.0
68	1.0	2.0
69	NA	1.0
71	1.0	1.0
73	2.0	4.0
74	3.0	1.0
75	1.0	NA
76	9.0	1.0
77	1.0	NA
79	2.0	4.0
81	5.0	6.0
82	1.0	NA
83	NA	1.0
85	NA	5.0
88	1.0	NA
90	NA	1.0
93	2.0	1.0
94	9.0	5.0
95	1.0	6.0
97	NA	2.0
98	NA	1.0
99	1.0	3.0
102	NA	2.0
105	5.0	6.0
106	2.0	NA
109	2.0	NA
110	3.0	4.0
111	4.0	2.0
113	NA	1.0
115	NA	1.0
119	1.0	NA
125	33.0	19.0
126	NA	1.0
130	2.0	2.0
153	NA	1.0
170	2.0	6.0
