	v
IGHV1-72*01	30580
IGHV1-53*01	26282
IGHV1-80*01	23981
IGHV1-55*01	22167
IGHV1-9*01	18629
IGHV1-26*01	17873
IGHV9-3*01	17024
IGHV3-6*02	16270
IGHV3-2*02	16132
IGHV1-64*01	15627
IGHV1-52*01	14117
IGHV1-15*01	13632
IGHV3-6*01	13228
IGHV1-82*01	11669
IGHV1-76*01	10722
IGHV2-3*01	9524
IGHV1-74*01	8989
IGHV1-69*01	8391
IGHV4-1*02	7971
IGHV14-4*01	7792
IGHV8-12*01	7189
IGHV1-78*01	6900
IGHV2-9-1*01	6399
IGHV14-3*01	6072
IGHV7-3*01	5748
IGHV9-2-1*01	5697
IGHV8-8*01	5523
IGHV2-5*01	5444
IGHV1-61*01	5339
IGHV14-2*01	4861
IGHV2-2*02	4807
IGHV4-1*01	4741
IGHV1-50*01	4727
IGHV1-71*01	4693
IGHV1-69*02	4640
IGHV1-58*01	4585
IGHV1-81*01	4520
IGHV9-3-1*01	4511
IGHV1-12*01	4301
IGHV1-22*01	4213
IGHV11-2*02	4172
IGHV7-3*02	4155
IGHV5-17*01	4015
IGHV14-3*02	3973
IGHV1-87*01	3839
IGHV1-59*01	3829
IGHV1-5*01	3613
IGHV1-85*01	3558
IGHV1-75*01	3544
IGHV1-74*04	3519
IGHV6-6*01	3334
IGHV5-9-1*02	3327
IGHV1-19*01	3326
IGHV1-18*01	3275
IGHV2-2*01	3187
IGHV1-14*01	3127
IGHV6-3*01	3123
IGHV1S81*02	2925
IGHV5-16*01	2894
IGHV9-4*01	2826
IGHV9-1*01	2822
IGHV5-17*02	2802
IGHV1-54*01	2744
IGHV1-47*01	2655
IGHV5-6-1*01	2629
IGHV9-3*02	2511
IGHV5-6-5*01	2440
IGHV10-1*01	2369
IGHV2-9*02	2240
IGHV1-39*01	2154
IGHV10-3*01	2134
IGHV1S56*01	2062
IGHV5-4*02	1999
IGHV14-1*01	1926
IGHV1-66*01	1908
IGHV9-1*02	1863
IGHV5-9-1*01	1845
IGHV6-6*02	1817
IGHV11-2*01	1752
IGHV5-15*02	1678
IGHV1S22*01	1674
IGHV8-5*01	1578
IGHV10-1*02	1566
IGHV5-4*01	1506
IGHV5-12*01	1434
IGHV1S137*01	1388
IGHV14-1*02	1379
IGHV5-6-3*01	1284
IGHV9-4*02	1270
IGHV5-2*01	1264
IGHV3-1*02	1252
IGHV3-1*01	1210
IGHV10S3*01	1201
IGHV2-6-2*01	1186
IGHV14-4*02	1177
IGHV5-7-4*01	1145
IGHV1-4*01	1133
IGHV1-77*01	1069
IGHV5-12-1*01	1017
IGHV2-6-5*01	995
IGHV1S127*01	993
IGHV1-7*01	958
IGHV12-3*02	953
IGHV1-63*01	946
IGHV1-42*01	939
IGHV1-34*02	894
IGHV7-2*02	879
IGHV1S135*01	868
IGHV2-5-1*01	818
IGHV1S34*01	797
IGHV2-6-7*01	741
IGHV5-9*01	717
IGHV5-6-4*01	697
IGHV1S130*01	681
IGHV2-9-2*01	669
IGHV5-9-4*01	658
IGHV1S53*02	644
IGHV1-36*01	621
IGHV1S29*02	599
IGHV2-6*02	598
IGHV5-9-3*01	590
IGHV1-63*02	567
IGHV5-6-2*01	551
IGHV13-2*01	541
IGHV2-4-1*01	540
IGHV2-6-1*01	528
IGHV5-9*02	521
IGHV7-1*03	516
IGHV1-67*01	505
IGHV1-34*01	456
IGHV5-12*02	444
IGHV1S16*01	435
IGHV1-84*01	408
IGHV1-84*02	405
IGHV1-37*01	370
IGHV9-2*01	369
IGHV4-2*02	356
IGHV1S136*01	355
IGHV2-6-4*01	346
IGHV3-8*01	333
IGHV1S41*01	300
IGHV1-56*01	296
IGHV1-31*01	282
IGHV2-6*03	280
IGHV1-4*02	266
IGHV2-6-8*01	264
IGHV5-9-2*01	259
IGHV8-2*01	251
IGHV2-4*02	245
IGHV1-2*01	235
IGHV1-20*02	234
IGHV8-11*01	230
IGHV1-20*01	223
IGHV1S132*01	213
IGHV15-2*02	172
IGHV10-3*03	164
IGHV1-11*01	163
IGHV3-8*02	160
IGHV13-2*02	158
IGHV1-54*03	156
IGHV6-7*02	154
IGHV3-2*01	150
IGHV1S126*01	147
IGHV1-49*01	138
IGHV8S1*01	137
IGHV5-9-5*01	136
IGHV1S36*02	122
IGHV5-15*05	119
IGHV8-8-1*01	117
IGHV5S21*01	109
IGHV10-3*02	106
IGHV1-62-3*01	104
IGHV2-9*01	103
IGHV1S82*01	94
IGHV14-2*02	91
IGHV15-2*01	90
IGHV1S40*01	81
IGHV2-2-2*01	76
IGHV8-4*01	72
IGHV2-4*01	69
IGHV12-3*01	68
IGHV1-43*01	67
IGHV1-23*01	66
IGHV2-7*01	65
IGHV5-15*01	60
IGHV3-3*01	58
IGHV1-86*01	57
IGHV7-4*01	56
IGHV5-4*03	55
IGHV6-3*03	49
IGHV1S12*01	48
IGHV11-1*02	46
IGHV1S53*03	46
IGHV9-2*02	45
IGHV1-21-1*01	43
IGHV5-6*03	41
IGHV5-2*02	37
IGHV1-54*02	35
IGHV1-27*01	35
IGHV1-25*01	34
IGHV1-70*01	34
IGHV2-6-7*02	32
IGHV12-1-1*01	31
IGHV1-71*02	30
IGHV11-1*01	28
IGHV2-2*03	26
IGHV1-72*04	25
IGHV9S8*01	25
IGHV5-15*04	25
IGHV1-83*01	24
IGHV2-2-1*01	22
IGHV1-33*01	22
IGHV1-38*01	21
IGHV8-7*01	21
IGHV10S4*01	20
IGHV8-6*01	19
IGHV1S26*01	19
IGHV1-79*01	18
IGHV2-6-6*01	17
IGHV1S30*02	17
IGHV1S108*01	16
IGHV3-4*01	15
IGHV1S30*01	15
IGHV7-4*04	14
IGHV5S12*01	13
IGHV1-53*03	13
IGHV8-13*01	13
IGHV1-13*01	12
IGHV7-4*03	12
IGHV7-1*01	12
IGHV5-1*02	11
IGHV3-5*01	11
IGHV1S10*02	10
IGHV1S46*01	10
IGHV1-62*01	10
IGHV1-64*02	10
IGHV5-6-4*02	10
IGHV6-5*01	10
IGHV1-32*01	9
IGHV9-3*03	9
IGHV7-3*04	9
IGHV1S50*01	9
IGHV1-28*01	8
IGHV5-1*01	7
IGHV1-56*02	6
IGHV2-6-3*01	6
IGHV5-17*03	5
IGHV1S5*01	5
IGHV1S14*01	5
IGHV5-16*02	5
IGHV1S121*01	5
IGHV1S15*01	4
IGHV3-5*02	4
IGHV1S35*01	4
IGHV1S10*01	4
IGHV1S9*01	4
IGHV8-5*02	4
IGHV1S134*01	4
IGHV10S5*01	3
IGHV1-53*04	3
IGHV1-73*01	3
IGHV1S33*01	3
IGHV5-9*04	3
IGHV6-5*02	3
IGHV5-12*03	3
IGHV4-2*01	3
IGHV5-6-2*02	2
IGHV1-74*03	2
IGHV1S19*01	2
IGHV3-4*02	2
IGHV5-2*03	2
IGHV6-4*01	2
IGHV1S75*01	2
IGHV3-3*02	2
IGHV1S28*01	2
IGHV7-3*03	2
IGHV1S45*01	2
IGHV1-40*01	2
IGHV1S52*01	2
IGHV9S7*01	2
IGHV1S36*01	1
IGHV5-6*02	1
IGHV6-4*02	1
IGHV3-6*03	1
IGHV1S17*01	1
