	v	d	j	frequency
0	IGHV1-80*01	NA	IGHJ3*01	12061
1	IGHV3-6*02	NA	IGHJ4*01	10977
2	IGHV1-72*01	NA	IGHJ4*01	10907
3	IGHV1-53*01	NA	IGHJ3*01	8164
4	IGHV1-80*01	NA	IGHJ2*01	7503
5	IGHV1-72*01	NA	IGHJ2*01	7159
6	IGHV1-76*01	NA	IGHJ4*01	6666
7	IGHV1-9*01	NA	IGHJ4*01	6484
8	IGHV1-53*01	NA	IGHJ2*01	6378
9	IGHV1-53*01	NA	IGHJ4*01	6245
10	IGHV9-3*01	IGHD1-1*01	IGHJ1*03	5965
11	IGHV3-2*02	NA	IGHJ3*01	5461
12	IGHV1-55*01	NA	IGHJ2*01	5391
13	IGHV1-55*01	NA	IGHJ4*01	4711
14	IGHV1-82*01	NA	IGHJ4*01	4673
15	IGHV1-9*01	NA	IGHJ3*01	4606
16	IGHV1-55*01	NA	IGHJ1*03	4594
17	IGHV1-15*01	IGHD1-1*01	IGHJ2*01	4488
18	IGHV1-26*01	NA	IGHJ4*01	4378
19	IGHV1-52*01	NA	IGHJ2*01	4254
20	IGHV1-26*01	NA	IGHJ2*01	3876
21	IGHV1-52*01	NA	IGHJ4*01	3836
22	IGHV11-2*02	NA	IGHJ1*01	3763
23	IGHV1-72*01	NA	IGHJ1*03	3616
24	IGHV14-4*01	NA	IGHJ2*01	3605
25	IGHV7-3*01	NA	IGHJ2*01	3517
26	IGHV1-64*01	NA	IGHJ2*01	3493
27	IGHV1-72*01	NA	IGHJ3*01	3280
28	IGHV1-15*01	NA	IGHJ2*01	3177
29	IGHV1-64*01	NA	IGHJ1*03	3032
30	IGHV8-12*01	NA	IGHJ4*01	2956
31	IGHV2-9-1*01	NA	IGHJ4*01	2903
32	IGHV9-3*01	NA	IGHJ4*01	2890
33	IGHV1-55*01	NA	IGHJ3*01	2879
34	IGHV1-26*01	NA	IGHJ3*01	2856
35	IGHV3-2*02	NA	IGHJ4*01	2702
36	IGHV3-2*02	NA	IGHJ2*01	2690
37	IGHV1-87*01	NA	IGHJ2*01	2640
38	IGHV1-58*01	IGHD1-1*01	IGHJ1*03	2576
39	IGHV1-64*01	NA	IGHJ4*01	2553
40	IGHV4-1*02	NA	IGHJ3*01	2548
41	IGHV1-9*01	NA	IGHJ2*01	2529
42	IGHV1-74*01	NA	IGHJ4*01	2494
43	IGHV1-15*01	NA	IGHJ4*01	2480
44	IGHV3-6*01	NA	IGHJ1*03	2384
45	IGHV3-6*01	NA	IGHJ3*01	2367
46	IGHV4-1*02	NA	IGHJ2*01	2359
47	IGHV3-6*01	NA	IGHJ4*01	2340
48	IGHV1-69*02	NA	IGHJ3*01	2299
49	IGHV5-9-1*02	NA	IGHJ4*01	2253
50	IGHV1-69*01	IGHD1-1*01	IGHJ2*01	2226
51	IGHV9-3*01	NA	IGHJ1*03	2214
52	IGHV14-3*01	NA	IGHJ3*01	2156
53	IGHV1-26*01	NA	IGHJ1*03	2124
54	IGHV9-1*01	NA	IGHJ3*01	2123
55	IGHV1-74*01	NA	IGHJ2*01	2112
56	IGHV2-3*01	NA	IGHJ4*01	2085
57	IGHV1-52*01	NA	IGHJ3*01	2076
58	IGHV2-3*01	NA	IGHJ1*01	2067
59	IGHV9-3*01	NA	IGHJ3*01	1997
60	IGHV2-5*01	NA	IGHJ4*01	1973
61	IGHV2-3*01	NA	IGHJ2*01	1970
62	IGHV1-74*01	NA	IGHJ3*01	1909
63	IGHV1-64*01	NA	IGHJ3*01	1880
64	IGHV1-78*01	NA	IGHJ4*01	1875
65	IGHV1-78*01	NA	IGHJ2*01	1873
66	IGHV9-2-1*01	NA	IGHJ4*01	1870
67	IGHV1-50*01	NA	IGHJ2*01	1845
68	IGHV3-6*01	NA	IGHJ2*01	1762
69	IGHV9-2-1*01	NA	IGHJ3*01	1754
70	IGHV1-78*01	NA	IGHJ1*03	1753
71	IGHV2-2*02	NA	IGHJ4*01	1733
72	IGHV1-12*01	NA	IGHJ3*01	1731
73	IGHV8-12*01	NA	IGHJ1*03	1704
74	IGHV1-82*01	NA	IGHJ3*01	1692
75	IGHV1-53*01	NA	IGHJ1*03	1646
76	IGHV1-69*01	NA	IGHJ4*01	1641
77	IGHV1-64*01	IGHD1-1*01	IGHJ2*01	1603
78	IGHV1-82*01	NA	IGHJ2*01	1601
79	IGHV9-3-1*01	NA	IGHJ4*01	1556
80	IGHV11-2*01	NA	IGHJ1*03	1503
81	IGHV9-3*01	NA	IGHJ2*01	1483
82	IGHV7-3*02	NA	IGHJ2*01	1475
83	IGHV1-61*01	NA	IGHJ4*01	1454
84	IGHV14-3*02	NA	IGHJ3*01	1449
85	IGHV4-1*01	NA	IGHJ3*01	1427
86	IGHV1-69*01	NA	IGHJ2*01	1414
87	IGHV14-2*01	NA	IGHJ4*01	1407
88	IGHV2-9-1*01	NA	IGHJ2*01	1394
89	IGHV1-81*01	NA	IGHJ2*01	1387
90	IGHV1-81*01	NA	IGHJ3*01	1348
91	IGHV1-85*01	NA	IGHJ3*01	1342
