	ERR849859	ERR849860
0	163076.0	149892.0
1	8.0	10.0
2	62.0	50.0
3	93.0	71.0
4	366.0	373.0
5	10218.0	9378.0
6	14186.0	13382.0
7	19277.0	17528.0
8	16819.0	15566.0
9	29246.0	26722.0
10	37935.0	35094.0
11	72175.0	63973.0
12	56040.0	51674.0
13	61058.0	56059.0
14	49462.0	45706.0
15	24206.0	22720.0
16	17228.0	16158.0
17	11865.0	10840.0
18	3146.0	3009.0
19	1145.0	1015.0
20	826.0	733.0
21	55.0	49.0
22	8.0	13.0
23	60.0	50.0
45	1.0	1.0
50	NA	1.0
53	NA	2.0
54	13.0	9.0
55	NA	1.0
110	1.0	NA
111	4.0	2.0
112	3.0	NA
113	NA	2.0
114	1.0	5.0
115	22.0	4.0
116	NA	1.0
117	NA	1.0
118	1.0	NA
124	1.0	NA
