	ERR849859	ERR849860
IGHV1-72*01	30580.0	29568.0
IGHV1-53*01	26282.0	24809.0
IGHV1-80*01	23981.0	22549.0
IGHV1-55*01	22167.0	21449.0
IGHV1-9*01	18629.0	17631.0
IGHV1-26*01	17873.0	16686.0
IGHV9-3*01	17024.0	15271.0
IGHV1-64*01	15627.0	14973.0
IGHV3-2*02	16132.0	14153.0
IGHV3-6*02	16270.0	11988.0
IGHV1-52*01	14117.0	13495.0
IGHV1-15*01	13632.0	12418.0
IGHV3-6*01	13228.0	10685.0
IGHV1-82*01	11669.0	11013.0
IGHV1-76*01	10722.0	9707.0
IGHV2-3*01	9524.0	8844.0
IGHV1-74*01	8989.0	8617.0
IGHV1-69*01	8391.0	8151.0
IGHV14-4*01	7792.0	7102.0
IGHV4-1*02	7971.0	6343.0
IGHV8-12*01	7189.0	6822.0
IGHV1-78*01	6900.0	6490.0
IGHV2-9-1*01	6399.0	6050.0
IGHV14-3*01	6072.0	5591.0
IGHV9-2-1*01	5697.0	5088.0
IGHV8-8*01	5523.0	5090.0
IGHV1-61*01	5339.0	5157.0
IGHV2-5*01	5444.0	5051.0
IGHV7-3*01	5748.0	4666.0
IGHV14-2*01	4861.0	4783.0
IGHV2-2*02	4807.0	4477.0
IGHV1-50*01	4727.0	4455.0
IGHV1-69*02	4640.0	4335.0
IGHV1-71*01	4693.0	4238.0
IGHV1-58*01	4585.0	4319.0
IGHV4-1*01	4741.0	4105.0
IGHV1-81*01	4520.0	4211.0
IGHV9-3-1*01	4511.0	4092.0
IGHV1-22*01	4213.0	4105.0
IGHV1-12*01	4301.0	3945.0
IGHV11-2*02	4172.0	3976.0
IGHV7-3*02	4155.0	3537.0
IGHV14-3*02	3973.0	3710.0
IGHV1-59*01	3829.0	3709.0
IGHV1-87*01	3839.0	3597.0
IGHV5-17*01	4015.0	3358.0
IGHV1-85*01	3558.0	3527.0
IGHV1-5*01	3613.0	3426.0
IGHV1-75*01	3544.0	3345.0
IGHV1-74*04	3519.0	3235.0
IGHV1-19*01	3326.0	3180.0
IGHV1-18*01	3275.0	3224.0
IGHV5-9-1*02	3327.0	3033.0
IGHV6-6*01	3334.0	2895.0
IGHV2-2*01	3187.0	2998.0
IGHV1-14*01	3127.0	3048.0
IGHV1S81*02	2925.0	2805.0
IGHV6-3*01	3123.0	2554.0
IGHV9-1*01	2822.0	2806.0
IGHV5-16*01	2894.0	2557.0
IGHV9-4*01	2826.0	2507.0
IGHV1-54*01	2744.0	2578.0
IGHV5-17*02	2802.0	2452.0
IGHV1-47*01	2655.0	2421.0
IGHV5-6-1*01	2629.0	2231.0
IGHV9-3*02	2511.0	2167.0
IGHV5-6-5*01	2440.0	2064.0
IGHV10-1*01	2369.0	2032.0
IGHV2-9*02	2240.0	2043.0
IGHV1-39*01	2154.0	2095.0
IGHV1S56*01	2062.0	1869.0
IGHV10-3*01	2134.0	1729.0
IGHV1-66*01	1908.0	1887.0
IGHV5-4*02	1999.0	1786.0
IGHV14-1*01	1926.0	1827.0
IGHV9-1*02	1863.0	1699.0
IGHV11-2*01	1752.0	1703.0
IGHV5-9-1*01	1845.0	1610.0
IGHV6-6*02	1817.0	1544.0
IGHV1S22*01	1674.0	1624.0
IGHV10-1*02	1566.0	1439.0
IGHV8-5*01	1578.0	1403.0
IGHV5-4*01	1506.0	1314.0
IGHV5-15*02	1678.0	1087.0
IGHV1S137*01	1388.0	1241.0
IGHV14-1*02	1379.0	1227.0
IGHV5-12*01	1434.0	1168.0
IGHV3-1*01	1210.0	1228.0
IGHV9-4*02	1270.0	1161.0
IGHV3-1*02	1252.0	1154.0
IGHV5-2*01	1264.0	1090.0
IGHV2-6-2*01	1186.0	1106.0
IGHV5-6-3*01	1284.0	990.0
IGHV10S3*01	1201.0	1056.0
IGHV1-4*01	1133.0	1107.0
IGHV14-4*02	1177.0	1029.0
IGHV1-77*01	1069.0	1044.0
IGHV5-7-4*01	1145.0	899.0
IGHV2-6-5*01	995.0	949.0
IGHV5-12-1*01	1017.0	907.0
IGHV1S127*01	993.0	913.0
IGHV1-7*01	958.0	876.0
IGHV1-63*01	946.0	852.0
IGHV1-42*01	939.0	847.0
IGHV12-3*02	953.0	811.0
IGHV1S135*01	868.0	839.0
IGHV7-2*02	879.0	809.0
IGHV1-34*02	894.0	772.0
IGHV2-5-1*01	818.0	729.0
IGHV1S34*01	797.0	629.0
IGHV2-6-7*01	741.0	626.0
