	d	j	v	frequency	frequency
0	IGHD1-1*01	IGHJ1*01	IGHV1-11*01	NA	NA
1	IGHD1-1*01	IGHJ1*03	IGHV1-11*01	NA	NA
2	IGHD1-1*01	IGHJ2*01	IGHV1-11*01	NA	NA
3	IGHD1-1*01	IGHJ3*01	IGHV1-11*01	NA	NA
4	IGHD1-1*01	IGHJ4*01	IGHV1-11*01	NA	NA
5	IGHD1-2*01	IGHJ2*01	IGHV1-11*01	NA	NA
6	IGHD2-11*02	IGHJ3*01	IGHV1-11*01	NA	NA
7	IGHD2-14*01	IGHJ3*01	IGHV1-11*01	NA	NA
8	IGHD2-14*01	IGHJ4*01	IGHV1-11*01	NA	NA
9	IGHD2-3*01	IGHJ2*01	IGHV1-11*01	NA	NA
10	IGHD2-3*01	IGHJ4*01	IGHV1-11*01	NA	NA
11	IGHD2-6*01	IGHJ3*01	IGHV1-11*01	NA	NA
12	IGHD2-9*02	IGHJ4*01	IGHV1-11*01	NA	NA
13	IGHD3-2*01	IGHJ3*01	IGHV1-11*01	NA	NA
14	NA	IGHJ1*01	IGHV1-11*01	NA	NA
15	NA	IGHJ1*03	IGHV1-11*01	NA	NA
16	NA	IGHJ2*01	IGHV1-11*01	NA	NA
17	NA	IGHJ3*01	IGHV1-11*01	NA	NA
18	NA	IGHJ4*01	IGHV1-11*01	NA	NA
19	IGHD1-1*01	IGHJ1*01	IGHV1-12*01	NA	NA
20	IGHD1-1*01	IGHJ1*03	IGHV1-12*01	NA	NA
21	IGHD1-1*01	IGHJ2*01	IGHV1-12*01	NA	NA
22	IGHD1-1*01	IGHJ3*01	IGHV1-12*01	NA	NA
23	IGHD1-1*01	IGHJ4*01	IGHV1-12*01	NA	NA
24	IGHD1-1*02	IGHJ3*01	IGHV1-12*01	NA	NA
25	IGHD1-2*01	IGHJ4*01	IGHV1-12*01	NA	NA
26	IGHD2-14*01	IGHJ3*01	IGHV1-12*01	NA	NA
27	IGHD2-3*01	IGHJ3*01	IGHV1-12*01	NA	NA
28	IGHD2-3*01	IGHJ4*01	IGHV1-12*01	NA	NA
29	IGHD2-6*01	IGHJ2*01	IGHV1-12*01	NA	NA
30	IGHD2-6*01	IGHJ2*02	IGHV1-12*01	NA	NA
31	IGHD2-6*01	IGHJ3*01	IGHV1-12*01	NA	NA
32	IGHD2-6*01	IGHJ4*01	IGHV1-12*01	NA	NA
33	IGHD2-7*01	IGHJ3*01	IGHV1-12*01	NA	NA
34	IGHD2-7*01	IGHJ4*01	IGHV1-12*01	NA	NA
35	IGHD2-8*01	IGHJ1*03	IGHV1-12*01	NA	NA
36	IGHD2-8*01	IGHJ2*01	IGHV1-12*01	NA	NA
37	IGHD2-8*01	IGHJ3*01	IGHV1-12*01	NA	NA
38	IGHD2-9*02	IGHJ2*01	IGHV1-12*01	NA	NA
39	IGHD2-9*02	IGHJ3*01	IGHV1-12*01	NA	NA
40	IGHD2-9*02	IGHJ4*01	IGHV1-12*01	NA	NA
41	IGHD3-2*01	IGHJ2*01	IGHV1-12*01	NA	NA
42	IGHD3-2*02	IGHJ2*01	IGHV1-12*01	NA	NA
43	IGHD3-2*02	IGHJ3*01	IGHV1-12*01	NA	NA
44	NA	IGHJ1*01	IGHV1-12*01	NA	NA
45	NA	IGHJ1*03	IGHV1-12*01	NA	NA
46	NA	IGHJ2*01	IGHV1-12*01	NA	NA
47	NA	IGHJ2*02	IGHV1-12*01	NA	NA
48	NA	IGHJ3*01	IGHV1-12*01	NA	NA
49	NA	IGHJ3*02	IGHV1-12*01	NA	NA
50	NA	IGHJ4*01	IGHV1-12*01	NA	NA
51	IGHD1-1*01	IGHJ2*01	IGHV1-13*01	NA	NA
52	IGHD1-1*01	IGHJ3*01	IGHV1-13*01	NA	NA
53	IGHD2-8*01	IGHJ3*01	IGHV1-13*01	NA	NA
54	NA	IGHJ2*01	IGHV1-13*01	NA	NA
55	NA	IGHJ3*01	IGHV1-13*01	NA	NA
56	NA	IGHJ4*01	IGHV1-13*01	NA	NA
57	IGHD1-1*01	IGHJ1*01	IGHV1-14*01	NA	NA
58	IGHD1-1*01	IGHJ2*01	IGHV1-14*01	NA	NA
59	IGHD1-1*01	IGHJ3*01	IGHV1-14*01	NA	NA
60	IGHD1-1*01	IGHJ4*01	IGHV1-14*01	NA	NA
61	IGHD1-2*01	IGHJ4*01	IGHV1-14*01	NA	NA
62	IGHD2-11*02	IGHJ1*01	IGHV1-14*01	NA	NA
63	IGHD2-11*02	IGHJ3*01	IGHV1-14*01	NA	NA
