	nucl_len
2.0	1
8.0	2
9.0	3
12.0	1
13.0	1
14.0	3
15.0	18
16.0	15
17.0	30
18.0	51
19.0	55
20.0	136
21.0	186
22.0	161
23.0	300
24.0	432
25.0	296
26.0	662
27.0	754
28.0	467
29.0	997
30.0	1037
31.0	600
32.0	960
33.0	970
34.0	579
35.0	837
36.0	818
37.0	618
38.0	996
39.0	1120
40.0	897
41.0	1426
42.0	1529
43.0	1045
44.0	1487
45.0	1358
46.0	941
47.0	1042
48.0	761
49.0	550
50.0	548
51.0	489
52.0	511
53.0	568
54.0	531
55.0	575
56.0	546
57.0	483
58.0	421
59.0	356
60.0	258
61.0	205
62.0	142
63.0	122
64.0	71
65.0	59
66.0	26
67.0	19
68.0	15
69.0	8
70.0	2
71.0	3
72.0	1
75.0	1
128.0	1
134.0	2
135.0	1
137.0	1
138.0	1
140.0	1
143.0	1
146.0	1
149.0	1
151.0	1
155.0	1
156.0	1
158.0	2
159.0	2
160.0	1
163.0	1
165.0	2
166.0	1
167.0	2
168.0	2
169.0	2
174.0	1
176.0	1
178.0	1
179.0	1
180.0	1
195.0	1
204.0	1
205.0	1
206.0	3
207.0	1
209.0	1
210.0	1
211.0	2
212.0	4
213.0	3
215.0	2
216.0	2
219.0	4
220.0	1
221.0	1
222.0	2
224.0	2
225.0	2
226.0	2
227.0	3
228.0	1
230.0	1
234.0	1
235.0	2
237.0	2
238.0	2
239.0	1
247.0	1
248.0	1
251.0	1
