	d
ambiguous	41149
IGHD2-2*03	7347
IGHD3-16*02	3429
IGHD2-8*02	3362
IGHD3-3*02	3345
IGHD3-9*01	3218
IGHD2-15*01	3211
IGHD3-16*01	3184
IGHD2-8*01	3184
IGHD3-22*01	3180
IGHD2-21*02	3154
IGHD3-10*01	3122
IGHD3-10*02	3107
IGHD3-3*01	3025
IGHD2-21*01	2999
IGHD2-2*02	2294
IGHD5-12*01	1914
IGHD6-19*01	1024
IGHD6-13*01	972
IGHD5-5*01	969
IGHD1-26*01	387
IGHD3/OR15-3b*01	88
IGHD6-6*01	51
IGHD6-25*01	46
IGHD5/OR15-5b*01	41
IGHD2-2*01	41
IGHD1-1*01	14
IGHD1-20*01	11
IGHD1-7*01	5
IGHD4-17*01	4
IGHD1/OR15-1b*01	1
