	v	d	j	frequency
0	IGHV1-69D*01	NA	IGHJ6*01	55
1	IGHV1-69D*01	NA	IGHJ6*02	49
2	IGHV1-69D*01	NA	IGHJ3*02	46
3	IGHV1-69D*01	NA	IGHJ4*02	45
4	IGHV1-69D*01	NA	IGHJ3*01	44
5	IGHV1-69D*01	NA	IGHJ5*01	43
6	IGHV1-69D*01	NA	IGHJ4*01	41
7	IGHV3-30-5*01	NA	IGHJ5*01	40
8	IGHV4-28*07	NA	IGHJ6*01	40
9	IGHV1-69D*01	NA	IGHJ6*04	39
10	IGHV1-69D*01	NA	IGHJ5*02	38
11	IGHV1-69D*01	NA	IGHJ2*01	38
12	IGHV2-5*09	NA	IGHJ2*01	37
13	IGHV2-5*09	NA	IGHJ1*01	37
14	IGHV1-69D*01	NA	IGHJ6*03	37
15	IGHV1-69D*01	NA	IGHJ4*03	37
16	IGHV2-70D*04	NA	IGHJ6*01	36
17	IGHV4-28*07	NA	IGHJ3*01	36
18	IGHV3-30-5*01	NA	IGHJ5*02	35
19	IGHV1-69D*01	NA	IGHJ1*01	35
20	IGHV4-28*07	NA	IGHJ4*01	34
21	IGHV3-23D*02	NA	IGHJ6*04	33
22	IGHV2-70D*04	NA	IGHJ3*02	33
23	IGHV3-30-5*01	NA	IGHJ1*01	32
24	IGHV2-70D*04	NA	IGHJ2*01	32
25	IGHV4-28*07	NA	IGHJ4*02	32
26	IGHV2-70D*04	NA	IGHJ5*02	32
27	IGHV4-28*07	NA	IGHJ6*04	31
28	IGHV3-30-3*03	NA	IGHJ6*03	31
29	IGHV3-30-5*01	NA	IGHJ3*02	31
30	IGHV2-70D*04	NA	IGHJ6*03	30
31	IGHV3-30-3*03	NA	IGHJ1*01	30
32	IGHV3-30-5*01	NA	IGHJ6*03	30
33	IGHV3-23D*02	NA	IGHJ4*03	30
34	IGHV2-70D*04	NA	IGHJ1*01	30
35	IGHV1-69*14	NA	IGHJ2*01	30
36	IGHV3-30-5*02	NA	IGHJ3*02	30
37	IGHV2-70D*04	NA	IGHJ6*04	30
38	IGHV2-70D*04	NA	IGHJ3*01	30
39	IGHV3-23D*02	NA	IGHJ6*01	30
40	IGHV3-23D*02	NA	IGHJ3*02	30
41	IGHV3-30-5*02	NA	IGHJ1*01	29
42	IGHV1-69*14	NA	IGHJ6*02	29
43	IGHV3-23D*02	NA	IGHJ1*01	29
44	IGHV3-23D*02	NA	IGHJ6*02	29
45	IGHV3-30-5*01	NA	IGHJ6*04	29
46	IGHV3-30-3*03	NA	IGHJ5*02	29
47	IGHV3-30-5*01	NA	IGHJ2*01	29
48	IGHV3-30-5*02	NA	IGHJ5*01	28
49	IGHV3-66*04	NA	IGHJ1*01	28
50	IGHV3-23D*02	NA	IGHJ5*02	28
51	IGHV3-30-5*01	NA	IGHJ6*02	28
52	IGHV3-23D*01	NA	IGHJ5*01	28
53	IGHV1-69*14	NA	IGHJ1*01	28
54	IGHV4-34*11	NA	IGHJ6*03	28
55	IGHV1-69*14	NA	IGHJ3*01	27
56	IGHV3-30-5*01	NA	IGHJ6*01	27
57	IGHV4-28*07	NA	IGHJ4*03	27
58	IGHV3-23D*01	NA	IGHJ6*02	27
59	IGHV2-70D*04	NA	IGHJ5*01	27
60	IGHV3-30-5*01	NA	IGHJ4*01	27
61	IGHV3-30-5*01	NA	IGHJ4*02	27
62	IGHV2-5*09	NA	IGHJ6*03	27
63	IGHV4-34*02	NA	IGHJ5*02	27
64	IGHV3-23D*01	NA	IGHJ5*02	27
65	IGHV2-70D*04	NA	IGHJ4*03	27
66	IGHV3-23D*01	NA	IGHJ3*02	26
67	IGHV1-69*09	NA	IGHJ5*01	26
68	IGHV3-23D*02	NA	IGHJ5*01	26
69	IGHV3-23D*02	NA	IGHJ6*03	26
70	IGHV3-30-5*02	NA	IGHJ6*01	26
71	IGHV1-69*09	NA	IGHJ2*01	26
72	IGHV2-5*09	NA	IGHJ6*02	26
73	IGHV3-33*05	NA	IGHJ6*02	25
74	IGHV1-69*09	NA	IGHJ6*02	25
75	IGHV3-64*04	NA	IGHJ1*01	25
76	IGHV4-30-2*01	NA	IGHJ6*02	25
77	IGHV3-30-5*02	NA	IGHJ5*02	25
78	IGHV2-5*09	NA	IGHJ4*02	25
79	IGHV3-23D*01	NA	IGHJ4*03	25
80	IGHV3-30-5*02	NA	IGHJ3*01	25
81	IGHV2-5*09	NA	IGHJ4*03	25
82	IGHV1-69*09	NA	IGHJ6*01	25
83	IGHV3-30-3*03	NA	IGHJ6*02	25
84	IGHV1-69*09	NA	IGHJ4*03	25
85	IGHV2-5*09	NA	IGHJ6*04	25
86	IGHV1-69*09	NA	IGHJ6*03	25
87	IGHV1-69*02	NA	IGHJ4*03	25
88	IGHV3-23D*02	NA	IGHJ4*02	25
89	IGHV2-5*09	NA	IGHJ5*02	24
90	IGHV3-30-3*03	NA	IGHJ6*04	24
91	IGHV3-7*02	NA	IGHJ2*01	24
92	IGHV3-73*01	NA	IGHJ6*04	24
93	IGHV2-5*09	NA	IGHJ3*01	24
94	IGHV1-69*14	NA	IGHJ6*01	24
95	IGHV3-30-3*03	NA	IGHJ4*02	24
96	IGHV3-30-3*03	NA	IGHJ6*01	24
97	IGHV1-69*14	NA	IGHJ6*04	23
98	IGHV2-5*09	NA	IGHJ3*02	23
99	IGHV3-30-5*02	NA	IGHJ2*01	23
100	IGHV3-23D*02	NA	IGHJ2*01	23
101	IGHV2-70D*04	NA	IGHJ6*02	23
102	IGHV3-23D*02	NA	IGHJ3*01	23
103	IGHV4-28*07	NA	IGHJ1*01	23
104	IGHV3-30-5*02	NA	IGHJ6*03	23
105	IGHV3-7*02	NA	IGHJ1*01	23
106	IGHV3-15*07	NA	IGHJ6*03	23
107	IGHV2-5*09	NA	IGHJ5*01	23
108	IGHV3-66*04	NA	IGHJ6*03	23
109	IGHV1-69*13	NA	IGHJ6*02	23
110	IGHV3-30-3*01	NA	IGHJ5*02	23
111	IGHV1-3*02	NA	IGHJ6*04	23
112	IGHV2-5*09	NA	IGHJ4*01	22
113	IGHV3-64D*06	NA	IGHJ4*01	22
114	IGHV3-30-5*02	NA	IGHJ6*02	22
115	IGHV4-39*07	NA	IGHJ5*02	22
116	IGHV3-33*05	NA	IGHJ5*02	22
117	IGHV3-NL1*01	NA	IGHJ5*01	22
118	IGHV3-30-3*03	NA	IGHJ3*01	22
119	IGHV4-28*07	NA	IGHJ6*02	22
120	IGHV3-15*07	NA	IGHJ1*01	22
121	IGHV1-18*04	NA	IGHJ2*01	22
122	IGHV2-70*11	NA	IGHJ4*03	22
123	IGHV1-69-2*02	NA	IGHJ6*04	22
124	IGHV3-49*05	NA	IGHJ5*01	22
125	IGHV3-30-5*01	NA	IGHJ3*01	22
126	IGHV1-2*02	NA	IGHJ6*04	22
127	IGHV2-70*08	NA	IGHJ4*03	22
128	IGHV3-30*17	NA	IGHJ5*01	22
129	IGHV3-30-3*03	NA	IGHJ4*03	22
130	IGHV3-30-3*03	NA	IGHJ4*01	22
131	IGHV3-33*03	NA	IGHJ4*03	22
132	IGHV3-30-5*01	NA	IGHJ4*03	22
133	IGHV1-46*03	NA	IGHJ3*02	21
134	IGHV5-10-1*01	NA	IGHJ5*01	21
135	IGHV4-34*10	NA	IGHJ3*01	21
136	IGHV4-61*03	NA	IGHJ1*01	21
137	IGHV4-28*07	NA	IGHJ6*03	21
138	IGHV4-61*04	NA	IGHJ5*02	21
139	IGHV1-2*01	NA	IGHJ5*01	21
140	IGHV4-31*09	NA	IGHJ5*02	21
141	IGHV3-30-5*02	NA	IGHJ6*04	21
142	IGHV3-53*04	NA	IGHJ5*02	21
143	IGHV3-33*04	NA	IGHJ3*01	21
144	IGHV2-5*06	NA	IGHJ1*01	21
145	IGHV5-51*05	NA	IGHJ6*04	21
146	IGHV1-69*14	NA	IGHJ5*02	21
147	IGHV1-69*14	NA	IGHJ6*03	21
148	IGHV5-51*03	NA	IGHJ5*02	21
149	IGHV3-66*04	NA	IGHJ4*01	21
150	IGHV5-51*01	NA	IGHJ3*01	21
151	IGHV1-69*14	NA	IGHJ4*02	21
152	IGHV3-21*02	NA	IGHJ6*04	21
153	IGHV2-70*13	NA	IGHJ3*01	21
154	IGHV3-15*04	NA	IGHJ6*02	21
155	IGHV4-61*01	NA	IGHJ6*04	21
156	IGHV3-15*04	NA	IGHJ6*04	21
157	IGHV3-66*03	NA	IGHJ4*01	21
158	IGHV5-51*02	NA	IGHJ5*02	21
159	IGHV3-66*04	NA	IGHJ5*02	21
160	IGHV5-51*05	NA	IGHJ6*03	21
161	IGHV3-30*06	NA	IGHJ6*02	21
162	IGHV4-4*01	NA	IGHJ5*02	21
163	IGHV1-24*01	NA	IGHJ6*02	21
164	IGHV3-23*03	NA	IGHJ5*02	21
165	IGHV2-5*09	NA	IGHJ6*01	21
166	IGHV3-43*02	NA	IGHJ6*01	21
167	IGHV3-30*09	NA	IGHJ3*01	21
168	IGHV4-28*07	NA	IGHJ2*01	21
169	IGHV3-23D*01	NA	IGHJ4*01	21
170	IGHV1-58*01	NA	IGHJ4*03	21
171	IGHV4-31*02	NA	IGHJ6*02	20
172	IGHV4-59*09	NA	IGHJ5*02	20
173	IGHV3-64*02	NA	IGHJ5*01	20
174	IGHV4-39*07	NA	IGHJ1*01	20
175	IGHV3-23D*01	NA	IGHJ6*01	20
176	IGHV3-7*03	NA	IGHJ3*02	20
177	IGHV4-31*10	NA	IGHJ2*01	20
178	IGHV3-43D*01	NA	IGHJ2*01	20
179	IGHV3-30*12	NA	IGHJ5*01	20
180	IGHV5-51*03	NA	IGHJ6*02	20
181	IGHV3-15*05	NA	IGHJ1*01	20
182	IGHV1-18*01	NA	IGHJ6*02	20
183	IGHV4-61*08	NA	IGHJ1*01	20
184	IGHV1-2*03	NA	IGHJ6*03	20
185	IGHV1-8*01	NA	IGHJ6*02	20
186	IGHV3-30-3*03	NA	IGHJ3*02	20
187	IGHV4-61*08	NA	IGHJ4*02	20
188	IGHV4-28*07	NA	IGHJ5*01	20
189	IGHV4-34*02	NA	IGHJ6*04	20
190	IGHV3-30-5*02	NA	IGHJ4*01	20
191	IGHV3-30-3*03	NA	IGHJ5*01	20
192	IGHV1-45*02	NA	IGHJ5*01	20
193	IGHV4-31*05	NA	IGHJ5*02	20
194	IGHV3-21*02	NA	IGHJ3*02	20
195	IGHV3-53*02	NA	IGHJ6*02	20
196	IGHV3-33*06	NA	IGHJ6*02	20
197	IGHV3-9*02	NA	IGHJ5*02	20
198	IGHV4-31*07	NA	IGHJ1*01	20
199	IGHV3-21*02	NA	IGHJ6*01	20
200	IGHV4-59*01	NA	IGHJ3*02	20
201	IGHV4-4*01	NA	IGHJ1*01	20
202	IGHV3-30*15	NA	IGHJ6*02	20
203	IGHV6-1*01	NA	IGHJ6*04	20
204	IGHV3-30-3*02	NA	IGHJ2*01	20
205	IGHV1-69-2*01	NA	IGHJ2*01	20
206	IGHV1-69*14	NA	IGHJ4*03	20
207	IGHV4-30-2*05	NA	IGHJ3*02	20
208	IGHV1-69*11	NA	IGHJ6*03	20
209	IGHV3-15*05	NA	IGHJ6*02	20
210	IGHV1-24*01	NA	IGHJ5*01	20
211	IGHV4-30-4*02	NA	IGHJ2*01	20
212	IGHV3-53*01	NA	IGHJ4*03	20
213	IGHV3-23D*01	NA	IGHJ3*01	20
214	IGHV4-4*02	NA	IGHJ2*01	20
215	IGHV1-69*09	NA	IGHJ6*04	20
216	IGHV3-48*04	NA	IGHJ4*03	20
217	IGHV6-1*02	NA	IGHJ6*03	20
218	IGHV4-39*01	NA	IGHJ4*02	20
219	IGHV3-33*03	NA	IGHJ5*01	19
220	IGHV3-9*02	NA	IGHJ6*04	19
221	IGHV2-26*01	NA	IGHJ2*01	19
222	IGHV4-28*05	NA	IGHJ4*03	19
223	IGHV4-59*02	NA	IGHJ5*01	19
224	IGHV1-18*04	NA	IGHJ6*02	19
225	IGHV5-10-1*04	NA	IGHJ3*01	19
226	IGHV2-70D*04	NA	IGHJ4*02	19
227	IGHV1-69*08	NA	IGHJ6*02	19
228	IGHV3-33*05	NA	IGHJ6*04	19
229	IGHV3-33*05	NA	IGHJ6*03	19
230	IGHV1-2*05	NA	IGHJ6*04	19
231	IGHV3-30-3*03	NA	IGHJ2*01	19
232	IGHV1-2*03	NA	IGHJ3*01	19
233	IGHV4-28*03	NA	IGHJ6*03	19
234	IGHV3-33*02	NA	IGHJ5*01	19
235	IGHV3-23*02	NA	IGHJ6*01	19
236	IGHV3-21*03	NA	IGHJ6*04	19
237	IGHV3-15*08	NA	IGHJ4*02	19
238	IGHV1-58*01	NA	IGHJ6*02	19
239	IGHV3-72*01	NA	IGHJ6*02	19
240	IGHV3-7*03	NA	IGHJ6*04	19
241	IGHV4-34*01	NA	IGHJ5*02	19
242	IGHV4-59*07	NA	IGHJ2*01	19
243	IGHV3-15*04	NA	IGHJ5*02	19
244	IGHV4-31*10	NA	IGHJ1*01	19
245	IGHV3-15*04	NA	IGHJ1*01	19
246	IGHV3-13*05	NA	IGHJ6*02	19
247	IGHV4-34*09	NA	IGHJ3*02	19
248	IGHV4-31*08	NA	IGHJ5*02	19
249	IGHV1-69-2*02	NA	IGHJ2*01	19
250	IGHV4-30-4*05	NA	IGHJ6*01	19
251	IGHV1-69*09	NA	IGHJ4*02	19
252	IGHV1-69*02	NA	IGHJ1*01	19
253	IGHV3-15*06	NA	IGHJ6*04	19
254	IGHV2-5*04	NA	IGHJ6*03	19
255	IGHV5-51*02	NA	IGHJ6*04	19
256	IGHV3-21*04	NA	IGHJ6*04	19
257	IGHV3-64*01	NA	IGHJ6*03	19
258	IGHV3-NL1*01	NA	IGHJ3*01	19
259	IGHV2-70D*14	NA	IGHJ6*04	19
260	IGHV3-15*03	NA	IGHJ6*03	19
261	IGHV3-23D*01	NA	IGHJ1*01	19
262	IGHV3-13*05	NA	IGHJ6*01	19
263	IGHV2-5*02	NA	IGHJ6*04	19
264	IGHV4-39*06	NA	IGHJ6*02	19
265	IGHV4-39*07	NA	IGHJ2*01	19
266	IGHV4-31*03	NA	IGHJ1*01	19
267	IGHV3-30*12	NA	IGHJ6*04	19
268	IGHV4-59*03	NA	IGHJ6*04	19
269	IGHV2-70*12	NA	IGHJ1*01	19
270	IGHV4-28*07	NA	IGHJ5*02	19
271	IGHV3-66*04	NA	IGHJ3*01	19
272	IGHV3-21*02	NA	IGHJ4*01	19
273	IGHV3-7*03	NA	IGHJ6*01	19
274	IGHV4-31*01	NA	IGHJ6*03	19
275	IGHV4-34*08	NA	IGHJ1*01	19
276	IGHV1-46*03	NA	IGHJ2*01	19
277	IGHV4-30-4*01	NA	IGHJ4*03	19
278	IGHV4-30-4*04	NA	IGHJ5*02	19
279	IGHV4-4*07	NA	IGHJ5*02	19
280	IGHV3-15*08	NA	IGHJ6*02	19
281	IGHV4-31*01	NA	IGHJ6*02	19
282	IGHV4-34*03	NA	IGHJ6*01	19
283	IGHV3-9*03	NA	IGHJ2*01	19
284	IGHV4-61*01	NA	IGHJ5*02	19
285	IGHV3-73*02	NA	IGHJ1*01	19
286	IGHV3-23D*01	NA	IGHJ6*03	19
287	IGHV4-34*11	NA	IGHJ2*01	18
288	IGHV4-31*10	NA	IGHJ5*01	18
289	IGHV3-9*03	NA	IGHJ6*01	18
290	IGHV5-51*01	NA	IGHJ2*01	18
291	IGHV4-34*06	NA	IGHJ2*01	18
292	IGHV4-61*07	NA	IGHJ4*02	18
293	IGHV7-4-1*02	NA	IGHJ6*03	18
294	IGHV4-39*05	NA	IGHJ6*03	18
295	IGHV3-49*04	NA	IGHJ2*01	18
296	IGHV1-69*14	NA	IGHJ5*01	18
297	IGHV1-69*09	NA	IGHJ1*01	18
298	IGHV3-66*03	NA	IGHJ2*01	18
299	IGHV3-30*15	NA	IGHJ5*02	18
300	IGHV3-48*02	NA	IGHJ6*04	18
301	IGHV4-61*02	NA	IGHJ3*02	18
302	IGHV3-23*03	NA	IGHJ6*03	18
303	IGHV1-18*02	NA	IGHJ5*01	18
304	IGHV3-30*01	NA	IGHJ4*03	18
305	IGHV3-13*02	NA	IGHJ4*02	18
306	IGHV2-70*07	NA	IGHJ6*02	18
307	IGHV2-70*07	NA	IGHJ6*03	18
308	IGHV3-49*02	NA	IGHJ2*01	18
309	IGHV3-49*03	NA	IGHJ3*01	18
310	IGHV3-7*01	NA	IGHJ6*02	18
311	IGHV2-70*06	NA	IGHJ6*04	18
312	IGHV3-66*04	NA	IGHJ6*01	18
313	IGHV4-39*05	NA	IGHJ4*01	18
314	IGHV1-3*02	NA	IGHJ4*03	18
315	IGHV2-5*03	NA	IGHJ3*02	18
316	IGHV4-31*03	NA	IGHJ3*02	18
317	IGHV3-15*07	NA	IGHJ3*01	18
318	IGHV4-30-4*06	NA	IGHJ6*03	18
319	IGHV4-4*08	NA	IGHJ3*02	18
320	IGHV2-70*06	NA	IGHJ4*01	18
321	IGHV4-31*03	NA	IGHJ5*01	18
322	IGHV3-66*03	NA	IGHJ6*04	18
323	IGHV4-38-2*02	NA	IGHJ6*01	18
324	IGHV1-18*03	NA	IGHJ6*01	18
325	IGHV3-30*19	NA	IGHJ6*02	18
326	IGHV4-59*10	NA	IGHJ4*01	18
327	IGHV3-30*11	NA	IGHJ6*01	18
328	IGHV2-5*04	NA	IGHJ4*02	18
329	IGHV3-30*13	NA	IGHJ4*03	18
330	IGHV1-69*10	NA	IGHJ5*01	18
331	IGHV3-33*05	NA	IGHJ4*03	18
332	IGHV1-69*10	NA	IGHJ6*02	18
333	IGHV3-48*03	NA	IGHJ5*01	18
334	IGHV3-15*06	NA	IGHJ2*01	18
335	IGHV3-30*17	NA	IGHJ6*03	18
336	IGHV7-4-1*05	NA	IGHJ1*01	18
337	IGHV4-39*01	NA	IGHJ5*02	18
338	IGHV4-4*02	NA	IGHJ3*01	18
339	IGHV3-30*15	NA	IGHJ3*02	18
340	IGHV3-49*02	NA	IGHJ6*04	18
341	IGHV4-30-2*02	NA	IGHJ6*04	18
342	IGHV4-31*03	NA	IGHJ5*02	18
343	IGHV1-24*01	NA	IGHJ6*04	18
344	IGHV3-21*03	NA	IGHJ5*01	18
345	IGHV4-61*08	NA	IGHJ5*02	18
346	IGHV3-21*02	NA	IGHJ4*03	18
347	IGHV4-28*04	NA	IGHJ6*03	18
348	IGHV3-9*02	NA	IGHJ1*01	18
349	IGHV3-66*03	NA	IGHJ1*01	18
350	IGHV4-31*09	NA	IGHJ6*03	18
351	IGHV3-11*03	NA	IGHJ5*02	18
352	IGHV3-30*16	NA	IGHJ6*01	18
353	IGHV4-31*08	NA	IGHJ6*03	18
354	IGHV5-51*04	NA	IGHJ3*01	18
355	IGHV4-30-4*03	NA	IGHJ6*03	18
356	IGHV4-59*02	NA	IGHJ6*03	18
357	IGHV3-30*09	NA	IGHJ6*04	18
358	IGHV1-46*02	NA	IGHJ1*01	18
359	IGHV3-7*02	NA	IGHJ5*01	18
360	IGHV4-59*02	NA	IGHJ6*02	18
361	IGHV3-15*02	NA	IGHJ6*02	18
362	IGHV2-70*07	NA	IGHJ4*01	18
363	IGHV3-21*02	NA	IGHJ5*02	18
364	IGHV4-61*02	NA	IGHJ1*01	18
365	IGHV2-70*12	NA	IGHJ6*01	18
366	IGHV3-33*06	NA	IGHJ2*01	18
367	IGHV3-33*06	NA	IGHJ6*04	18
368	IGHV4-59*02	NA	IGHJ6*04	18
369	IGHV2-70D*14	NA	IGHJ6*03	18
370	IGHV4-4*06	NA	IGHJ5*01	18
371	IGHV3-33*06	NA	IGHJ1*01	18
372	IGHV3-13*04	NA	IGHJ2*01	18
373	IGHV3-15*07	NA	IGHJ2*01	18
374	IGHV1-69*05	NA	IGHJ3*02	18
375	IGHV3-53*03	NA	IGHJ6*01	18
376	IGHV7-4-1*03	NA	IGHJ6*04	18
377	IGHV4-38-2*01	NA	IGHJ1*01	18
378	IGHV3-33*03	NA	IGHJ3*01	18
379	IGHV3-49*05	NA	IGHJ6*04	18
380	IGHV3-33*03	NA	IGHJ3*02	18
381	IGHV2-5*04	NA	IGHJ5*02	18
382	IGHV3-33*06	NA	IGHJ5*01	18
383	IGHV3-23*03	NA	IGHJ4*02	18
384	IGHV1-46*02	NA	IGHJ2*01	18
385	IGHV3-30*03	NA	IGHJ4*02	18
386	IGHV3-15*06	NA	IGHJ6*02	18
387	IGHV1-69*05	NA	IGHJ4*02	18
388	IGHV3-21*04	NA	IGHJ1*01	18
389	IGHV1-69-2*02	NA	IGHJ1*01	17
390	IGHV1-69*10	NA	IGHJ5*02	17
391	IGHV4-61*03	NA	IGHJ3*01	17
392	IGHV3-72*01	NA	IGHJ1*01	17
393	IGHV1-2*03	NA	IGHJ3*02	17
394	IGHV2-70*08	NA	IGHJ5*01	17
395	IGHV3-53*04	NA	IGHJ3*02	17
396	IGHV3-64*04	NA	IGHJ6*04	17
397	IGHV3-53*02	NA	IGHJ5*02	17
398	IGHV2-26*01	NA	IGHJ5*02	17
399	IGHV4-31*10	NA	IGHJ3*02	17
400	IGHV4-34*10	NA	IGHJ3*02	17
401	IGHV4-34*07	NA	IGHJ4*01	17
402	IGHV4-4*01	NA	IGHJ2*01	17
403	IGHV3-30*19	NA	IGHJ3*01	17
404	IGHV4-30-4*04	NA	IGHJ4*03	17
405	IGHV3-66*04	NA	IGHJ3*02	17
406	IGHV3-11*06	NA	IGHJ3*02	17
407	IGHV4-39*01	NA	IGHJ1*01	17
408	IGHV3-49*04	NA	IGHJ6*03	17
409	IGHV4-38-2*02	NA	IGHJ3*01	17
410	IGHV4-59*02	NA	IGHJ4*02	17
411	IGHV4-59*02	NA	IGHJ6*01	17
412	IGHV3-49*05	NA	IGHJ5*02	17
413	IGHV4-61*07	NA	IGHJ3*02	17
414	IGHV4-31*07	NA	IGHJ6*02	17
415	IGHV3-74*02	NA	IGHJ5*02	17
416	IGHV1-3*01	NA	IGHJ6*01	17
417	IGHV4-59*05	NA	IGHJ4*01	17
418	IGHV1-18*01	NA	IGHJ5*01	17
419	IGHV3-53*03	NA	IGHJ4*01	17
420	IGHV3-66*03	NA	IGHJ4*02	17
421	IGHV2-70*01	NA	IGHJ4*01	17
422	IGHV4-4*07	NA	IGHJ5*01	17
423	IGHV7-4-1*02	NA	IGHJ4*02	17
424	IGHV1-2*02	NA	IGHJ5*01	17
425	IGHV4-34*12	NA	IGHJ6*02	17
426	IGHV4-34*12	NA	IGHJ6*04	17
427	IGHV1-69-2*01	NA	IGHJ3*01	17
428	IGHV4-30-2*04	NA	IGHJ1*01	17
429	IGHV1-18*01	NA	IGHJ3*01	17
430	IGHV4-61*08	NA	IGHJ3*02	17
431	IGHV2-70*12	NA	IGHJ6*04	17
432	IGHV2-5*04	NA	IGHJ6*02	17
433	IGHV1-69*13	NA	IGHJ3*01	17
434	IGHV3-49*05	NA	IGHJ2*01	17
435	IGHV3-11*06	NA	IGHJ4*02	17
436	IGHV3-72*01	NA	IGHJ2*01	17
437	IGHV3-73*02	NA	IGHJ6*01	17
438	IGHV3-30-3*01	NA	IGHJ1*01	17
439	IGHV5-51*04	NA	IGHJ3*02	17
440	IGHV1-18*03	NA	IGHJ4*03	17
441	IGHV3-30*13	NA	IGHJ3*02	17
442	IGHV4-61*08	NA	IGHJ3*01	17
443	IGHV3-21*02	NA	IGHJ3*01	17
444	IGHV4-59*05	NA	IGHJ2*01	17
445	IGHV3-23D*01	NA	IGHJ2*01	17
446	IGHV1-2*04	NA	IGHJ4*02	17
447	IGHV3-13*03	NA	IGHJ2*01	17
448	IGHV3-9*01	NA	IGHJ6*01	17
