	simdata
IGHV1-69D*01	1224
IGHV4-28*07	853
IGHV3-30-5*01	846
IGHV3-23D*02	810
IGHV2-5*09	809
IGHV2-70D*04	785
IGHV3-30-3*03	763
IGHV3-30-5*02	741
IGHV1-69*09	698
IGHV1-69*14	698
IGHV3-23D*01	684
IGHV3-66*04	581
IGHV3-21*02	534
IGHV4-61*08	456
IGHV4-34*02	449
IGHV4-31*03	447
IGHV4-39*07	446
IGHV4-59*02	445
IGHV4-61*01	443
IGHV3-21*04	439
IGHV3-33*06	438
IGHV3-30*17	435
IGHV3-33*05	433
IGHV4-39*05	432
IGHV1-45*02	429
IGHV3-74*02	427
IGHV5-10-1*02	424
IGHV6-1*02	422
IGHV3-64*04	422
IGHV3-30*11	422
IGHV3-72*01	420
IGHV4-30-4*06	419
IGHV1-69*10	418
IGHV3-NL1*01	418
IGHV3-15*04	416
IGHV4-31*05	415
IGHV1-18*03	414
IGHV3-9*03	413
IGHV2-5*04	413
IGHV2-70*08	413
IGHV4-39*01	413
IGHV3-11*06	412
IGHV2-70*11	411
IGHV3-23*05	410
IGHV4-34*07	410
IGHV4-28*05	410
IGHV3-73*02	409
IGHV4-59*05	409
IGHV1-3*02	409
IGHV4-4*02	409
IGHV2-70*06	408
IGHV2-5*02	408
IGHV3-33*04	408
IGHV1-18*04	407
IGHV2-70D*14	406
IGHV3-30*12	406
IGHV5-10-1*04	406
IGHV1-69*11	405
IGHV4-4*07	405
IGHV4-34*12	405
IGHV3-13*05	404
IGHV7-4-1*05	403
IGHV4-59*01	403
IGHV4-61*05	402
IGHV4-38-2*02	402
IGHV3-9*02	402
IGHV2-5*08	402
IGHV2-26*01	401
IGHV3-23*03	401
IGHV4-30-4*01	400
IGHV3-15*07	400
IGHV4-31*08	400
IGHV3-48*04	400
IGHV4-39*02	400
IGHV6-1*01	399
IGHV4-59*06	398
IGHV2-70*13	398
IGHV4-30-4*03	397
IGHV1-3*01	397
IGHV1-69-2*01	397
IGHV5-51*03	397
IGHV4-31*09	396
IGHV7-4-1*02	396
IGHV1-24*01	395
IGHV1-69*08	395
IGHV5-51*04	394
IGHV4-34*11	394
IGHV4-30-2*03	394
IGHV3-15*08	394
IGHV3-15*05	394
IGHV4-4*05	393
IGHV3-49*05	393
IGHV3-7*02	393
IGHV4-28*06	392
IGHV1-8*01	392
IGHV3-30*16	392
IGHV3-66*03	391
IGHV1-69*02	391
IGHV3-53*02	391
IGHV3-11*05	391
IGHV4-31*01	391
IGHV4-59*08	391
IGHV3-30-3*02	390
IGHV7-4-1*03	390
IGHV4-31*02	390
IGHV3-43*01	390
IGHV2-70*07	390
IGHV1-2*02	390
IGHV1-69*13	389
IGHV3-7*03	389
IGHV3-20*01	389
IGHV1-46*03	389
IGHV4-30-2*06	388
IGHV3-64*02	387
IGHV1-2*04	387
IGHV4-38-2*01	387
IGHV3-21*03	387
IGHV3-33*03	386
IGHV3-66*02	386
IGHV3-48*01	386
IGHV1-69-2*02	385
IGHV4-4*04	385
IGHV3-30*09	384
IGHV4-39*06	384
IGHV4-34*06	384
IGHV4-30-2*01	384
IGHV4-30-2*04	383
IGHV2-70*12	383
IGHV3-49*02	382
IGHV1-69*05	382
IGHV2-5*03	382
IGHV3-53*04	382
IGHV5-10-1*01	382
IGHV1-2*03	382
IGHV3-15*03	381
IGHV4-31*07	381
IGHV4-59*03	381
IGHV4-59*07	381
IGHV1-2*01	381
IGHV3-43D*01	380
IGHV3-15*02	380
IGHV5-51*02	380
IGHV2-70*10	380
IGHV3-53*01	380
IGHV3-13*04	379
IGHV3-49*04	379
IGHV1-58*01	379
IGHV3-15*06	378
IGHV3-43*02	378
IGHV4-4*08	378
IGHV3-13*03	378
IGHV4-61*02	377
IGHV4-34*09	377
IGHV1-2*05	376
IGHV3-30*10	376
IGHV3-53*03	376
IGHV4-31*10	376
IGHV1-58*02	376
IGHV4-59*10	375
IGHV2-5*01	375
IGHV4-34*04	374
IGHV3-64*05	374
IGHV4-30-2*05	374
IGHV4-34*03	374
IGHV3-30*14	373
IGHV3-64D*06	372
IGHV3-30*13	371
IGHV1-18*01	371
IGHV4-4*01	371
IGHV1-46*02	371
IGHV3-49*03	371
IGHV3-30*08	370
IGHV3-30-3*01	370
IGHV4-61*03	370
IGHV4-30-4*04	369
IGHV3-33*02	369
IGHV3-48*03	369
IGHV3-13*02	368
IGHV7-4-1*04	367
IGHV3-48*02	367
IGHV4-34*05	366
IGHV3-23*02	365
IGHV4-34*13	365
IGHV4-59*04	365
IGHV2-5*06	365
IGHV1-8*02	364
IGHV1-45*03	364
IGHV4-30-4*07	364
IGHV3-30*19	364
IGHV4-61*04	363
IGHV4-34*01	363
IGHV3-73*01	363
IGHV1-69*03	362
IGHV3-30*07	362
IGHV4-28*02	361
IGHV3-30*15	361
IGHV4-30-4*02	361
IGHV4-30-2*02	360
IGHV3-64*01	360
IGHV7-4-1*01	359
IGHV4-34*10	359
IGHV3-11*03	359
IGHV4-4*06	358
IGHV5-51*05	358
IGHV3-49*01	358
IGHV3-30*05	357
IGHV3-74*01	357
IGHV5-51*01	357
IGHV2-70*01	355
IGHV4-34*08	355
IGHV4-39*03	352
IGHV1-46*01	351
IGHV5-10-1*03	351
IGHV4-31*04	351
IGHV3-11*01	350
IGHV3-74*03	350
IGHV4-4*03	350
IGHV2-70*03	349
IGHV3-30*03	349
IGHV4-61*07	349
IGHV3-9*01	349
IGHV3-11*04	347
IGHV4-31*06	347
IGHV1-69*07	345
IGHV1-45*01	344
IGHV3-33*01	343
IGHV3-7*01	341
IGHV4-39*04	340
IGHV3-15*01	339
IGHV3-13*01	337
IGHV3-64*03	336
IGHV4-30-4*05	333
IGHV4-28*04	333
IGHV4-59*09	329
IGHV1-18*02	329
IGHV2-70*02	320
IGHV3-72*02	317
IGHV3-30*06	311
IGHV2-70*05	311
IGHV3-30*01	310
IGHV4-28*03	278
IGHV3-66*01	199
IGHV3-21*01	178
IGHV1-69*04	46
IGHV1-69*12	43
IGHV1-69*06	39
IGHV4-28*01	18
IGHV3-69-1*01	14
IGHV3-20*02	10
IGHV2-5*05	4
IGHV3/OR16-10*03	4
IGHV1/OR15-1*04	4
IGHV4-61*06	4
IGHV4-55*08	3
IGHV4/OR15-8*01	3
IGHV1/OR15-2*02	2
IGHV3-38*02	2
IGHV3-35*01	2
IGHV3-71*03	2
IGHV3-47*02	2
IGHV4/OR15-8*03	1
IGHV3-71*01	1
IGHV3/OR16-6*02	1
IGHV1/OR15-3*03	1
IGHV3-69-1*02	1
