	d	j	v	frequency
0	NA	IGHJ6*01	IGHV1-69D*01	NA
1	NA	IGHJ6*02	IGHV1-69D*01	NA
2	NA	IGHJ3*02	IGHV1-69D*01	NA
3	NA	IGHJ4*02	IGHV1-69D*01	NA
4	NA	IGHJ3*01	IGHV1-69D*01	NA
5	NA	IGHJ5*01	IGHV1-69D*01	NA
6	NA	IGHJ4*01	IGHV1-69D*01	NA
7	NA	IGHJ5*01	IGHV3-30-5*01	NA
8	NA	IGHJ6*01	IGHV4-28*07	NA
9	NA	IGHJ6*04	IGHV1-69D*01	NA
10	NA	IGHJ5*02	IGHV1-69D*01	NA
11	NA	IGHJ2*01	IGHV1-69D*01	NA
12	NA	IGHJ2*01	IGHV2-5*09	NA
13	NA	IGHJ1*01	IGHV2-5*09	NA
14	NA	IGHJ6*03	IGHV1-69D*01	NA
15	NA	IGHJ4*03	IGHV1-69D*01	NA
16	NA	IGHJ6*01	IGHV2-70D*04	NA
17	NA	IGHJ3*01	IGHV4-28*07	NA
18	NA	IGHJ5*02	IGHV3-30-5*01	NA
19	NA	IGHJ1*01	IGHV1-69D*01	NA
20	NA	IGHJ4*01	IGHV4-28*07	NA
21	NA	IGHJ6*04	IGHV3-23D*02	NA
22	NA	IGHJ3*02	IGHV2-70D*04	NA
23	NA	IGHJ1*01	IGHV3-30-5*01	NA
24	NA	IGHJ2*01	IGHV2-70D*04	NA
25	NA	IGHJ4*02	IGHV4-28*07	NA
26	NA	IGHJ5*02	IGHV2-70D*04	NA
27	NA	IGHJ6*04	IGHV4-28*07	NA
28	NA	IGHJ6*03	IGHV3-30-3*03	NA
29	NA	IGHJ3*02	IGHV3-30-5*01	NA
30	NA	IGHJ6*03	IGHV2-70D*04	NA
31	NA	IGHJ1*01	IGHV3-30-3*03	NA
32	NA	IGHJ6*03	IGHV3-30-5*01	NA
33	NA	IGHJ4*03	IGHV3-23D*02	NA
34	NA	IGHJ1*01	IGHV2-70D*04	NA
35	NA	IGHJ2*01	IGHV1-69*14	NA
36	NA	IGHJ3*02	IGHV3-30-5*02	NA
37	NA	IGHJ6*04	IGHV2-70D*04	NA
38	NA	IGHJ3*01	IGHV2-70D*04	NA
39	NA	IGHJ6*01	IGHV3-23D*02	NA
40	NA	IGHJ3*02	IGHV3-23D*02	NA
41	NA	IGHJ1*01	IGHV3-30-5*02	NA
42	NA	IGHJ6*02	IGHV1-69*14	NA
43	NA	IGHJ1*01	IGHV3-23D*02	NA
44	NA	IGHJ6*02	IGHV3-23D*02	NA
45	NA	IGHJ6*04	IGHV3-30-5*01	NA
46	NA	IGHJ5*02	IGHV3-30-3*03	NA
47	NA	IGHJ2*01	IGHV3-30-5*01	NA
48	NA	IGHJ5*01	IGHV3-30-5*02	NA
49	NA	IGHJ1*01	IGHV3-66*04	NA
50	NA	IGHJ5*02	IGHV3-23D*02	NA
51	NA	IGHJ6*02	IGHV3-30-5*01	NA
52	NA	IGHJ5*01	IGHV3-23D*01	NA
53	NA	IGHJ1*01	IGHV1-69*14	NA
54	NA	IGHJ6*03	IGHV4-34*11	NA
