	v	d	j	frequency
0	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ6*01|Homo	54
1	KC713934|IGHV1-69D*01|Homo	NA	X86355|IGHJ6*02|Homo	46
2	KC713934|IGHV1-69D*01|Homo	NA	X86355|IGHJ4*02|Homo	46
3	KC713934|IGHV1-69D*01|Homo	NA	X86355|IGHJ3*02|Homo	45
4	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ3*01|Homo	43
5	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ4*01|Homo	41
6	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ5*01|Homo	40
7	KC713936|IGHV4-28*07|Homo	NA	J00256|IGHJ6*01|Homo	40
8	KC713934|IGHV1-69D*01|Homo	NA	X86355|IGHJ5*02|Homo	39
9	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ5*01|Homo	39
10	KC713934|IGHV1-69D*01|Homo	NA	M25625|IGHJ4*03|Homo	39
11	KC713934|IGHV1-69D*01|Homo	NA	AJ879487|IGHJ6*04|Homo	36
12	KC713934|IGHV1-69D*01|Homo	NA	X86356|IGHJ6*03|Homo	36
13	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ2*01|Homo	36
14	KC713936|IGHV4-28*07|Homo	NA	J00256|IGHJ3*01|Homo	35
15	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ2*01|Homo	35
16	KC713935|IGHV2-70D*04|Homo	NA	J00256|IGHJ6*01|Homo	35
17	L21972|IGHV2-5*09|Homo	NA	J00256|IGHJ1*01|Homo	35
18	AC244456|IGHV3-30-5*01|Homo	NA	X86355|IGHJ5*02|Homo	34
19	KC713935|IGHV2-70D*04|Homo	NA	X86355|IGHJ3*02|Homo	33
20	KC713934|IGHV1-69D*01|Homo	NA	J00256|IGHJ1*01|Homo	33
21	KC713936|IGHV4-28*07|Homo	NA	J00256|IGHJ4*01|Homo	32
22	AC244456|IGHV3-30-5*01|Homo	NA	X86355|IGHJ3*02|Homo	31
23	AC245166|IGHV3-23D*02|Homo	NA	AJ879487|IGHJ6*04|Homo	31
24	KC713945|IGHV3-30-3*03|Homo	NA	X86355|IGHJ5*02|Homo	31
25	KC713936|IGHV4-28*07|Homo	NA	X86355|IGHJ4*02|Homo	31
26	KC713935|IGHV2-70D*04|Homo	NA	J00256|IGHJ1*01|Homo	30
27	AC245243|IGHV3-30-5*02|Homo	NA	X86355|IGHJ3*02|Homo	30
28	KC713935|IGHV2-70D*04|Homo	NA	J00256|IGHJ3*01|Homo	30
29	KC713945|IGHV3-30-3*03|Homo	NA	X86356|IGHJ6*03|Homo	30
30	AC245166|IGHV3-23D*02|Homo	NA	X86355|IGHJ3*02|Homo	30
31	AC244456|IGHV3-30-5*01|Homo	NA	AJ879487|IGHJ6*04|Homo	30
32	KC713936|IGHV4-28*07|Homo	NA	AJ879487|IGHJ6*04|Homo	29
33	KC713945|IGHV3-30-3*03|Homo	NA	J00256|IGHJ1*01|Homo	29
34	AC245243|IGHV3-30-5*02|Homo	NA	J00256|IGHJ1*01|Homo	29
35	AC244456|IGHV3-30-5*01|Homo	NA	J00256|IGHJ1*01|Homo	29
36	KC713948|IGHV1-69*14|Homo	NA	J00256|IGHJ2*01|Homo	28
37	AC244456|IGHV3-30-5*01|Homo	NA	X86355|IGHJ6*02|Homo	28
