	v
IGHV4-3*01	3584
IGHV4-8*01	2572
IGHV1-3*01	2480
IGHV1-2*01	1784
IGHV4-1*01	1592
IGHV2-1*01	1248
IGHV1-5*01	1146
IGHV4-6*01	1137
IGHV5-1*01	1079
IGHV13-2*01	981
IGHV8-2*01	931
IGHV7-1*01	844
IGHV2-2*01	780
IGHV8-4*01	724
IGHV1-4*01	658
IGHV5-4*01	577
IGHV8-1*01	486
IGHV5-5*01	360
IGHV5-7*01	340
IGHV8-3*01	278
IGHV14-1*01	266
IGHV5-2*01	227
IGHV10-1*01	187
IGHV4-9*01	124
IGHV6-2*01	94
IGHV5-3*01	94
IGHV4-2*01	92
IGHV9-2*01	80
IGHV4-5*01	72
IGHV11-1*01	37
IGHV5-8*01	27
IGHV11-2*01	22
IGHV3-2*01	13
IGHV6-1*01	3
IGHV9-4*01	2
IGHV4-7*01	2
IGHV9-3*01	1
