	v	d	j	frequency
0	IGHV13-2*01	NA	IGHJ2-1*01	12558
1	IGHV1-3*01	NA	IGHJ2-1*01	4971
2	IGHV11-2*01	NA	IGHJ2-4*01	4858
3	IGHV1-2*01	NA	IGHJ2-5*01	4739
4	IGHV14-1*01	NA	IGHJ2-4*01	2661
5	IGHV8-3*01	NA	IGHJ2-5*01	2639
6	IGHV4-3*01	NA	IGHJ2-2*01	2402
7	IGHV13-2*01	NA	IGHJ2-2*01	1873
8	IGHV1-2*01	NA	IGHJ2-1*01	1719
9	IGHV2-1*01	NA	IGHJ2-1*01	1703
10	IGHV4-6*01	NA	IGHJ2-1*01	1686
11	IGHV14-1*01	NA	IGHJ2-2*01	1076
12	IGHV4-6*01	NA	IGHJ2-4*01	1068
13	IGHV1-5*01	NA	IGHJ2-3*01	961
14	IGHV8-3*01	NA	IGHJ2-4*01	872
15	IGHV2-2*01	NA	IGHJ2-2*01	780
16	IGHV4-8*01	NA	IGHJ2-5*01	765
17	IGHV8-4*01	NA	IGHJ2-1*01	677
18	IGHV4-1*01	IGHD2-4*01	IGHJ2-1*01	657
19	IGHV2-1*01	NA	IGHJ2-4*01	625
20	IGHV5-1*01	NA	IGHJ2-2*01	624
21	IGHV4-6*01	NA	IGHJ2-2*01	607
22	IGHV5-5*01	NA	IGHJ2-5*01	530
23	IGHV5-1*01	NA	IGHJ2-4*01	486
24	IGHV1-2*01	NA	IGHJ2-2*01	438
25	IGHV1-3*01	NA	IGHJ2-5*01	419
26	IGHV4-5*01	NA	IGHJ2-2*01	410
27	IGHV11-2*01	NA	IGHJ2-1*01	371
28	IGHV4-3*01	NA	IGHJ2-5*01	346
29	IGHV4-8*01	NA	IGHJ2-4*01	313
30	IGHV4-6*01	NA	IGHJ2-5*01	306
31	IGHV4-3*01	NA	IGHJ2-1*01	285
32	IGHV8-1*01	NA	IGHJ2-5*01	282
33	IGHV14-1*01	NA	IGHJ2-1*01	268
34	IGHV1-5*01	NA	IGHJ2-5*01	265
35	IGHV1-2*01	NA	IGHJ2-4*01	245
36	IGHV1-4*01	NA	IGHJ2-4*01	237
37	IGHV5-7*01	NA	IGHJ2-5*01	229
38	IGHV4-8*01	NA	IGHJ2-1*01	218
39	IGHV7-1*01	NA	IGHJ2-5*01	212
40	IGHV1-4*01	NA	IGHJ2-5*01	208
41	IGHV2-2*01	NA	IGHJ2-5*01	204
42	IGHV4-1*01	NA	IGHJ2-1*01	204
43	IGHV5-3*01	NA	IGHJ2-1*01	191
44	IGHV5-7*01	IGHD2-5*01	IGHJ2-2*01	178
45	IGHV8-3*01	NA	IGHJ2-2*01	166
46	IGHV4-1*01	NA	IGHJ2-4*01	160
47	IGHV5-5*01	NA	IGHJ2-1*01	151
48	IGHV4-1*01	NA	IGHJ2-5*01	146
49	IGHV1-3*01	NA	IGHJ2-2*01	145
50	IGHV2-1*01	NA	IGHJ2-5*01	129
51	IGHV5-1*01	NA	IGHJ2-1*01	117
52	IGHV1-3*01	NA	IGHJ2-4*01	116
53	IGHV1-5*01	NA	IGHJ2-2*01	112
54	IGHV7-1*01	NA	IGHJ2-4*01	111
55	IGHV4-1*01	NA	IGHJ2-2*01	110
56	IGHV4-3*01	NA	IGHJ2-4*01	99
57	IGHV6-2*01	NA	IGHJ2-1*01	89
58	IGHV7-1*01	NA	IGHJ2-1*01	83
59	IGHV1-5*01	NA	IGHJ2-4*01	82
60	IGHV1-5*01	NA	IGHJ2-1*01	81
61	IGHV13-2*01	NA	IGHJ2-4*01	77
62	IGHV14-1*01	NA	IGHJ2-5*01	76
63	IGHV8-4*01	NA	IGHJ2-4*01	75
64	IGHV8-2*01	NA	IGHJ2-1*01	73
65	IGHV2-2*01	NA	IGHJ2-1*01	67
66	IGHV5-2*01	NA	IGHJ2-1*01	67
67	IGHV8-1*01	NA	IGHJ2-3*01	57
68	IGHV2-1*01	NA	IGHJ2-2*01	55
69	IGHV1-4*01	NA	IGHJ2-1*01	54
70	IGHV6-2*01	NA	IGHJ2-4*01	52
71	IGHV8-3*01	NA	IGHJ2-1*01	49
72	IGHV4-9*01	NA	IGHJ2-1*01	48
73	IGHV5-7*01	NA	IGHJ2-1*01	45
74	IGHV8-2*01	NA	IGHJ2-2*01	43
75	IGHV11-2*01	NA	IGHJ2-2*01	43
76	IGHV7-1*01	NA	IGHJ2-3*01	41
77	IGHV4-8*01	NA	IGHJ2-2*01	40
78	IGHV7-1*01	NA	IGHJ2-2*01	40
79	IGHV10-1*01	NA	IGHJ2-4*01	35
80	IGHV1-4*01	NA	IGHJ2-2*01	34
81	IGHV13-2*01	NA	IGHJ2-5*01	34
82	IGHV5-4*01	NA	IGHJ2-1*01	33
83	IGHV4-5*01	NA	IGHJ2-1*01	31
84	IGHV5-7*01	NA	IGHJ2-2*01	30
85	IGHV9-2*01	NA	IGHJ2-1*01	29
86	IGHV1-2*01	NA	IGHJ2-3*01	28
87	IGHV8-1*01	NA	IGHJ2-4*01	27
88	IGHV4-9*01	NA	IGHJ2-2*01	26
89	IGHV4-1*01	NA	IGHJ2-3*01	26
90	IGHV1-4*01	NA	IGHJ2-3*01	25
91	IGHV5-4*01	NA	IGHJ2-5*01	25
92	IGHV2-2*01	NA	IGHJ2-4*01	25
93	IGHV1-3*01	NA	IGHJ2-3*01	24
94	IGHV5-4*01	NA	IGHJ2-4*01	20
95	IGHV14-1*01	IGHD2-5*01	IGHJ2-1*01	19
96	IGHV5-8*01	NA	IGHJ2-1*01	18
97	IGHV8-4*01	NA	IGHJ2-2*01	18
98	IGHV4-7*01	NA	IGHJ2-4*01	18
99	IGHV10-1*01	NA	IGHJ2-5*01	16
100	IGHV4-9*01	NA	IGHJ2-4*01	16
101	IGHV5-1*01	NA	IGHJ2-5*01	16
