	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	6123.0	8531.0	3550.0	5915.0	11575.0	1376.0	9193.0	3916.0	5033.0	32940.0	33396.0	11738.0	11210.0	7281.0
1	1448.0	1981.0	1873.0	1591.0	3331.0	331.0	1610.0	1750.0	1595.0	3123.0	1992.0	2618.0	5194.0	752.0
2	2736.0	3384.0	1979.0	2094.0	10934.0	553.0	4582.0	1746.0	2102.0	7063.0	2854.0	14491.0	5052.0	5483.0
3	3775.0	6569.0	15739.0	1956.0	6803.0	404.0	7173.0	11238.0	5261.0	6091.0	16504.0	9627.0	9924.0	2962.0
4	2435.0	2839.0	1894.0	2034.0	2160.0	363.0	3747.0	2139.0	5554.0	7569.0	4618.0	5450.0	6162.0	7986.0
5	819.0	1135.0	4430.0	2243.0	1348.0	360.0	1800.0	1288.0	958.0	2615.0	1320.0	2545.0	2516.0	6448.0
6	164.0	175.0	150.0	147.0	237.0	20.0	416.0	379.0	1613.0	1228.0	399.0	915.0	364.0	190.0
7	68.0	223.0	97.0	50.0	89.0	4.0	555.0	176.0	122.0	463.0	155.0	126.0	292.0	118.0
8	28.0	40.0	60.0	52.0	45.0	1.0	87.0	35.0	186.0	27.0	131.0	73.0	258.0	255.0
9	16.0	23.0	12.0	31.0	20.0	3.0	99.0	33.0	33.0	11.0	437.0	13.0	25.0	3.0
10	2.0	8.0	1.0	NA	2.0	NA	7.0	4.0	8.0	4.0	26.0	5.0	3.0	2.0
11	2.0	1.0	1.0	3.0	2.0	1.0	2.0	20.0	5.0	4.0	421.0	6.0	22.0	2.0
12	1.0	NA	3.0	2.0	NA	1.0	4.0	6.0	1.0	1.0	6.0	2.0	NA	NA
13	NA	3.0	NA	3.0	3.0	2.0	4.0	121.0	8.0	3.0	35.0	5.0	7.0	4.0
14	NA	NA	NA	NA	NA	NA	3.0	3.0	2.0	1.0	136.0	NA	NA	NA
15	NA	NA	NA	NA	6.0	1.0	10.0	NA	NA	NA	NA	NA	1.0	NA
16	NA	NA	NA	NA	1.0	NA	1.0	2.0	2.0	NA	5.0	NA	NA	NA
17	NA	1.0	NA	1.0	NA	NA	NA	NA	1.0	2.0	8.0	1.0	2.0	NA
18	NA	NA	1.0	NA	7.0	2.0	43.0	6.0	6.0	1.0	5.0	1301.0	2.0	NA
19	3.0	NA	NA	NA	1.0	NA	NA	5.0	1.0	NA	1.0	4.0	3.0	NA
20	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	5.0	1.0	NA
21	2.0	1.0	2.0	1.0	6.0	NA	NA	1.0	3.0	NA	5.0	20.0	4.0	NA
22	NA	2.0	NA	NA	NA	NA	NA	NA	6.0	NA	1.0	1.0	2.0	NA
23	4.0	1.0	NA	NA	NA	NA	NA	NA	1.0	NA	3.0	NA	NA	NA
24	NA	NA	NA	NA	NA	NA	4.0	NA	8.0	1.0	7.0	NA	4.0	NA
25	NA	NA	NA	1.0	NA	NA	8.0	2.0	4.0	NA	5.0	NA	NA	NA
26	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	2.0	NA	NA	NA
28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
30	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA
