	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
0	IGHD1-2*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	IGHD1-2*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	IGHD2-2*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	IGHD2-3*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	IGHD2-4*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	IGHD2-4*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	IGHD2-4*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	IGHD2-4*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	IGHD2-5*01	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	IGHD2-5*01	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	IGHD2-5*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	IGHD2-5*01	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	NA	IGHJ1-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	NA	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	NA	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	NA	IGHJ2-3*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	NA	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	NA	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	IGHD2-2*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	IGHD2-2*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	IGHD2-3*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	IGHD2-4*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	IGHD2-4*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	IGHD2-4*01	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	IGHD2-5*01	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	IGHD2-5*01	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	IGHD2-5*01	IGHJ2-3*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	IGHD2-5*01	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	IGHD2-5*01	IGHJ2-5*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	NA	IGHJ2-1*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	IGHJ2-2*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	IGHJ2-3*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	NA	IGHJ2-4*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	NA	IGHJ2-5*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	IGHD2-2*01	IGHJ2-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	IGHD2-2*01	IGHJ2-4*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	IGHD2-2*01	IGHJ2-5*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
