	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
10	NA	NA	NA	NA	NA	8.546	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	14.686	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	NA	NA	NA	NA	19.452	NA	NA	NA	NA	NA	NA	NA	NA
40	NA	NA	NA	NA	NA	23.235	NA	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	NA	26.268	NA	NA	NA	NA	NA	NA	NA	NA
60	NA	NA	NA	NA	NA	29.034	NA	NA	NA	NA	NA	NA	NA	NA
70	NA	NA	NA	NA	NA	31.356	NA	NA	NA	NA	NA	NA	NA	NA
80	NA	NA	NA	NA	NA	33.299	NA	NA	NA	NA	NA	NA	NA	NA
90	NA	NA	NA	NA	NA	35.126	NA	NA	NA	NA	NA	NA	NA	NA
100	41.56	48.503	28.375	42.702	34.037	36.647	45.792	40.156	46.608	33.001	29.35	42.91	46.17	34.888
200	59.52	67.968	43.017	57.863	50.917	47.75	62.487	58.409	68.989	45.743	44.437	61.742	66.699	49.643
300	71.127	79.605	52.854	66.633	62.739	NA	72.549	69.879	83.011	54.137	55.393	74.146	80.362	58.965
400	79.764	87.927	60.479	72.81	72.068	59.462	79.24	77.163	93.159	60.708	63.045	82.854	89.89	66.322
500	86.256	94.806	66.776	77.716	79.01	NA	84.202	82.822	100.715	65.489	69.357	90.238	97.575	71.231
600	91.956	99.46	71.891	81.699	85.337	66.682	88.117	87.037	107.189	69.476	74.556	95.83	103.802	75.621
700	96.674	103.578	76.846	84.846	90.276	NA	91.7	90.5	112.044	73.126	79.08	100.642	109.404	79.001
800	100.972	107.582	80.583	87.802	94.907	71.753	94.536	93.359	116.533	75.967	83.068	104.833	113.714	81.974
900	104.352	110.685	84.022	90.108	98.827	NA	97.076	95.942	120.603	78.777	86.057	108.524	117.671	84.555
1000	107.274	113.425	87.075	92.338	102.139	75.811	99.134	98.124	123.935	81.297	89.716	111.854	121.138	86.726
2000	128.624	130.825	107.787	106.516	123.823	88.063	112.378	111.208	145.17	97.328	109.973	133.651	144.234	101.391
3000	NA	NA	NA	NA	NA	95.407	NA	NA	NA	NA	NA	NA	NA	NA
3422	NA	NA	NA	NA	NA	98.0	NA	NA	NA	NA	NA	NA	NA	NA
4000	149.768	147.313	128.078	120.87	143.159	NA	124.482	123.391	167.201	113.167	130.978	155.959	166.67	115.72
6000	162.099	156.997	139.909	130.127	154.092	NA	131.228	130.675	180.115	122.112	143.77	169.932	180.191	124.145
8000	171.743	164.187	148.448	137.11	161.297	NA	136.014	135.747	190.83	128.393	152.347	180.478	190.404	130.47
10000	179.595	170.063	155.024	142.636	166.771	NA	140.086	139.914	198.515	133.13	159.254	188.509	199.002	135.54
16125	NA	NA	NA	155.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17626	201.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20000	NA	188.302	173.894	NA	183.999	NA	153.206	151.54	223.538	148.09	181.709	216.467	228.523	151.717
22513	NA	NA	NA	NA	NA	NA	NA	NA	228.0	NA	NA	NA	NA	NA
22870	NA	NA	NA	NA	NA	NA	NA	154.0	NA	NA	NA	NA	NA	NA
24924	NA	194.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29348	NA	NA	NA	NA	NA	NA	161.0	NA	NA	NA	NA	NA	NA	NA
29792	NA	NA	183.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30000	NA	NA	NA	NA	194.125	NA	NA	NA	NA	157.187	195.427	233.061	247.65	161.795
31486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	163.0
36573	NA	NA	NA	NA	199.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
40000	NA	NA	NA	NA	NA	NA	NA	NA	NA	163.659	205.394	244.572	261.752	NA
41048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	263.0	NA
48949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	252.0	NA	NA
50000	NA	NA	NA	NA	NA	NA	NA	NA	NA	168.753	213.592	NA	NA	NA
60000	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.609	220.426	NA	NA	NA
61147	NA	NA	NA	NA	NA	NA	NA	NA	NA	173.0	NA	NA	NA	NA
62474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.0	NA	NA	NA
