	d	j	v	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency	frequency
0	NA	IGHJ2-1*01	IGHV1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	NA	IGHJ2-2*01	IGHV1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	IGHJ2-4*01	IGHV1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	IGHJ2-5*01	IGHV1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	IGHD2-2*01	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	NA	IGHJ1-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	NA	IGHJ1-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	NA	IGHJ2-1*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	NA	IGHJ2-2*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	NA	IGHJ2-3*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	NA	IGHJ2-4*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	NA	IGHJ2-5*01	IGHV1-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	NA	IGHJ2-3*01	IGHV1-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	NA	IGHJ1-1*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	NA	IGHJ2-2*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	NA	IGHJ2-3*01	IGHV1-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	IGHD2-4*01	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	NA	IGHJ1-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	NA	IGHJ2-1*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	NA	IGHJ2-2*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	IGHJ2-3*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	NA	IGHJ2-4*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	NA	IGHJ2-5*01	IGHV1-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	NA	IGHJ2-1*01	IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	NA	IGHJ2-2*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	NA	IGHJ2-3*01	IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	NA	IGHJ2-2*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	NA	IGHJ2-3*01	IGHV13-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	NA	IGHJ1-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	NA	IGHJ2-1*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	IGHJ2-4*01	IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	NA	IGHJ2-2*01	IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	NA	IGHJ2-1*01	IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
