	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.0	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
3	NA	NA	NA	1.0	NA	NA	2.0	1.0	NA	3.0	2.0	1.0	NA	NA
4	1.0	2.0	NA	1.0	1.0	NA	1.0	1.0	NA	1.0	1.0	NA	NA	NA
5	1.0	NA	1.0	NA	NA	NA	5.0	NA	1.0	2.0	1.0	NA	2.0	1.0
6	2.0	1.0	3.0	NA	4.0	NA	1.0	NA	NA	3.0	NA	NA	5.0	3.0
7	1.0	4.0	1.0	3.0	3.0	NA	5.0	4.0	NA	NA	3.0	3.0	NA	4.0
8	1.0	1.0	NA	1.0	1.0	1.0	2.0	3.0	2.0	2.0	NA	1.0	2.0	3.0
9	1.0	1.0	NA	3.0	NA	NA	1.0	50.0	NA	2.0	1.0	1.0	5.0	8.0
10	2.0	2.0	NA	2.0	2.0	NA	2.0	1.0	1.0	5.0	6.0	2.0	NA	NA
11	NA	1.0	1.0	10.0	NA	1.0	1.0	3.0	NA	2.0	2.0	2.0	1.0	1.0
12	1.0	2.0	2.0	2.0	1.0	NA	6.0	2.0	6.0	1.0	NA	5.0	1.0	NA
13	NA	NA	NA	NA	2.0	NA	3.0	NA	NA	1.0	NA	NA	NA	NA
14	NA	2.0	NA	1.0	NA	NA	1.0	NA	NA	1.0	NA	NA	NA	1.0
15	NA	1.0	NA	NA	12.0	NA	1.0	NA	NA	NA	NA	1.0	NA	NA
16	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	NA
17	NA	NA	NA	NA	NA	NA	NA	NA	2.0	1.0	NA	NA	NA	NA
18	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
