	v	d	j	frequency
0	IGHV7-1*01	NA	IGHJ2-1*01	327
1	IGHV1-5*01	NA	IGHJ2-4*01	278
2	IGHV8-3*01	NA	IGHJ2-2*01	209
3	IGHV1-2*01	NA	IGHJ2-1*01	157
4	IGHV1-5*01	NA	IGHJ2-1*01	139
5	IGHV4-1*01	NA	IGHJ2-2*01	139
6	IGHV1-5*01	NA	IGHJ2-2*01	135
7	IGHV8-3*01	NA	IGHJ2-1*01	124
8	IGHV4-1*01	NA	IGHJ2-1*01	119
9	IGHV4-6*01	NA	IGHJ2-1*01	111
10	IGHV1-2*01	NA	IGHJ2-5*01	108
11	IGHV1-5*01	NA	IGHJ2-5*01	105
12	IGHV1-2*01	NA	IGHJ2-4*01	93
13	IGHV14-1*01	NA	IGHJ2-2*01	89
14	IGHV2-2*01	NA	IGHJ2-1*01	88
15	IGHV4-1*01	NA	IGHJ2-4*01	86
16	IGHV1-2*01	NA	IGHJ2-2*01	82
17	IGHV4-6*01	NA	IGHJ2-4*01	78
18	IGHV5-1*01	NA	IGHJ2-1*01	68
19	IGHV4-6*01	NA	IGHJ2-5*01	61
20	IGHV8-3*01	NA	IGHJ2-4*01	48
21	IGHV7-1*01	NA	IGHJ2-4*01	46
22	IGHV1-4*01	NA	IGHJ2-1*01	42
23	IGHV4-5*01	NA	IGHJ2-1*01	41
24	IGHV7-1*01	NA	IGHJ2-5*01	37
25	IGHV7-1*01	NA	IGHJ2-2*01	36
26	IGHV5-4*01	NA	IGHJ2-1*01	35
27	IGHV2-1*01	NA	IGHJ2-5*01	35
28	IGHV10-1*01	NA	IGHJ2-1*01	35
29	IGHV2-1*01	NA	IGHJ2-1*01	30
30	IGHV4-1*01	NA	IGHJ2-5*01	28
31	IGHV1-4*01	NA	IGHJ2-4*01	26
32	IGHV2-2*01	NA	IGHJ2-5*01	25
33	IGHV5-1*01	NA	IGHJ2-2*01	22
34	IGHV1-5*01	NA	IGHJ2-3*01	21
35	IGHV4-6*01	NA	IGHJ2-2*01	19
36	IGHV4-7*01	NA	IGHJ2-2*01	18
37	IGHV14-1*01	NA	IGHJ2-4*01	16
38	IGHV10-1*01	NA	IGHJ2-4*01	15
39	IGHV10-1*01	NA	IGHJ2-5*01	12
40	IGHV4-5*01	NA	IGHJ2-2*01	11
41	IGHV2-1*01	NA	IGHJ2-2*01	11
42	IGHV2-1*01	NA	IGHJ2-4*01	11
43	IGHV4-7*01	NA	IGHJ2-1*01	11
44	IGHV2-2*01	NA	IGHJ2-4*01	10
45	IGHV4-5*01	NA	IGHJ2-5*01	9
46	IGHV1-3*01	NA	IGHJ2-1*01	9
47	IGHV8-3*01	NA	IGHJ2-5*01	9
48	IGHV5-4*01	NA	IGHJ2-5*01	8
49	IGHV1-3*01	NA	IGHJ2-4*01	8
50	IGHV3-2*01	NA	IGHJ2-4*01	7
51	IGHV5-4*01	NA	IGHJ2-4*01	7
52	IGHV14-1*01	NA	IGHJ2-1*01	7
53	IGHV1-4*01	NA	IGHJ2-2*01	7
54	IGHV5-1*01	NA	IGHJ2-4*01	7
55	IGHV1-5*01	IGHD2-4*01	IGHJ2-1*01	7
56	IGHV4-2*01	NA	IGHJ2-1*01	7
57	IGHV4-9*01	NA	IGHJ2-2*01	7
58	IGHV4-7*01	NA	IGHJ2-4*01	6
59	IGHV5-2*01	NA	IGHJ2-1*01	6
60	IGHV4-3*01	NA	IGHJ2-5*01	5
61	IGHV14-1*01	NA	IGHJ2-5*01	4
62	IGHV1-4*01	NA	IGHJ2-5*01	4
63	IGHV1-2*01	NA	IGHJ2-3*01	4
64	IGHV4-7*01	NA	IGHJ2-3*01	3
65	IGHV4-2*01	NA	IGHJ2-5*01	3
66	IGHV5-7*01	NA	IGHJ2-1*01	3
67	IGHV14-1*01	NA	IGHJ2-3*01	3
68	IGHV4-5*01	NA	IGHJ2-4*01	3
69	IGHV4-1*01	NA	IGHJ2-3*01	3
70	IGHV3-2*01	NA	IGHJ2-1*01	3
71	IGHV8-1*01	NA	IGHJ2-1*01	3
72	IGHV5-2*01	NA	IGHJ2-4*01	3
73	IGHV9-2*01	NA	IGHJ2-1*01	2
74	IGHV9-4*01	NA	IGHJ2-5*01	2
75	IGHV4-3*01	NA	IGHJ2-1*01	2
76	IGHV8-1*01	NA	IGHJ2-4*01	2
77	IGHV1-3*01	NA	IGHJ2-2*01	2
78	IGHV1-2*01	IGHD2-3*01	IGHJ2-2*01	1
79	IGHV1-4*01	NA	IGHJ2-3*01	1
80	IGHV5-3*01	NA	IGHJ2-1*01	1
81	IGHV5-2*01	NA	IGHJ2-2*01	1
82	IGHV9-4*01	NA	IGHJ2-1*01	1
83	IGHV5-5*01	NA	IGHJ2-1*01	1
84	IGHV6-1*01	NA	IGHJ2-1*01	1
85	IGHV2-2*01	NA	IGHJ2-2*01	1
86	IGHV9-3*01	NA	IGHJ2-5*01	1
87	IGHV5-3*01	NA	IGHJ2-4*01	1
88	IGHV7-1*01	IGHD2-5*01	IGHJ2-1*01	1
89	IGHV8-4*01	NA	IGHJ2-4*01	1
90	IGHV9-2*01	NA	IGHJ2-2*01	1
91	IGHV5-1*01	NA	IGHJ2-5*01	1
92	IGHV4-6*01	IGHD2-4*01	IGHJ2-1*01	1
93	IGHV9-4*01	NA	IGHJ2-3*01	1
94	IGHV10-1*01	IGHD2-4*01	IGHJ2-1*01	1
95	IGHV9-1*01	NA	IGHJ2-1*01	1
96	IGHV8-1*01	NA	IGHJ2-5*01	1
97	IGHV1-2*01	IGHD2-4*01	IGHJ2-1*01	1
