	v
IGHV1-3*01	4667
IGHV4-1*01	4004
IGHV4-8*01	1438
IGHV4-6*01	1415
IGHV14-1*01	967
IGHV1-2*01	893
IGHV4-3*01	888
IGHV2-1*01	870
IGHV7-1*01	864
IGHV1-5*01	667
IGHV5-5*01	554
IGHV8-4*01	497
IGHV8-3*01	482
IGHV2-2*01	445
IGHV5-1*01	438
IGHV1-4*01	431
IGHV13-2*01	372
IGHV5-4*01	282
IGHV11-2*01	264
IGHV5-2*01	252
IGHV8-1*01	250
IGHV5-3*01	242
IGHV8-2*01	232
IGHV6-2*01	209
IGHV5-7*01	182
IGHV4-5*01	168
IGHV10-1*01	149
IGHV4-9*01	97
IGHV4-2*01	93
IGHV9-2*01	50
IGHV5-8*01	45
IGHV11-1*01	32
IGHV3-2*01	21
IGHV9-3*01	12
IGHV2-3*01	12
IGHV9-4*01	11
IGHV4-7*01	9
IGHV6-1*01	9
