	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
9	NA	1.0	NA	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA
10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
11	NA	1.0	1.0	NA	1.0	1.0	NA	NA	3.0	1.0	7.0	3.0	NA	1.0
12	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	1.0	1.0	NA
13	NA	NA	NA	NA	NA	NA	2.0	NA	1.0	NA	1.0	NA	NA	1.0
14	NA	NA	NA	1.0	NA	NA	1.0	4.0	NA	NA	1.0	1.0	1.0	NA
15	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	3.0	1.0	NA	NA
16	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	1.0	1.0	NA
17	NA	1.0	NA	NA	NA	NA	NA	4.0	2.0	NA	5.0	NA	1.0	NA
18	13.0	7.0	3.0	16.0	4.0	3.0	3.0	11.0	3.0	2.0	8.0	6.0	11.0	195.0
19	2.0	NA	2.0	NA	1.0	NA	2.0	1.0	1.0	2.0	20.0	1.0	2.0	1.0
20	NA	NA	2.0	NA	4.0	NA	9.0	6.0	8.0	2.0	5.0	4.0	NA	2.0
21	73.0	19.0	35.0	42.0	23.0	2.0	454.0	206.0	51.0	11.0	39.0	33.0	32.0	25.0
22	NA	NA	NA	1.0	NA	NA	5.0	3.0	6.0	1.0	8.0	3.0	4.0	7.0
23	2.0	3.0	6.0	2.0	4.0	4.0	23.0	33.0	12.0	5.0	69.0	37.0	20.0	6.0
24	101.0	133.0	140.0	114.0	132.0	23.0	868.0	308.0	149.0	48.0	202.0	185.0	1093.0	67.0
25	4.0	2.0	3.0	NA	4.0	NA	13.0	3.0	9.0	3.0	28.0	17.0	10.0	1.0
26	5.0	14.0	14.0	6.0	15.0	2.0	116.0	81.0	75.0	22.0	139.0	84.0	54.0	18.0
27	927.0	1579.0	969.0	1217.0	1111.0	346.0	3451.0	1250.0	1240.0	2461.0	1548.0	2254.0	3592.0	2851.0
28	5.0	18.0	6.0	10.0	9.0	NA	23.0	13.0	46.0	61.0	92.0	70.0	50.0	94.0
29	37.0	51.0	48.0	49.0	42.0	19.0	233.0	243.0	383.0	148.0	438.0	239.0	280.0	71.0
30	5874.0	12213.0	5158.0	7164.0	11020.0	1869.0	10223.0	14834.0	6149.0	40438.0	47608.0	15780.0	14398.0	9625.0
31	35.0	54.0	46.0	39.0	47.0	5.0	90.0	50.0	339.0	714.0	278.0	432.0	134.0	457.0
32	39.0	54.0	52.0	36.0	68.0	5.0	343.0	206.0	233.0	206.0	452.0	259.0	305.0	198.0
33	6634.0	6700.0	2969.0	3587.0	8446.0	774.0	7280.0	2583.0	6867.0	10985.0	5323.0	10609.0	10587.0	8057.0
34	36.0	22.0	22.0	16.0	59.0	4.0	48.0	17.0	126.0	168.0	120.0	183.0	100.0	68.0
35	26.0	40.0	75.0	31.0	62.0	3.0	88.0	89.0	113.0	109.0	193.0	249.0	120.0	66.0
36	2777.0	2334.0	18885.0	1373.0	8577.0	171.0	2626.0	923.0	4038.0	3190.0	1847.0	9974.0	3030.0	4089.0
37	17.0	13.0	115.0	9.0	71.0	NA	29.0	11.0	166.0	45.0	66.0	184.0	63.0	68.0
38	12.0	16.0	23.0	7.0	23.0	NA	36.0	19.0	53.0	282.0	75.0	83.0	96.0	19.0
39	452.0	697.0	410.0	1886.0	5570.0	33.0	708.0	355.0	487.0	221.0	516.0	930.0	1528.0	789.0
40	9.0	5.0	7.0	7.0	16.0	NA	11.0	4.0	26.0	5.0	46.0	38.0	38.0	42.0
41	3.0	4.0	6.0	3.0	6.0	7.0	39.0	NA	17.0	7.0	22.0	15.0	19.0	10.0
42	85.0	114.0	112.0	65.0	137.0	4.0	126.0	18.0	118.0	10.0	28.0	991.0	119.0	235.0
43	2.0	5.0	5.0	NA	1.0	NA	2.0	NA	5.0	NA	2.0	25.0	1.0	16.0
44	1.0	NA	NA	1.0	2.0	NA	NA	NA	4.0	NA	2.0	18.0	7.0	NA
45	11.0	11.0	7.0	8.0	14.0	NA	12.0	NA	24.0	NA	4.0	78.0	2295.0	NA
46	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	3.0	65.0	NA
47	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	NA
48	6.0	1.0	2.0	NA	NA	NA	31.0	NA	NA	NA	NA	NA	NA	NA
49	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA
62	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
