	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
3	NA	2.0	1.0	1.0	2.0	1.0	1.0	NA	3.0	1.0	8.0	3.0	NA	1.0
4	NA	NA	NA	2.0	1.0	NA	3.0	4.0	1.0	NA	2.0	2.0	2.0	1.0
5	NA	1.0	NA	2.0	NA	NA	NA	5.0	2.0	NA	9.0	2.0	2.0	NA
6	15.0	7.0	7.0	16.0	9.0	3.0	14.0	18.0	12.0	6.0	33.0	11.0	13.0	198.0
7	75.0	22.0	41.0	45.0	27.0	6.0	482.0	242.0	69.0	17.0	116.0	73.0	56.0	38.0
8	110.0	149.0	157.0	120.0	151.0	25.0	997.0	392.0	233.0	73.0	369.0	286.0	1157.0	86.0
9	969.0	1648.0	1023.0	1276.0	1162.0	365.0	3707.0	1506.0	1669.0	2670.0	2078.0	2563.0	3922.0	3016.0
10	5948.0	12321.0	5256.0	7239.0	11135.0	1879.0	10656.0	15090.0	6721.0	41358.0	48338.0	16471.0	14837.0	10280.0
11	6696.0	6762.0	3066.0	3634.0	8567.0	781.0	7416.0	2689.0	7106.0	11262.0	5636.0	11041.0	10807.0	8191.0
12	2806.0	2363.0	19023.0	1389.0	8671.0	171.0	2691.0	953.0	4257.0	3517.0	1988.0	10241.0	3189.0	4176.0
13	464.0	706.0	423.0	1896.0	5592.0	40.0	758.0	359.0	530.0	233.0	584.0	983.0	1585.0	841.0
14	88.0	119.0	117.0	66.0	140.0	4.0	128.0	18.0	127.0	10.0	32.0	1034.0	127.0	251.0
15	12.0	12.0	7.0	8.0	14.0	NA	12.0	NA	25.0	NA	4.0	82.0	2362.0	NA
16	6.0	1.0	2.0	NA	1.0	NA	33.0	NA	1.0	NA	NA	NA	NA	NA
20	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
