	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
IGHV1-3*01	269.0	2480.0	113.0	217.0	4695.0	19.0	4296.0	9771.0	4667.0	5695.0	12962.0	5547	5163.0	5465.0
IGHV4-8*01	1479.0	2572.0	1219.0	NA	9164.0	NA	3155.0	1061.0	1438.0	1348.0	2169.0	4592	2288.0	3038.0
IGHV4-3*01	4936.0	3584.0	2378.0	21.0	5325.0	7.0	NA	NA	888.0	3137.0	3203.0	2344	4437.0	624.0
IGHV2-1*01	1220.0	1248.0	11817.0	893.0	974.0	87.0	1759.0	1079.0	870.0	2516.0	2000.0	2123	5591.0	1982.0
IGHV5-2*01	498.0	227.0	538.0	1130.0	1360.0	10.0	2.0	NA	252.0	77.0	25263.0	569	363.0	93.0
IGHV4-1*01	239.0	1592.0	7302.0	1705.0	5831.0	375.0	2987.0	1565.0	4004.0	1306.0	1171.0	2341	570.0	745.0
IGHV1-2*01	2495.0	1784.0	691.0	1097.0	954.0	446.0	4665.0	1299.0	893.0	7173.0	1035.0	1319	1086.0	873.0
IGHV13-2*01	514.0	981.0	585.0	355.0	741.0	NA	760.0	506.0	372.0	14555.0	580.0	1782	1074.0	352.0
IGHV4-6*01	597.0	1137.0	846.0	1214.0	1235.0	270.0	1086.0	682.0	1415.0	3672.0	1890.0	2872	3429.0	1034.0
IGHV1-5*01	320.0	1146.0	301.0	3533.0	1267.0	685.0	1397.0	937.0	667.0	1505.0	1059.0	6914	539.0	378.0
IGHV14-1*01	68.0	266.0	113.0	377.0	169.0	119.0	1534.0	1014.0	967.0	4114.0	1458.0	2340	4072.0	1384.0
IGHV7-1*01	1316.0	844.0	650.0	539.0	502.0	447.0	696.0	445.0	864.0	495.0	1692.0	1849	2348.0	4287.0
IGHV11-2*01	27.0	22.0	9.0	4.0	52.0	NA	319.0	203.0	264.0	5296.0	356.0	4408	467.0	214.0
IGHV2-2*01	553.0	780.0	505.0	745.0	446.0	124.0	427.0	544.0	445.0	1077.0	1345.0	1111	935.0	3410.0
IGHV8-3*01	256.0	278.0	284.0	1566.0	263.0	390.0	663.0	605.0	482.0	3736.0	965.0	1146	1132.0	518.0
IGHV5-1*01	1176.0	1079.0	870.0	600.0	688.0	98.0	NA	1.0	438.0	1245.0	823.0	955	882.0	232.0
IGHV8-4*01	273.0	724.0	290.0	372.0	224.0	1.0	181.0	173.0	497.0	777.0	1160.0	765	1406.0	679.0
IGHV5-5*01	108.0	360.0	156.0	1.0	433.0	1.0	1438.0	598.0	554.0	689.0	258.0	684	886.0	350.0
IGHV5-7*01	89.0	340.0	95.0	360.0	227.0	3.0	535.0	245.0	182.0	493.0	503.0	192	178.0	2648.0
IGHV1-4*01	158.0	658.0	178.0	321.0	303.0	80.0	1110.0	496.0	431.0	558.0	101.0	210	36.0	198.0
IGHV5-4*01	108.0	577.0	120.0	89.0	499.0	50.0	508.0	480.0	282.0	78.0	151.0	187	781.0	801.0
IGHV8-2*01	154.0	931.0	224.0	5.0	183.0	NA	86.0	22.0	232.0	131.0	385.0	705	570.0	666.0
IGHV8-1*01	121.0	486.0	51.0	100.0	170.0	6.0	315.0	277.0	250.0	385.0	114.0	1513	147.0	104.0
IGHV6-2*01	69.0	94.0	67.0	14.0	74.0	NA	132.0	154.0	209.0	150.0	278.0	412	932.0	894.0
IGHV4-5*01	197.0	72.0	95.0	316.0	60.0	64.0	10.0	25.0	168.0	453.0	601.0	833	291.0	44.0
IGHV10-1*01	54.0	187.0	68.0	102.0	135.0	63.0	255.0	189.0	149.0	66.0	227.0	175	224.0	162.0
IGHV5-3*01	60.0	94.0	44.0	10.0	87.0	2.0	217.0	169.0	242.0	197.0	150.0	161	305.0	156.0
IGHV4-9*01	18.0	124.0	51.0	NA	172.0	7.0	529.0	113.0	97.0	92.0	160.0	62	205.0	33.0
IGHV9-2*01	166.0	80.0	71.0	5.0	96.0	3.0	NA	1.0	50.0	38.0	134.0	178	309.0	1.0
IGHV4-2*01	36.0	92.0	29.0	23.0	76.0	10.0	170.0	113.0	93.0	12.0	68.0	314	98.0	61.0
IGHV5-8*01	17.0	27.0	19.0	NA	98.0	NA	NA	1.0	45.0	21.0	38.0	124	181.0	2.0
IGHV4-7*01	NA	2.0	NA	342.0	NA	38.0	41.0	24.0	9.0	19.0	9.0	15	3.0	1.0
IGHV11-1*01	20.0	37.0	9.0	26.0	15.0	NA	27.0	28.0	32.0	2.0	39.0	105	29.0	24.0
IGHV3-2*01	6.0	13.0	2.0	30.0	35.0	10.0	24.0	27.0	21.0	16.0	34.0	45	50.0	5.0
IGHV2-3*01	NA	NA	NA	3.0	NA	NA	7.0	3.0	12.0	1.0	47.0	4	2.0	11.0
IGHV6-1*01	7.0	3.0	1.0	3.0	16.0	1.0	6.0	10.0	9.0	14.0	9.0	24	19.0	9.0
IGHV9-3*01	2.0	1.0	NA	4.0	1.0	1.0	7.0	4.0	12.0	3.0	33.0	17	NA	7.0
IGHV9-4*01	NA	2.0	1.0	3.0	3.0	4.0	1.0	6.0	11.0	5.0	4.0	11	19.0	1.0
IGHV9-1*01	NA	NA	NA	NA	NA	1.0	3.0	NA	NA	NA	NA	1	1.0	NA
