	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	4661.0	5427.0	3064.0	6493.0	14129.0	1135.0	8834.0	3578.0	9848.0	13441.0	31948.0	15822.0	12709.0	7977.0
1	4123.0	2568.0	1935.0	1968.0	2138.0	402.0	5618.0	1791.0	2593.0	9747.0	3438.0	6905.0	5772.0	6275.0
2	1781.0	4253.0	8302.0	2292.0	2592.0	372.0	4450.0	2548.0	2034.0	2784.0	4136.0	6876.0	4725.0	2452.0
3	2327.0	6056.0	12755.0	1916.0	8769.0	386.0	3283.0	2125.0	2774.0	4936.0	3301.0	8316.0	9548.0	3108.0
4	3129.0	2930.0	2092.0	1655.0	6867.0	776.0	3476.0	1833.0	3423.0	18248.0	16714.0	8079.0	4540.0	7319.0
5	1299.0	1783.0	1298.0	818.0	1687.0	187.0	2916.0	10467.0	1412.0	11208.0	2199.0	2340.0	3194.0	3302.0
6	212.0	1641.0	182.0	235.0	172.0	15.0	298.0	212.0	204.0	283.0	396.0	380.0	311.0	695.0
7	26.0	195.0	78.0	124.0	149.0	57.0	319.0	183.0	138.0	463.0	141.0	119.0	118.0	102.0
8	59.0	60.0	54.0	604.0	33.0	84.0	53.0	50.0	28.0	15.0	29.0	57.0	70.0	38.0
9	2.0	4.0	1.0	8.0	7.0	4.0	5.0	17.0	7.0	3.0	80.0	12.0	16.0	1.0
10	2.0	NA	17.0	2.0	16.0	2.0	31.0	14.0	1.0	NA	6.0	15.0	4.0	196.0
11	2.0	1.0	1.0	4.0	2.0	1.0	1.0	4.0	1.0	6.0	9.0	4.0	3.0	1.0
12	NA	2.0	NA	1.0	1.0	NA	5.0	5.0	5.0	NA	12.0	5.0	7.0	6.0
13	NA	NA	NA	NA	3.0	1.0	36.0	9.0	3.0	NA	9.0	NA	NA	1.0
14	NA	NA	9.0	NA	1.0	NA	NA	12.0	11.0	NA	14.0	2.0	NA	NA
15	NA	NA	NA	NA	1.0	NA	2.0	NA	1.0	NA	3.0	NA	NA	NA
16	NA	NA	NA	2.0	2.0	NA	1.0	5.0	2.0	NA	4.0	1.0	2.0	NA
17	NA	1.0	NA	NA	NA	NA	NA	2.0	9.0	NA	6.0	6.0	2.0	NA
18	NA	NA	NA	NA	2.0	NA	NA	3.0	NA	NA	3.0	NA	5.0	NA
19	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	1.0	1.0	NA
20	2.0	NA	NA	NA	NA	NA	2.0	5.0	NA	NA	1.0	NA	1.0	NA
21	NA	NA	NA	NA	1.0	NA	2.0	2.0	2.0	NA	3.0	2.0	NA	2.0
22	1.0	2.0	NA	NA	NA	NA	1.0	5.0	1.0	NA	1.0	5.0	NA	1.0
23	NA	1.0	NA	2.0	NA	NA	NA	NA	6.0	NA	NA	NA	NA	3.0
24	NA	NA	1.0	1.0	NA	NA	1.0	NA	4.0	NA	1.0	NA	10.0	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	1.0	1.0	NA	NA
26	NA	NA	3.0	NA	NA	NA	5.0	NA	NA	6.0	NA	NA	2.0	NA
27	NA	NA	NA	NA	NA	NA	7.0	NA	1.0	NA	10.0	1.0	1.0	NA
28	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	2.0	NA	NA	NA
29	NA	NA	NA	NA	NA	NA	NA	NA	1.0	2.0	NA	NA	NA	NA
31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	NA
35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0
46	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
75	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA
172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
