	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	IGHV1-2*01	IGHD1-2*01	IGHJ2-4*01	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	IGHV1-2*01	IGHD1-2*01	IGHJ2-5*01	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	IGHV1-2*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	NA	3.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA
3	IGHV1-2*01	IGHD2-3*01	IGHJ2-2*01	NA	NA	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
4	IGHV1-2*01	IGHD2-4*01	IGHJ2-1*01	NA	1.0	2.0	NA	4.0	1.0	1.0	30.0	NA	4.0	1.0	2.0	2.0	NA
5	IGHV1-2*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	1.0	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
6	IGHV1-2*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	1.0	NA	NA	NA	16.0	NA	NA	NA	NA	NA	NA	NA
7	IGHV1-2*01	IGHD2-4*01	IGHJ2-5*01	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA
8	IGHV1-2*01	IGHD2-5*01	IGHJ2-1*01	7.0	1.0	2.0	NA	1.0	NA	NA	NA	2.0	NA	NA	4.0	2.0	64.0
9	IGHV1-2*01	IGHD2-5*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA
10	IGHV1-2*01	IGHD2-5*01	IGHJ2-4*01	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0	NA
11	IGHV1-2*01	IGHD2-5*01	IGHJ2-5*01	5.0	NA	3.0	NA	NA	NA	NA	NA	2.0	NA	NA	NA	1.0	NA
12	IGHV1-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
13	IGHV1-2*01	NA	IGHJ2-1*01	239.0	879.0	353.0	401.0	341.0	157.0	483.0	385.0	278.0	1719.0	324.0	831.0	363.0	255.0
14	IGHV1-2*01	NA	IGHJ2-2*01	443.0	379.0	112.0	249.0	172.0	82.0	1090.0	208.0	225.0	438.0	368.0	189.0	425.0	111.0
15	IGHV1-2*01	NA	IGHJ2-3*01	11.0	22.0	6.0	15.0	22.0	4.0	24.0	25.0	36.0	28.0	11.0	52.0	35.0	1.0
16	IGHV1-2*01	NA	IGHJ2-4*01	1629.0	280.0	131.0	254.0	303.0	93.0	2026.0	420.0	213.0	245.0	240.0	171.0	179.0	308.0
17	IGHV1-2*01	NA	IGHJ2-5*01	161.0	218.0	81.0	170.0	105.0	108.0	1023.0	230.0	135.0	4739.0	91.0	70.0	74.0	134.0
18	IGHV1-3*01	IGHD2-2*01	IGHJ2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
19	IGHV1-3*01	IGHD2-2*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
20	IGHV1-3*01	IGHD2-3*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA
21	IGHV1-3*01	IGHD2-4*01	IGHJ2-1*01	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	1.0	3.0	1.0	NA
22	IGHV1-3*01	IGHD2-4*01	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	NA	NA
23	IGHV1-3*01	IGHD2-4*01	IGHJ2-4*01	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	IGHV1-3*01	IGHD2-5*01	IGHJ2-1*01	2.0	NA	NA	NA	2.0	NA	NA	NA	1.0	3.0	24.0	3.0	8.0	NA
25	IGHV1-3*01	IGHD2-5*01	IGHJ2-2*01	1.0	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	2.0	2.0	NA
26	IGHV1-3*01	IGHD2-5*01	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	240.0
27	IGHV1-3*01	IGHD2-5*01	IGHJ2-4*01	1.0	NA	NA	NA	NA	NA	NA	NA	3.0	15.0	40.0	3.0	2.0	NA
28	IGHV1-3*01	IGHD2-5*01	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	5.0	1.0	NA	NA
29	IGHV1-3*01	NA	IGHJ2-1*01	138.0	2217.0	38.0	78.0	4510.0	9.0	2048.0	270.0	1162.0	4971.0	12636.0	4801.0	3036.0	209.0
30	IGHV1-3*01	NA	IGHJ2-2*01	44.0	103.0	30.0	31.0	39.0	2.0	177.0	312.0	61.0	145.0	72.0	95.0	163.0	3692.0
31	IGHV1-3*01	NA	IGHJ2-3*01	3.0	47.0	NA	19.0	16.0	NA	274.0	69.0	15.0	24.0	7.0	29.0	31.0	58.0
32	IGHV1-3*01	NA	IGHJ2-4*01	60.0	59.0	24.0	54.0	94.0	8.0	1088.0	9076.0	99.0	116.0	137.0	480.0	122.0	1252.0
33	IGHV1-3*01	NA	IGHJ2-5*01	19.0	54.0	19.0	33.0	34.0	NA	709.0	44.0	3324.0	419.0	39.0	129.0	1793.0	14.0
