	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
10	NA	NA	NA	NA	NA	8.547	NA	NA	NA	NA	NA	NA	NA	NA
20	NA	NA	NA	NA	NA	14.674	NA	NA	NA	NA	NA	NA	NA	NA
30	NA	NA	NA	NA	NA	19.382	NA	NA	NA	NA	NA	NA	NA	NA
40	NA	NA	NA	NA	NA	23.29	NA	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	NA	26.436	NA	NA	NA	NA	NA	NA	NA	NA
60	NA	NA	NA	NA	NA	28.945	NA	NA	NA	NA	NA	NA	NA	NA
70	NA	NA	NA	NA	NA	31.268	NA	NA	NA	NA	NA	NA	NA	NA
80	NA	NA	NA	NA	NA	33.328	NA	NA	NA	NA	NA	NA	NA	NA
90	NA	NA	NA	NA	NA	34.994	NA	NA	NA	NA	NA	NA	NA	NA
100	41.493	48.719	28.35	42.595	34.081	36.832	45.979	40.228	46.66	33.326	29.275	42.892	46.189	35.345
200	59.276	68.067	42.927	57.5	50.987	47.809	62.612	58.648	68.563	45.994	44.715	61.599	66.689	49.513
300	71.191	79.634	52.874	66.653	62.548	NA	72.472	69.85	82.924	54.16	55.301	74.099	80.276	59.186
400	79.786	88.3	60.281	72.929	72.159	59.57	79.272	77.265	93.109	60.412	63.324	82.923	89.883	65.804
500	86.269	94.499	66.624	77.832	79.277	NA	84.526	82.706	100.678	65.485	69.621	89.971	97.533	71.205
600	91.909	99.567	72.05	81.775	85.191	66.757	88.45	87.007	107.011	69.543	74.448	95.852	103.84	75.505
700	96.179	103.997	76.54	84.927	90.702	NA	91.592	90.626	112.029	72.938	79.079	101.021	109.125	78.879
800	100.618	107.583	80.462	87.692	94.83	72.022	94.533	93.361	116.267	76.06	82.92	104.472	113.583	81.932
900	104.423	110.74	83.952	90.337	98.643	NA	96.902	95.923	120.469	78.934	86.47	108.377	117.854	84.609
1000	107.273	113.683	87.114	92.459	102.156	75.935	99.185	98.267	123.762	81.113	89.333	112.1	121.328	86.754
2000	128.394	130.948	107.918	106.383	123.958	88.163	112.465	111.289	145.253	97.365	110.129	133.58	143.776	101.264
3000	NA	NA	NA	NA	NA	95.437	NA	NA	NA	NA	NA	NA	NA	NA
3422	NA	NA	NA	NA	NA	98.0	NA	NA	NA	NA	NA	NA	NA	NA
4000	149.534	147.144	127.865	121.097	143.533	NA	124.689	123.287	166.852	112.977	130.968	156.315	166.559	115.547
6000	162.2	156.905	139.86	130.402	153.984	NA	131.297	130.591	180.901	121.909	143.7	170.074	180.265	124.456
8000	171.816	164.31	148.258	137.284	161.332	NA	136.105	135.864	190.769	128.254	152.761	180.38	190.373	130.483
10000	179.625	170.235	154.974	142.803	166.977	NA	139.983	139.831	198.438	132.984	159.343	188.895	199.328	135.453
16126	NA	NA	NA	155.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17626	201.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20000	NA	188.338	173.518	NA	184.073	NA	153.262	151.547	223.583	148.103	181.672	216.487	228.867	151.766
22513	NA	NA	NA	NA	NA	NA	NA	NA	228.0	NA	NA	NA	NA	NA
22870	NA	NA	NA	NA	NA	NA	NA	154.0	NA	NA	NA	NA	NA	NA
24924	NA	194.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29348	NA	NA	NA	NA	NA	NA	161.0	NA	NA	NA	NA	NA	NA	NA
29792	NA	NA	183.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30000	NA	NA	NA	NA	194.21	NA	NA	NA	NA	157.2	195.422	233.182	247.81	161.764
31486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	163.0
36573	NA	NA	NA	NA	199.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
40000	NA	NA	NA	NA	NA	NA	NA	NA	NA	163.735	205.582	244.556	261.703	NA
41048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	263.0	NA
48949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	252.0	NA	NA
50000	NA	NA	NA	NA	NA	NA	NA	NA	NA	168.679	213.557	NA	NA	NA
60000	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.624	220.435	NA	NA	NA
61147	NA	NA	NA	NA	NA	NA	NA	NA	NA	173.0	NA	NA	NA	NA
62474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222.0	NA	NA	NA
