	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	35.0	95.0	56.0	181.0	85.0	18.0	161.0	141.0	85.0	860.0	292.0	2634.0	111.0	66.0
1	444.0	187.0	125.0	198.0	136.0	51.0	637.0	335.0	144.0	46.0	25117.0	1578.0	248.0	100.0
2	194.0	452.0	214.0	334.0	237.0	94.0	387.0	477.0	544.0	5133.0	394.0	427.0	1383.0	487.0
3	830.0	753.0	426.0	955.0	654.0	228.0	3570.0	762.0	834.0	1735.0	889.0	1611.0	1857.0	1158.0
4	834.0	1496.0	639.0	896.0	962.0	247.0	2923.0	757.0	846.0	960.0	1673.0	1367.0	1259.0	820.0
5	998.0	1178.0	975.0	1551.0	943.0	234.0	1839.0	1331.0	1052.0	1415.0	2692.0	1556.0	3429.0	1696.0
6	2597.0	2233.0	1161.0	1775.0	2343.0	369.0	2798.0	1637.0	1505.0	20342.0	3804.0	3230.0	5186.0	4172.0
7	1299.0	3213.0	1279.0	1628.0	1866.0	399.0	2268.0	1480.0	1499.0	3114.0	1537.0	4263.0	3958.0	2314.0
8	2449.0	2583.0	1250.0	1441.0	5398.0	300.0	2898.0	1642.0	4868.0	10999.0	2826.0	3220.0	2619.0	1283.0
9	1191.0	5277.0	1208.0	1247.0	1600.0	696.0	2069.0	1339.0	1501.0	2048.0	1992.0	6223.0	5603.0	1585.0
10	2230.0	2179.0	12281.0	1230.0	7083.0	296.0	4410.0	1191.0	2522.0	6647.0	14921.0	7308.0	2596.0	4867.0
11	1603.0	1840.0	890.0	896.0	6711.0	166.0	1276.0	9815.0	1323.0	2177.0	1672.0	2519.0	3876.0	1955.0
12	923.0	1197.0	2259.0	702.0	1434.0	127.0	1765.0	1012.0	2552.0	1676.0	1828.0	8336.0	1829.0	3461.0
13	1141.0	1064.0	620.0	566.0	755.0	42.0	1198.0	476.0	641.0	626.0	596.0	1804.0	2062.0	609.0
14	357.0	464.0	2095.0	567.0	495.0	53.0	504.0	219.0	503.0	2641.0	1658.0	902.0	4128.0	2499.0
15	266.0	335.0	392.0	222.0	5518.0	52.0	280.0	110.0	1234.0	111.0	244.0	467.0	383.0	4072.0
16	90.0	181.0	3746.0	93.0	202.0	14.0	212.0	107.0	561.0	298.0	107.0	277.0	205.0	142.0
17	64.0	105.0	84.0	45.0	76.0	23.0	110.0	16.0	201.0	300.0	186.0	1140.0	204.0	134.0
18	48.0	62.0	53.0	1548.0	32.0	9.0	11.0	10.0	37.0	10.0	29.0	41.0	51.0	50.0
19	10.0	23.0	28.0	27.0	24.0	2.0	14.0	2.0	35.0	3.0	7.0	31.0	37.0	4.0
20	10.0	3.0	5.0	12.0	11.0	2.0	16.0	5.0	14.0	3.0	2.0	8.0	8.0	1.0
21	6.0	3.0	4.0	6.0	NA	NA	NA	5.0	7.0	NA	2.0	4.0	9.0	3.0
22	NA	1.0	NA	2.0	1.0	NA	1.0	1.0	3.0	1.0	NA	3.0	3.0	NA
23	6.0	NA	1.0	NA	NA	NA	NA	NA	1.0	2.0	2.0	NA	1.0	1.0
24	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
26	NA	NA	NA	NA	7.0	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	NA	NA	NA	1.0	NA	NA	1.0	NA	1.0	NA	NA	NA	1.0	NA
33	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.0
38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
52	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
