	v	d	j	frequency
0	IGHV4-8*01	NA	IGHJ2-4*01	4
1	IGHV4-6*01	NA	IGHJ2-1*01	3
2	IGHV1-5*01	NA	IGHJ2-4*01	3
3	IGHV1-3*01	NA	IGHJ2-3*01	3
4	IGHV8-1*01	NA	IGHJ2-5*01	2
5	IGHV1-2*01	NA	IGHJ2-4*01	2
6	IGHV4-8*01	NA	IGHJ2-1*01	2
7	IGHV5-5*01	NA	IGHJ2-3*01	2
8	IGHV5-4*01	NA	IGHJ2-3*01	2
9	IGHV6-2*01	NA	IGHJ2-3*01	1
10	IGHV4-1*01	NA	IGHJ2-2*01	1
11	IGHV1-5*01	NA	IGHJ2-5*01	1
12	IGHV4-6*01	NA	IGHJ2-2*01	1
13	IGHV1-5*01	NA	IGHJ2-2*01	1
14	IGHV4-8*01	NA	IGHJ2-2*01	1
15	IGHV1-2*01	NA	IGHJ1-2*01	1
16	IGHV1-2*01	NA	IGHJ2-2*01	1
