	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
IGHV5-2*01	NA	NA	3.0	1.0	3.0	NA	NA	NA	NA	NA	33.0	NA	NA	NA
IGHV4-6*01	3.0	6.0	3.0	7.0	2.0	NA	4.0	54.0	4.0	9.0	5.0	3.0	6.0	9.0
IGHV4-8*01	2.0	4.0	NA	NA	15.0	NA	7.0	4.0	1.0	4.0	3.0	6.0	4.0	9.0
IGHV1-1*01	NA	NA	NA	9.0	NA	1.0	NA	NA	4.0	NA	NA	1.0	1.0	NA
IGHV1-3*01	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
IGHV1-2*01	3.0	NA	2.0	3.0	3.0	1.0	4.0	3.0	NA	4.0	NA	1.0	2.0	NA
IGHV1-5*01	1.0	NA	NA	5.0	1.0	NA	5.0	NA	NA	1.0	1.0	2.0	NA	NA
IGHV13-2*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	3.0	NA	NA	NA	NA
IGHV5-5*01	NA	1.0	NA	1.0	NA	NA	2.0	NA	NA	3.0	NA	NA	1.0	NA
IGHV4-9*01	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	1.0	NA	NA	NA
IGHV5-4*01	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA	NA	NA	1.0	NA
IGHV14-1*01	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	1.0	NA	2.0	NA
IGHV8-1*01	NA	2.0	NA	1.0	NA	NA	2.0	1.0	NA	1.0	NA	NA	1.0	NA
IGHV4-1*01	NA	2.0	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	NA
IGHV1-4*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	2.0	1.0	NA	NA
IGHV10-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
IGHV11-2*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	NA	NA	NA
IGHV9-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
IGHV2-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
IGHV2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
IGHV3-2*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV8-2*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
IGHV4-3*01	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGHV5-1*01	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0
IGHV5-7*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0
IGHV6-2*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
IGHV4-2*01	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	1.0	1.0	NA	NA
