	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	3.0	3.0	1.0	5.0	3.0	1.0	10.0	4.0	4.0	1.0	33.0	6.0	7.0	3.0
1	1.0	5.0	1.0	1.0	4.0	NA	4.0	3.0	NA	3.0	2.0	NA	4.0	1.0
2	2.0	3.0	1.0	3.0	3.0	NA	4.0	1.0	NA	5.0	2.0	2.0	1.0	NA
3	3.0	1.0	2.0	11.0	14.0	NA	2.0	2.0	1.0	4.0	2.0	2.0	2.0	2.0
4	1.0	2.0	NA	6.0	2.0	NA	5.0	2.0	2.0	3.0	6.0	4.0	1.0	14.0
5	NA	1.0	1.0	2.0	NA	1.0	6.0	2.0	4.0	9.0	2.0	2.0	3.0	1.0
6	NA	1.0	2.0	NA	NA	NA	NA	51.0	1.0	NA	NA	NA	NA	NA
7	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
9	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA
