	V	D	J	SRR017328	SRR017329	SRR017330	SRR017331	SRR017332	SRR017333	SRR017334	SRR017335	SRR017336	SRR017337	SRR017338	SRR017339	SRR017340	SRR017341
0	IGHV1-1*01	NA	IGHJ2-1*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
1	IGHV1-1*01	NA	IGHJ2-2*01	NA	NA	NA	2.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA
2	IGHV1-1*01	NA	IGHJ2-4*01	NA	NA	NA	6.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	IGHV1-1*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	1.0	NA	NA	4.0	NA	NA	NA	NA	NA
4	IGHV1-2*01	IGHD2-2*01	IGHJ2-4*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA
5	IGHV1-2*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
6	IGHV1-2*01	NA	IGHJ1-2*01	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
7	IGHV1-2*01	NA	IGHJ2-1*01	NA	NA	NA	NA	2.0	NA	NA	1.0	NA	NA	NA	1.0	1.0	NA
8	IGHV1-2*01	NA	IGHJ2-2*01	NA	NA	1.0	1.0	NA	1.0	1.0	NA	NA	1.0	NA	NA	NA	NA
9	IGHV1-2*01	NA	IGHJ2-3*01	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	IGHV1-2*01	NA	IGHJ2-4*01	3.0	NA	1.0	1.0	1.0	NA	2.0	1.0	NA	NA	NA	NA	NA	NA
11	IGHV1-2*01	NA	IGHJ2-5*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	1.0	NA
12	IGHV1-3*01	NA	IGHJ2-3*01	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA
13	IGHV1-4*01	NA	IGHJ1-1*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
14	IGHV1-4*01	NA	IGHJ2-2*01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0	NA	NA	NA
