	frequency
KC713934|IGHV1-69D*01|Homo	1224
KC713936|IGHV4-28*07|Homo	853
AC244456|IGHV3-30-5*01|Homo	846
AC245166|IGHV3-23D*02|Homo	810
L21972|IGHV2-5*09|Homo	809
KC713935|IGHV2-70D*04|Homo	785
KC713945|IGHV3-30-3*03|Homo	763
AC245243|IGHV3-30-5*02|Homo	741
KC713948|IGHV1-69*14|Homo	698
Z14307|IGHV1-69*09|Homo	698
AC244492|IGHV3-23D*01|Homo	684
X70208|IGHV3-66*04|Homo	581
M99658|IGHV3-21*02|Homo	534
AB019437|IGHV4-61*08|Homo	456
M99684|IGHV4-34*02|Homo	449
Z14237|IGHV4-31*03|Homo	447
AM940222|IGHV4-39*07|Homo	446
M29812|IGHV4-59*02|Homo	445
M29811|IGHV4-61*01|Homo	443
HM855688|IGHV3-21*04|Homo	439
HM855436|IGHV3-33*06|Homo	438
M77329|IGHV3-30*17|Homo	435
M77334|IGHV3-33*05|Homo	433
M95116|IGHV4-39*05|Homo	432
AB019438|IGHV1-45*02|Homo	429
Z17392|IGHV3-74*02|Homo	427
X92279|IGHV5-10-1*02|Homo	424
X92206|IGHV3-72*01|Homo	423
M77331|IGHV3-30*11|Homo	422
Z14223|IGHV6-1*02|Homo	422
M77299|IGHV3-64*04|Homo	422
Z75360|IGHV4-30-4*06|Homo	419
Z14300|IGHV1-69*10|Homo	418
HM855939|IGHV3-NL1*01|Homo	418
M99402|IGHV3-15*04|Homo	416
M95121|IGHV4-31*05|Homo	415
HM855463|IGHV1-18*03|Homo	414
X92245|IGHV2-70*08|Homo	413
AB019439|IGHV4-39*01|Homo	413
L21963|IGHV2-5*04|Homo	413
KC713947|IGHV3-9*03|Homo	413
KC713940|IGHV3-11*06|Homo	412
L21967|IGHV2-70*11|Homo	411
HM855339|IGHV4-28*05|Homo	410
AY757302|IGHV3-23*05|Homo	410
X92258|IGHV4-34*07|Homo	410
AB019437|IGHV3-73*02|Homo	409
M95118|IGHV4-59*05|Homo	409
X62107|IGHV1-3*02|Homo	409
X92232|IGHV4-4*02|Homo	409
X92239|IGHV2-70*06|Homo	408
M77335|IGHV3-33*04|Homo	408
KF698731|IGHV2-5*02|Homo	408
KC713938|IGHV1-18*04|Homo	407
M77338|IGHV3-30*12|Homo	406
KC713949|IGHV2-70D*14|Homo	406
X56376|IGHV5-10-1*04|Homo	406
X62112|IGHV4-4*07|Homo	405
Z14296|IGHV1-69*11|Homo	405
X56591|IGHV4-34*12|Homo	405
KC713939|IGHV3-13*05|Homo	404
HM855361|IGHV7-4-1*05|Homo	403
AB019438|IGHV4-59*01|Homo	403
L21971|IGHV2-5*08|Homo	402
AC233755|IGHV4-38-2*02|Homo	402
X56356|IGHV4-61*05|Homo	402
HM855577|IGHV3-9*02|Homo	402
AM940223|IGHV3-23*03|Homo	401
M99648|IGHV2-26*01|Homo	401
HM855336|IGHV3-48*04|Homo	400
X92272|IGHV4-31*08|Homo	400
X05715|IGHV4-39*02|Homo	400
